Roche CV	GO term name	GO term ID
zinc ion homeostasis	zinc ion homeostasis
zinc ion homeostasis	zinc ion transmembrane import
zinc ion homeostasis	zinc ion transmembrane transport
zinc ion homeostasis	zinc ion transport
zinc ion homeostasis	zinc potentiation of synaptic transmission, glycinergic
yeast	flocculation
yeast	incipient cellular bud site
xenobiotic	xenobiotic catabolic process
xenobiotic	xenobiotic glucuronidation
xenobiotic	xenobiotic metabolic process
xenobiotic	xenobiotic transport
wound healing	clearance of damaged tissue involved in inflammatory response wound healing
wound healing	connective tissue replacement involved in inflammatory response wound healing
wound healing	negative regulation of vascular wound healing
wound healing	negative regulation of wound healing
wound healing	positive regulation of vascular wound healing
wound healing	positive regulation of wound healing
wound healing	regulation of vascular wound healing
wound healing	regulation of wound healing
wound healing	wound healing
wound healing	wound healing involved in inflammatory response
wound healing	wound healing, spreading of cells
wound healing	wound healing, spreading of epidermal cells
Wnt pathway	Wnt protein secretion
Wnt pathway	Wnt receptor catabolic process
Wnt pathway	Wnt receptor internalization
Wnt pathway	Wnt receptor recycling
Wnt pathway	Wnt signaling pathway
Wnt pathway	Wnt signaling pathway involved in animal/vegetal axis specification
Wnt pathway	Wnt signaling pathway involved in digestive tract morphogenesis
Wnt pathway	Wnt signaling pathway involved in dorsal/ventral axis specification
Wnt pathway	Wnt signaling pathway involved in forebrain neuroblast division
Wnt pathway	Wnt signaling pathway involved in heart development
Wnt pathway	Wnt signaling pathway involved in kidney development
Wnt pathway	Wnt signaling pathway involved in mammary gland specification
Wnt pathway	Wnt signaling pathway involved in primitive streak formation
Wnt pathway	Wnt signaling pathway involved in regulation of cell proliferation in dorsal spinal cord
Wnt pathway	Wnt signaling pathway involved in somitogenesis
Wnt pathway	Wnt signaling pathway involved in wound healing, spreading of epidermal cells
Wnt pathway	Wnt signaling pathway, calcium modulating pathway
Wnt pathway	Wnt signaling pathway, planar cell polarity pathway
Wnt pathway	Wnt signaling pathway, regulating spindle positioning
Wnt pathway	Wnt-activated signaling pathway involved in forebrain neuron fate commitment
Wnt pathway	canonical Wnt signaling pathway
Wnt pathway	canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
Wnt pathway	canonical Wnt signaling pathway involved in cardiac neural crest cell differentiation involved in heart development
Wnt pathway	canonical Wnt signaling pathway involved in heart development
Wnt pathway	canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation
Wnt pathway	canonical Wnt signaling pathway involved in mesonephric nephron development
