Roche CV	GO term name	GO term ID	
zinc ion homeostasis	zinc ion homeostasis	GO:0055069
zinc ion homeostasis	zinc ion transmembrane import	GO:0071578
zinc ion homeostasis	zinc ion transmembrane transport	GO:0071577
zinc ion homeostasis	zinc ion transport	GO:0006829
zinc ion homeostasis	zinc potentiation of synaptic transmission, glycinergic	GO:0060095
yeast	flocculation	GO:0000128
yeast	incipient cellular bud site	GO:0000131
xenobiotic	xenobiotic catabolic process	GO:0042178
xenobiotic	xenobiotic glucuronidation	GO:0052697
xenobiotic	xenobiotic metabolic process	GO:0006805
xenobiotic	xenobiotic transport	GO:0042908
wound healing	clearance of damaged tissue involved in inflammatory response wound healing	GO:0002247
wound healing	connective tissue replacement involved in inflammatory response wound healing	GO:0002248
wound healing	negative regulation of vascular wound healing	GO:0061044
wound healing	negative regulation of wound healing	GO:0061045
wound healing	positive regulation of vascular wound healing	GO:0035470
wound healing	positive regulation of wound healing	GO:0090303
wound healing	regulation of vascular wound healing	GO:0061043
wound healing	regulation of wound healing	GO:0061041
wound healing	wound healing	GO:0042060
wound healing	wound healing involved in inflammatory response	GO:0002246
wound healing	wound healing, spreading of cells	GO:0044319
wound healing	wound healing, spreading of epidermal cells	GO:0035313
Wnt pathway	Wnt protein secretion	GO:0061355
Wnt pathway	Wnt receptor catabolic process	GO:0038018
Wnt pathway	Wnt receptor internalization	GO:0038017
Wnt pathway	Wnt receptor recycling	GO:0038019
Wnt pathway	Wnt signaling pathway	GO:0016055
Wnt pathway	Wnt signaling pathway involved in animal/vegetal axis specification	GO:0060833
Wnt pathway	Wnt signaling pathway involved in digestive tract morphogenesis	GO:0044333
Wnt pathway	Wnt signaling pathway involved in dorsal/ventral axis specification	GO:0044332
Wnt pathway	Wnt signaling pathway involved in forebrain neuroblast division	GO:0021874
Wnt pathway	Wnt signaling pathway involved in heart development	GO:0003306
Wnt pathway	Wnt signaling pathway involved in kidney development	GO:0061289
Wnt pathway	Wnt signaling pathway involved in mammary gland specification	GO:0060593
Wnt pathway	Wnt signaling pathway involved in primitive streak formation	GO:0090011
Wnt pathway	Wnt signaling pathway involved in regulation of cell proliferation in dorsal spinal cord	GO:0021922
Wnt pathway	Wnt signaling pathway involved in somitogenesis	GO:0090244
Wnt pathway	Wnt signaling pathway involved in wound healing, spreading of epidermal cells	GO:0035659
Wnt pathway	Wnt signaling pathway, calcium modulating pathway	GO:0007223
Wnt pathway	Wnt signaling pathway, planar cell polarity pathway	GO:0060071
Wnt pathway	Wnt signaling pathway, regulating spindle positioning	GO:0060069
Wnt pathway	Wnt-activated signaling pathway involved in forebrain neuron fate commitment	GO:0021881
Wnt pathway	canonical Wnt signaling pathway	GO:0060070
Wnt pathway	canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	GO:0061317
Wnt pathway	canonical Wnt signaling pathway involved in cardiac neural crest cell differentiation involved in heart development	GO:0061310
Wnt pathway	canonical Wnt signaling pathway involved in heart development	GO:0061316
Wnt pathway	canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation	GO:0044338
Wnt pathway	canonical Wnt signaling pathway involved in mesonephric nephron development	GO:0061293
Wnt pathway	canonical Wnt signaling pathway involved in mesonephros development	GO:0061292
Wnt pathway	canonical Wnt signaling pathway involved in metanephric kidney development	GO:0061290
Wnt pathway	canonical Wnt signaling pathway involved in negative regulation of apoptotic process	GO:0044336
Wnt pathway	canonical Wnt signaling pathway involved in neural crest cell differentiation	GO:0044335
Wnt pathway	canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation	GO:0060823
Wnt pathway	canonical Wnt signaling pathway involved in osteoblast differentiation	GO:0044339
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of apoptotic process	GO:0044337
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of cardiac muscle cell proliferation	GO:0061315
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	GO:0061324
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of cell-cell adhesion	GO:0044329
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration	GO:0044328
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition	GO:0044334
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of secondary heart field cardioblast proliferation	GO:0003267
Wnt pathway	canonical Wnt signaling pathway involved in positive regulation of wound healing	GO:0044330
Wnt pathway	canonical Wnt signaling pathway involved in regulation of cell proliferation	GO:0044340
Wnt pathway	canonical Wnt signaling pathway involved in regulation of type B pancreatic cell proliferation	GO:0044343
Wnt pathway	canonical Wnt signaling pathway involved in ureteric bud branching	GO:0061291
Wnt pathway	negative regulation of Wnt protein secretion	GO:0061358
Wnt pathway	negative regulation of Wnt signaling pathway	GO:0030178
Wnt pathway	negative regulation of Wnt signaling pathway by Wnt receptor internalization	GO:0038012
Wnt pathway	negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis	GO:2000057
Wnt pathway	negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification	GO:2000054
Wnt pathway	negative regulation of Wnt signaling pathway involved in heart development	GO:0003308
Wnt pathway	negative regulation of Wnt signaling pathway, calcium modulating pathway	GO:0045812
Wnt pathway	negative regulation of anterior neural cell fate commitment of the neural plate by Wnt signaling pathway	GO:0022002
Wnt pathway	negative regulation of canonical Wnt signaling pathway	GO:0090090
Wnt pathway	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	GO:1901296
Wnt pathway	negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	GO:2000080
Wnt pathway	negative regulation of canonical Wnt signaling pathway involved in neural crest cell differentiation	GO:0072336
Wnt pathway	negative regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation	GO:0060829
Wnt pathway	negative regulation of heart induction by canonical Wnt signaling pathway	GO:0003136
Wnt pathway	negative regulation of non-canonical Wnt signaling pathway	GO:2000051
Wnt pathway	negative regulation of non-canonical Wnt signaling pathway via JNK cascade	GO:1901230
Wnt pathway	non-canonical Wnt signaling pathway	GO:0035567
Wnt pathway	non-canonical Wnt signaling pathway involved in heart development	GO:0061341
Wnt pathway	non-canonical Wnt signaling pathway via JNK cascade	GO:0038031
Wnt pathway	non-canonical Wnt signaling pathway via MAPK cascade	GO:0038030
Wnt pathway	positive regulation of Wnt protein secretion	GO:0061357
Wnt pathway	positive regulation of Wnt signaling pathway	GO:0030177
Wnt pathway	positive regulation of Wnt signaling pathway by BMP signaling pathway	GO:0060804
Wnt pathway	positive regulation of Wnt signaling pathway by Wnt receptor internalization	GO:0038013
Wnt pathway	positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region	GO:0035593
Wnt pathway	positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification	GO:2000055
Wnt pathway	positive regulation of Wnt signaling pathway, calcium modulating pathway	GO:0045813
Wnt pathway	positive regulation of Wnt signaling pathway, planar cell polarity pathway	GO:2000096
Wnt pathway	positive regulation of canonical Wnt signaling pathway	GO:0090263
Wnt pathway	positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	GO:1901297
Wnt pathway	positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	GO:2000081
Wnt pathway	positive regulation of canonical Wnt signaling pathway involved in neural crest cell differentiation	GO:0072381
Wnt pathway	positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway	GO:0090082
Wnt pathway	positive regulation of non-canonical Wnt signaling pathway	GO:2000052
Wnt pathway	positive regulation of non-canonical Wnt signaling pathway via JNK cascade	GO:1901231
Wnt pathway	positive regulation of posterior neural plate formation by Wnt signaling pathway	GO:0090021
Wnt pathway	receptor internalization involved in canonical Wnt signaling pathway	GO:2000286
Wnt pathway	regulation of Wnt protein secretion	GO:0061356
Wnt pathway	regulation of Wnt signaling pathway	GO:0030111
Wnt pathway	regulation of Wnt signaling pathway by Wnt protein secretion	GO:0061359
Wnt pathway	regulation of Wnt signaling pathway involved in digestive tract morphogenesis	GO:2000056
Wnt pathway	regulation of Wnt signaling pathway involved in dorsal/ventral axis specification	GO:2000053
Wnt pathway	regulation of Wnt signaling pathway involved in heart development	GO:0003307
Wnt pathway	regulation of Wnt signaling pathway, calcium modulating pathway	GO:0008591
Wnt pathway	regulation of Wnt signaling pathway, planar cell polarity pathway	GO:2000095
Wnt pathway	regulation of canonical Wnt signaling pathway	GO:0060828
Wnt pathway	regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	GO:1901295
