RCV_ID	RCV_NAME	GO_ID	GO_NAME	STATUS
RCV_000001	B cells	GO_0042113	B cell activation	1
RCV_000001	B cells	GO_0097323	B cell adhesion	1
RCV_000001	B cells	GO_0002344	B cell affinity maturation	1
RCV_000001	B cells	GO_0002515	B cell anergy	1
RCV_000001	B cells	GO_0002450	B cell antigen processing and presentation	1
RCV_000001	B cells	GO_0002421	B cell antigen processing and presentation following pinocytosis	1
RCV_000001	B cells	GO_0002417	B cell antigen processing and presentation mediated by B cell receptor uptake of antigen	1
RCV_000001	B cells	GO_0001783	B cell apoptotic process	1
RCV_000001	B cells	GO_0035754	B cell chemotaxis	1
RCV_000001	B cells	GO_0031296	B cell costimulation	1
RCV_000001	B cells	GO_0002368	B cell cytokine production	1
RCV_000001	B cells	GO_0002516	B cell deletion	1
RCV_000001	B cells	GO_0030183	B cell differentiation	1
RCV_000001	B cells	GO_0001782	B cell homeostasis	1
RCV_000001	B cells	GO_0002358	B cell homeostatic proliferation	1
RCV_000001	B cells	GO_0002773	B cell inhibitory signaling pathway	1
RCV_000001	B cells	GO_0002326	B cell lineage commitment	1
RCV_000001	B cells	GO_0019724	B cell mediated immunity	1
RCV_000001	B cells	GO_0002352	B cell negative selection	1
RCV_000001	B cells	GO_0002346	B cell positive selection	1
RCV_000001	B cells	GO_0042100	B cell proliferation	1
RCV_000001	B cells	GO_0002452	B cell receptor editing	1
RCV_000001	B cells	GO_0036300	B cell receptor internalization	1
RCV_000001	B cells	GO_0050853	B cell receptor signaling pathway	1
RCV_000001	B cells	GO_0032598	B cell receptor transport into immunological synapse	1
RCV_000001	B cells	GO_0032597	B cell receptor transport into membrane raft	1
RCV_000001	B cells	GO_0032595	B cell receptor transport within lipid bilayer	1
RCV_000001	B cells	GO_0002339	B cell selection	1
RCV_000001	B cells	GO_0002514	B cell tolerance induction	1
RCV_000001	B cells	GO_0002402	B cell tolerance induction in mucosal-associated lymphoid tissue	1
RCV_000001	B cells	GO_0001923	B-1 B cell differentiation	1
RCV_000001	B cells	GO_0001922	B-1 B cell homeostasis	1
RCV_000001	B cells	GO_0002336	B-1 B cell lineage commitment	1
RCV_000001	B cells	GO_0002359	B-1 B cell proliferation	1
RCV_000001	B cells	GO_0002337	B-1a B cell differentiation	1
RCV_000001	B cells	GO_0002338	B-1b B cell differentiation	1
RCV_000001	B cells	GO_0033151	V(D)J recombination	1
RCV_000001	B cells	GO_0002564	alternate splicing of immunoglobulin genes	1
RCV_000001	B cells	GO_0002341	central B cell anergy	1
RCV_000001	B cells	GO_0002342	central B cell deletion	1
RCV_000001	B cells	GO_0002354	central B cell negative selection	1
RCV_000001	B cells	GO_0002348	central B cell positive selection	1
RCV_000001	B cells	GO_0002511	central B cell receptor editing	1
RCV_000001	B cells	GO_0002340	central B cell selection	1
RCV_000001	B cells	GO_0002510	central B cell tolerance induction	1
RCV_000001	B cells	GO_0001769	establishment of B cell polarity	1
RCV_000001	B cells	GO_0002316	follicular B cell differentiation	1
RCV_000001	B cells	GO_0002314	germinal center B cell differentiation	1
RCV_000001	B cells	GO_0002327	immature B cell differentiation	1
RCV_000001	B cells	GO_0002315	marginal zone B cell differentiation	1
RCV_000001	B cells	GO_0002901	mature B cell apoptotic process	1
RCV_000001	B cells	GO_0002335	mature B cell differentiation	1
RCV_000001	B cells	GO_0002319	memory B cell differentiation	1
RCV_000001	B cells	GO_0050869	negative regulation of B cell activation	1
RCV_000001	B cells	GO_0002671	negative regulation of B cell anergy	1
RCV_000001	B cells	GO_0002623	negative regulation of B cell antigen processing and presentation	1
RCV_000001	B cells	GO_0002903	negative regulation of B cell apoptotic process	1
RCV_000001	B cells	GO_0002722	negative regulation of B cell cytokine production	1
RCV_000001	B cells	GO_0002868	negative regulation of B cell deletion	1
RCV_000001	B cells	GO_0045578	negative regulation of B cell differentiation	1
RCV_000001	B cells	GO_0002713	negative regulation of B cell mediated immunity	1
RCV_000001	B cells	GO_0030889	negative regulation of B cell proliferation	1
RCV_000001	B cells	GO_0050859	negative regulation of B cell receptor signaling pathway	1
RCV_000001	B cells	GO_0002662	negative regulation of B cell tolerance induction	1
RCV_000001	B cells	GO_0001925	negative regulation of B-1 B cell differentiation	1
RCV_000001	B cells	GO_0002915	negative regulation of central B cell anergy	1
RCV_000001	B cells	GO_0002899	negative regulation of central B cell deletion	1
RCV_000001	B cells	GO_0002896	negative regulation of central B cell tolerance induction	1
RCV_000001	B cells	GO_0002906	negative regulation of mature B cell apoptotic process	1
RCV_000001	B cells	GO_0002918	negative regulation of peripheral B cell anergy	1
RCV_000001	B cells	GO_0002909	negative regulation of peripheral B cell deletion	1
RCV_000001	B cells	GO_2000974	negative regulation of pro-B cell differentiation	1
RCV_000001	B cells	GO_0002453	peripheral B cell anergy	1
RCV_000001	B cells	GO_0002454	peripheral B cell deletion	1
RCV_000001	B cells	GO_0002356	peripheral B cell negative selection	1
RCV_000001	B cells	GO_0002350	peripheral B cell positive selection	1
RCV_000001	B cells	GO_0002345	peripheral B cell receptor editing	1
RCV_000001	B cells	GO_0002343	peripheral B cell selection	1
RCV_000001	B cells	GO_0002451	peripheral B cell tolerance induction	1
RCV_000001	B cells	GO_0050871	positive regulation of B cell activation	1
RCV_000001	B cells	GO_0002672	positive regulation of B cell anergy	1
RCV_000001	B cells	GO_0002624	positive regulation of B cell antigen processing and presentation	1
RCV_000001	B cells	GO_0002904	positive regulation of B cell apoptotic process	1
RCV_000001	B cells	GO_0002723	positive regulation of B cell cytokine production	1
RCV_000001	B cells	GO_0002869	positive regulation of B cell deletion	1
RCV_000001	B cells	GO_0045579	positive regulation of B cell differentiation	1
RCV_000001	B cells	GO_0002714	positive regulation of B cell mediated immunity	1
RCV_000001	B cells	GO_0030890	positive regulation of B cell proliferation	1
RCV_000001	B cells	GO_0050861	positive regulation of B cell receptor signaling pathway	1
RCV_000001	B cells	GO_0002663	positive regulation of B cell tolerance induction	1
