name	ID	manual	auto	checked	blacklisted
RNA polymerase III type 3 promoter sequence-specific DNA binding	GO_0001006	1	1	1	0
serum response element binding	GO_0010736	0	1	0	0
transcription regulatory region sequence-specific DNA binding	GO_0000976	1	1	1	0
DNA hairpin binding	GO_0032448	0	1	0	0
adenine/guanine mispair binding	GO_0035485	0	1	0	0
double-stranded telomeric DNA binding	GO_0003691	0	1	0	0
piRNA dual-strand cluster binding	GO_1990472	0	1	0	0
3'-flap-structured DNA binding	GO_0070337	0	1	0	0
RNA polymerase III type 2 promoter DNA binding	GO_0001031	1	1	1	0
carbohydrate response element binding	GO_0035538	0	1	0	0
RNA polymerase II distal enhancer sequence-specific DNA binding	GO_0000980	1	1	1	0
single adenine insertion binding	GO_0032140	0	1	0	0
transcription termination site sequence-specific DNA binding	GO_0001147	0	1	0	0
mitochondrial light strand promoter anti-sense binding	GO_0070361	0	1	0	0
Y-form DNA binding	GO_0000403	1	1	1	0
flap-structured DNA binding	GO_0070336	0	1	0	0
guanine/thymine mispair binding	GO_0032137	0	1	0	0
enhancer binding	GO_0035326	0	1	0	0
satellite DNA binding	GO_0003696	0	1	0	0
replication fork barrier binding	GO_0031634	0	1	0	0
tDNA binding	GO_0071443	0	1	0	0
adenine/adenine mispair binding	GO_0035484	0	1	0	0
rDNA spacer replication fork barrier binding	GO_0043110	0	1	0	0
DNA end binding	GO_0045027	0	1	0	0
5'-flap-structured DNA binding	GO_0070338	0	1	0	0
RNA polymerase II regulatory region DNA binding	GO_0001012	1	1	1	0
RNA polymerase III hybrid type promoter DNA binding	GO_0001037	1	1	1	0
mitochondrial light strand promoter sense binding	GO_0070363	0	1	0	0
E-box binding	GO_0070888	0	1	0	0
RNA polymerase I regulatory region DNA binding	GO_0001013	1	1	1	0
single base insertion or deletion binding	GO_0032138	0	1	0	0
RNA polymerase I enhancer sequence-specific DNA binding	GO_0001166	0	1	0	0
RNA polymerase II core promoter proximal region sequence-specific DNA binding, bending	GO_0044377	0	1	0	0
RNA polymerase II core promoter sequence-specific DNA binding	GO_0000979	1	1	1	0
rDNA binding	GO_0000182	1	1	1	0
juvenile hormone response element binding	GO_0070594	0	1	0	0
core promoter binding	GO_0001047	1	1	1	0
thymine/thymine mispair binding	GO_0035487	0	1	0	0
unmethylated CpG binding	GO_0045322	0	1	0	0
bacterial-type RNA polymerase enhancer sequence-specific DNA binding	GO_0001150	0	1	0	0
bubble DNA binding	GO_0000405	1	1	1	0
piRNA cluster binding	GO_1990470	0	1	0	0
regulatory region nucleic acid binding	GO_0001067	1	0	1	0
AT DNA binding	GO_0003680	0	1	0	0
core promoter proximal region DNA binding	GO_0001159	0	1	0	0
single thymine insertion binding	GO_0032143	0	1	0	0
mismatched DNA binding	GO_0030983	0	1	0	0
alkylated DNA binding	GO_0032131	0	1	0	0
RNA polymerase III type 1 promoter DNA binding	GO_0001030	1	1	1	0
DNA replication origin binding	GO_0003688	0	1	0	0
RNA polymerase II core promoter proximal region sequence-specific DNA binding	GO_0000978	1	1	1	0
heteroduplex DNA loop binding	GO_0000404	1	1	1	0
RNA polymerase I regulatory region sequence-specific DNA binding	GO_0001163	0	1	0	0
double-stranded DNA binding	GO_0003690	0	1	0	0
core promoter proximal region sequence-specific DNA binding	GO_0000987	1	1	1	0
double-strand/single-strand DNA junction binding	GO_0000406	1	1	1	0
centromeric DNA binding	GO_0019237	0	1	0	0
double-stranded methylated DNA binding	GO_0010385	0	1	0	0
bacterial-type RNA polymerase termination site sequence-specific DNA binding	GO_0001148	0	1	0	0
O6-alkylguanine-DNA binding	GO_0032132	0	1	0	0
RNA polymerase II regulatory region sequence-specific DNA binding	GO_0000977	1	1	1	0
left-handed Z-DNA binding	GO_0003692	0	1	0	0
mitochondrial RNA polymerase core promoter sequence-specific DNA binding	GO_0000997	0	1	0	0
DNA clamp loader activity	GO_0003689	0	1	0	0
mitochondrial heavy strand promoter sense binding	GO_0070364	0	1	0	0
retinoic acid-responsive element binding	GO_0044323	0	1	0	0
four-way junction DNA binding	GO_0000400	1	1	1	0
transcription regulatory region DNA binding	GO_0044212	0	1	0	0
bacterial-type RNA polymerase regulatory region DNA binding	GO_0001017	1	1	1	0
vitamin D response element binding	GO_0070644	0	1	0	0
purine-rich negative regulatory element binding	GO_0032422	0	1	0	0
DNA secondary structure binding	GO_0000217	0	1	0	0
chromatin insulator sequence binding	GO_0043035	0	1	0	0
bacterial-type RNA polymerase regulatory region sequence-specific DNA binding	GO_0000984	1	1	1	0
mitochondrial RNA polymerase regulatory region DNA binding	GO_0001018	1	1	1	0
nucleosomal DNA binding	GO_0031492	0	1	0	0
single-stranded DNA binding	GO_0003697	0	1	0	0
chromatin DNA binding	GO_0031490	0	1	0	0
structure-specific DNA binding	GO_0043566	0	1	0	0
open form four-way junction DNA binding	GO_0000401	1	1	1	0
base pairing with DNA	GO_0000497	0	1	0	0
dinucleotide repeat insertion binding	GO_0032181	0	1	0	0
bent DNA binding	GO_0003681	0	1	0	0
mitochondrial RNA polymerase regulatory region sequence-specific DNA binding	GO_0001044	1	1	1	0
RNA polymerase III hybrid type promoter sequence-specific DNA binding	GO_0001039	1	1	1	0
plastid RNA polymerase regulatory region DNA binding	GO_0001019	1	1	1	0
cytosine/thymine mispair binding	GO_0035488	0	1	0	0
RNA polymerase III type 1 promoter sequence-specific DNA binding	GO_0001002	1	1	1	0
crossed form four-way junction DNA binding	GO_0000402	1	1	1	0
telomeric DNA binding	GO_0042162	0	1	0	0
N-box binding	GO_0071820	0	1	0	0
oxidized DNA binding	GO_0032356	0	1	0	0
oxidized pyrimidine DNA binding	GO_0032358	0	1	0	0
G-quadruplex DNA binding	GO_0051880	0	1	0	0
non-sequence-specific DNA binding, bending	GO_0044378	0	1	0	0
damaged DNA binding	GO_0003684	0	1	0	0
P-element binding	GO_0003693	0	1	0	0
adenine/cytosine mispair binding	GO_0032136	0	1	0	0
sequence-specific DNA binding, bending	GO_0044374	0	1	0	0
regulatory region DNA binding	GO_0000975	1	1	1	0
G-rich strand telomeric DNA binding	GO_0098505	0	1	0	0
polymerase III regulatory region sequence-specific DNA binding	GO_0000992	1	1	1	0
mitochondrial RNA polymerase core promoter proximal region sequence-specific DNA binding	GO_0001045	1	1	1	0
RNA polymerase III type 2 promoter sequence-specific DNA binding	GO_0001003	1	1	1	0
