name	ID	manual	auto	checked	blacklisted	is_obsolete
signal transduction involved in mitotic G2 DNA damage checkpoint	GO_0072434	1	1	1	0	0
signal transduction involved in mitotic G1 DNA damage checkpoint	GO_0072431	1	1	1	0	0
signal transduction involved in intra-S DNA damage checkpoint	GO_0072428	1	1	1	0	0
signal transduction involved in G2 DNA damage checkpoint	GO_0072425	1	1	1	0	0
signal transduction involved in DNA damage checkpoint	GO_0072422	1	1	1	0	0
signal transduction in response to DNA damage	GO_0042770	1	1	1	0	0
regulation of response to DNA damage stimulus	GO_2001020	1	1	1	0	0
regulation of histone H4 acetylation involved in response to DNA damage stimulus	GO_2000873	1	1	1	0	0
regulation of DNA damage response, signal transduction by p53 class mediator	GO_0043516	1	1	1	0	0
regulation of DNA damage checkpoint	GO_2000001	1	1	1	0	0
positive regulation of response to DNA damage stimulus	GO_2001022	1	1	1	0	0
positive regulation of DNA damage response, signal transduction by p53 class mediator	GO_0043517	1	1	1	0	0
positive regulation of DNA damage checkpoint	GO_2000003	1	1	1	0	0
negative regulation of response to DNA damage stimulus	GO_2001021	1	1	1	0	0
negative regulation of DNA damage response, signal transduction by p53 class mediator	GO_0043518	1	1	1	0	0
negative regulation of DNA damage checkpoint	GO_2000002	1	1	1	0	0
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO_0042771	1	1	1	0	0
intrinsic apoptotic signaling pathway in response to DNA damage	GO_0008630	1	1	1	0	0
intra-S DNA damage checkpoint	GO_0031573	1	1	1	0	0
detection of DNA damage stimulus involved in mitotic G2 DNA damage checkpoint	GO_0072433	1	1	1	0	0
detection of DNA damage stimulus involved in mitotic G1 DNA damage checkpoint	GO_0072430	1	1	1	0	0
detection of DNA damage stimulus involved in intra-S DNA damage checkpoint	GO_0072427	1	1	1	0	0
detection of DNA damage stimulus involved in G2 DNA damage checkpoint	GO_0072424	1	1	1	0	0
detection of DNA damage stimulus involved in DNA damage checkpoint	GO_0072421	1	1	1	0	0
cellular response to DNA damage stimulus	GO_0006974	1	1	1	0	0
G1 DNA damage checkpoint	GO_0044783	1	1	1	0	0
DNA damage response, signal transduction resulting in transcription	GO_0042772	1	1	1	0	0
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO_0006978	1	1	1	0	0
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO_0006977	1	1	1	0	0
DNA damage response, signal transduction by p53 class mediator	GO_0030330	1	1	1	0	0
DNA damage response, detection of DNA damage	GO_0042769	1	1	1	0	0
DNA damage induced protein phosphorylation	GO_0006975	1	1	1	0	0
DNA damage checkpoint	GO_0000077	1	1	1	0	0
signal initiation by physical damage	GO_0023039	1	0	1	1	1
response to mitotic G2 DNA damage checkpoint signaling	GO_0072435	1	0	1	0	0
response to intra-S DNA damage checkpoint signaling	GO_0072429	1	0	1	0	0
response to G2 DNA damage checkpoint signaling	GO_0072426	1	0	1	0	0
response to G1 DNA damage checkpoint signaling	GO_0072432	1	0	1	0	0
response to DNA damage checkpoint signaling	GO_0072423	1	0	1	0	0
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	GO_0010767	1	0	1	0	0
negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	GO_0010768	1	0	1	0	0
viral DNA repair	GO_0046787	0	1	0	0	0
translesion synthesis	GO_0019985	0	1	0	0	0
transcription-coupled nucleotide-excision repair, DNA damage recognition	GO_0000716	0	1	0	0	0
transcription-coupled nucleotide-excision repair	GO_0006283	0	1	0	0	0
telomere maintenance in response to DNA damage	GO_0043247	0	1	0	0	0
single-strand break repair via homologous recombination	GO_1990396	0	1	0	0	0
single strand break repair	GO_0000012	0	1	0	0	0
signal transduction involved in mitotic DNA damage checkpoint	GO_1902402	0	1	0	0	0
ribonucleotide excision repair	GO_1990516	0	1	0	0	0
replication-born double-strand break repair via sister chromatid exchange	GO_1990414	0	1	0	0	0
replication fork reversal	GO_0071932	0	1	0	0	0
replication fork processing at rDNA locus	GO_0034065	0	1	0	0	0
replication fork processing	GO_0031297	0	1	0	0	0
regulation of transcription-coupled nucleotide-excision repair	GO_0090262	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter in response to DNA damage	GO_1990248	0	1	0	0	0
regulation of single-strand break repair via homologous recombination	GO_1903110	0	1	0	0	0
regulation of single strand break repair	GO_1903516	0	1	0	0	0
regulation of signal transduction involved in mitotic G2 DNA damage checkpoint	GO_1902504	0	1	0	0	0
regulation of nucleotide-excision repair	GO_2000819	0	1	0	0	0
regulation of mitotic recombination involved in replication fork processing	GO_1903221	0	1	0	0	0
regulation of mismatch repair	GO_0032423	0	1	0	0	0
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO_1902165	0	1	0	0	0
regulation of intrinsic apoptotic signaling pathway in response to DNA damage	GO_1902229	0	1	0	0	0
regulation of double-strand break repair via nonhomologous end joining	GO_2001032	0	1	0	0	0
regulation of double-strand break repair via homologous recombination	GO_0010569	0	1	0	0	0
regulation of double-strand break repair via break-induced replication	GO_1901591	0	1	0	0	0
regulation of double-strand break repair	GO_2000779	0	1	0	0	0
regulation of DNA repair	GO_0006282	0	1	0	0	0
regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO_1902162	0	1	0	0	0
recruitment of helicase-primase complex to DNA lesions	GO_0046799	0	1	0	0	0
recombinational repair	GO_0000725	0	1	0	0	0
recombinational interstrand cross-link repair	GO_0036298	0	1	0	0	0
pyrimidine dimer repair by nucleotide-excision repair	GO_0000720	0	1	0	0	0
pyrimidine dimer repair	GO_0006290	0	1	0	0	0
protection from non-homologous end joining at telomere	GO_0031848	0	1	0	0	0
postreplication repair	GO_0006301	0	1	0	0	0
positive regulation of single-strand break repair via homologous recombination	GO_1903112	0	1	0	0	0
positive regulation of single strand break repair	GO_1903518	0	1	0	0	0
positive regulation of signal transduction involved in mitotic G2 DNA damage checkpoint	GO_1902506	0	1	0	0	0
positive regulation of mismatch repair	GO_0032425	0	1	0	0	0
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GO_1902167	0	1	0	0	0
