name	ID	manual	auto	checked	blacklisted
viral DNA repair	GO_0046787	1	1	1	0
translesion synthesis	GO_0019985	1	1	1	0
transcription-coupled nucleotide-excision repair, DNA damage recognition	GO_0000716	1	1	1	0
transcription-coupled nucleotide-excision repair	GO_0006283	1	1	1	0
single-strand break repair via homologous recombination	GO_1990396	1	1	1	0
single strand break repair	GO_0000012	1	1	1	0
replication-born double-strand break repair via sister chromatid exchange	GO_1990414	1	1	1	0
regulation of transcription-coupled nucleotide-excision repair	GO_0090262	1	1	1	0
regulation of single-strand break repair via homologous recombination	GO_1903110	1	1	1	0
regulation of nucleotide-excision repair	GO_2000819	1	1	1	0
regulation of mismatch repair	GO_0032423	1	1	1	0
regulation of double-strand break repair via nonhomologous end joining	GO_2001032	1	1	1	0
regulation of double-strand break repair via homologous recombination	GO_0010569	1	1	1	0
regulation of double-strand break repair via break-induced replication	GO_1901591	1	1	1	0
regulation of double-strand break repair	GO_2000779	1	1	1	0
regulation of DNA repair	GO_0006282	1	1	1	0
recruitment of helicase-primase complex to DNA lesions	GO_0046799	1	1	1	0
recombinational repair	GO_0000725	1	1	1	0
recombinational interstrand cross-link repair	GO_0036298	1	1	1	0
pyrimidine dimer repair by nucleotide-excision repair	GO_0000720	1	1	1	0
pyrimidine dimer repair	GO_0006290	1	1	1	0
postreplication repair	GO_0006301	1	1	1	0
positive regulation of single-strand break repair via homologous recombination	GO_1903112	1	1	1	0
positive regulation of mismatch repair	GO_0032425	1	1	1	0
positive regulation of double-strand break repair via nonhomologous end joining	GO_2001034	1	1	1	0
positive regulation of double-strand break repair	GO_2000781	1	1	1	0
positive regulation of DNA repair by positive regulation of transcription from RNA polymerase II promoter	GO_1900404	1	1	1	0
positive regulation of DNA repair	GO_0045739	1	1	1	0
photoreactive repair	GO_0000719	1	1	1	0
nucleotide-excision repair, preincision complex stabilization	GO_0006293	1	1	1	0
nucleotide-excision repair, preincision complex assembly	GO_0006294	1	1	1	0
nucleotide-excision repair, DNA incision, 5'-to lesion	GO_0006296	1	1	1	0
nucleotide-excision repair, DNA incision, 3'-to lesion	GO_0006295	1	1	1	0
nucleotide-excision repair, DNA incision	GO_0033683	1	1	1	0
nucleotide-excision repair, DNA gap filling	GO_0006297	1	1	1	0
nucleotide-excision repair, DNA duplex unwinding	GO_0000717	1	1	1	0
nucleotide-excision repair, DNA damage removal	GO_0000718	1	1	1	0
nucleotide-excision repair, DNA damage recognition	GO_0000715	1	1	1	0
nucleotide-excision repair involved in interstrand cross-link repair	GO_1901255	1	1	1	0
nucleotide-excision repair factor 4 complex	GO_0000113	1	1	1	0
nucleotide-excision repair factor 3 complex	GO_0000112	1	1	1	0
nucleotide-excision repair factor 2 complex	GO_0000111	1	1	1	0
nucleotide-excision repair factor 1 complex	GO_0000110	1	1	1	0
nucleotide-excision repair complex	GO_0000109	1	1	1	0
nucleotide-excision repair	GO_0006289	1	1	1	0
nucleotide phosphorylation involved in DNA repair	GO_1902113	1	1	1	0
nonhomologous end joining complex	GO_0070419	1	1	1	0
non-recombinational repair	GO_0000726	1	1	1	0
non-recombinational interstrand cross-link repair	GO_0036299	1	1	1	0
non-photoreactive DNA repair	GO_0010213	1	1	1	0
negative regulation of single-strand break repair via homologous recombination	GO_1903111	1	1	1	0
negative regulation of mismatch repair	GO_0032424	1	1	1	0
negative regulation of double-strand break repair via single-strand annealing	GO_1901291	1	1	1	0
negative regulation of double-strand break repair via nonhomologous end joining	GO_2001033	1	1	1	0
negative regulation of double-strand break repair via homologous recombination	GO_2000042	1	1	1	0
negative regulation of double-strand break repair via break-induced replication	GO_1901592	1	1	1	0
negative regulation of double-strand break repair	GO_2000780	1	1	1	0
negative regulation of DNA repair	GO_0045738	1	1	1	0
mitochondrial double-strand break repair via homologous recombination	GO_0097552	1	1	1	0
mitochondrial double-strand break repair	GO_0097551	1	1	1	0
mitochondrial DNA repair	GO_0043504	1	1	1	0
mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication	GO_0070716	1	1	1	0
mismatch repair complex	GO_0032300	1	1	1	0
mismatch repair	GO_0006298	1	1	1	0
meiotic strand displacement involved in double-strand break repair via SDSA	GO_1902346	1	1	1	0
meiotic recombination nodule assembly	GO_0007146	1	1	1	0
meiotic mismatch repair involved in reciprocal meiotic recombination	GO_0010777	1	1	1	0
meiotic mismatch repair involved in meiotic gene conversion	GO_0010776	1	1	1	0
meiotic mismatch repair	GO_0000710	1	1	1	0
meiotic DNA repair synthesis involved in reciprocal meiotic recombination	GO_0010778	1	1	1	0
meiotic DNA repair synthesis involved in meiotic gene conversion	GO_0010779	1	1	1	0
