name	ID	manual	auto	checked	blacklisted
epidermal growth factor receptor ligand maturation	GO_0038004	1	1	1	0
regulation of epidermal growth factor-activated receptor activity	GO_0007176	1	1	1	0
epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway	GO_0035625	1	1	1	0
epidermal growth factor receptor signaling pathway	GO_0007173	1	1	1	0
epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade	GO_0038168	1	1	1	0
regulation of epidermal growth factor receptor signaling pathway	GO_0042058	1	1	1	0
epidermal growth factor receptor signaling pathway via MAPK cascade	GO_0038029	1	1	1	0
epidermal growth factor receptor signaling pathway via positive regulation of NF-kappaB transcription factor activity	GO_0038167	1	1	1	0
epidermal growth factor receptor signaling pathway involved in lung development	GO_0060507	1	1	1	0
negative regulation of coreceptor activity involved in epidermal growth factor receptor signaling pathway	GO_0060728	0	1	1	0
positive regulation of coreceptor activity involved in epidermal growth factor receptor signaling pathway	GO_0060727	0	1	1	0
regulation of coreceptor activity involved in epidermal growth factor receptor signaling pathway	GO_0060726	0	1	1	0
ERBB2-EGFR signaling pathway	GO_0038134	0	1	1	0
epidermal growth factor signaling pathway involved in forebrain neuron fate commitment	GO_0022026	0	1	1	0
gurken-activated receptor activity	GO_0008313	0	1	1	0
epidermal growth factor-activated receptor activity	GO_0005006	0	1	1	0
coreceptor activity involved in epidermal growth factor receptor signaling pathway	GO_0060724	0	1	1	0
positive regulation of epidermal growth factor receptor signaling pathway	GO_0045742	0	1	1	0
gurken signaling pathway	GO_0008314	0	1	1	0
epidermal growth factor catabolic process	GO_0007174	0	1	1	0
negative regulation of epidermal growth factor-activated receptor activity	GO_0007175	0	1	1	0
ERBB4-EGFR signaling pathway	GO_0038137	0	1	1	0
negative regulation of epidermal growth factor receptor signaling pathway	GO_0042059	0	1	1	0
positive regulation of epidermal growth factor-activated receptor activity	GO_0045741	0	1	1	0
