name	ID	manual	auto	checked	blacklisted
T cell proliferation	GO_0042098	1	1	1	0
T cell chemotaxis	GO_0010818	1	1	1	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	GO_0002361	1	1	1	0
T cell mediated cytotoxicity directed against tumor cell target	GO_0002419	1	1	1	0
T cell differentiation in thymus	GO_0033077	1	1	1	0
negative extrathymic T cell selection	GO_0045068	1	1	1	0
CD8-positive, alpha-beta T cell differentiation	GO_0043374	1	1	1	0
CD4-positive, alpha-beta T cell activation	GO_0035710	1	1	1	0
CD8-positive, alpha-beta cytotoxic T cell differentiation	GO_0002308	1	1	1	0
positive T cell selection	GO_0043368	1	1	1	0
T cell tolerance induction in mucosal-associated lymphoid tissue	GO_0002403	1	1	1	0
regulatory T cell differentiation	GO_0045066	1	1	1	0
CD8-positive, gamma-delta intraepithelial T cell differentiation	GO_0002305	1	1	1	0
T cell tolerance induction to tumor cell	GO_0002411	1	1	1	0
T cell homeostatic proliferation	GO_0001777	1	1	1	0
CD4-positive, alpha-beta T cell costimulation	GO_0035783	1	1	1	0
T cell migration	GO_0072678	1	1	1	0
peripheral T cell tolerance induction	GO_0002458	1	1	1	0
T cell activation	GO_0042110	1	1	1	0
alpha-beta T cell activation	GO_0046631	1	1	1	0
gamma-delta T cell activation	GO_0046629	1	1	1	0
CD8-positive, alpha-beta T cell proliferation	GO_0035740	1	1	1	0
alpha-beta T cell differentiation	GO_0046632	1	1	1	0
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	GO_0002291	1	1	1	0
CD4-positive, alpha-beta T cell proliferation	GO_0035739	1	1	1	0
cytotoxic T cell degranulation	GO_0043316	1	1	1	0
cytotoxic T cell differentiation	GO_0045065	1	1	1	0
memory T cell activation	GO_0035709	1	1	1	0
T cell differentiation	GO_0030217	1	1	1	0
memory T cell extravasation	GO_0035683	1	1	1	0
extrathymic T cell differentiation	GO_0033078	1	1	1	0
T cell extravasation	GO_0072683	1	1	1	0
immature T cell proliferation	GO_0033079	1	1	1	0
thymic T cell selection	GO_0045061	1	1	1	0
T cell anergy	GO_0002870	1	1	1	0
T cell selection	GO_0045058	1	1	1	0
T cell mediated immunity	GO_0002456	1	1	1	0
negative T cell selection	GO_0043383	1	1	1	0
alpha-beta intraepithelial T cell differentiation	GO_0002299	1	1	1	0
gamma-delta T cell proliferation	GO_0046630	1	1	1	0
T cell homeostasis	GO_0043029	1	1	1	0
CD4-positive, alpha-beta intraepithelial T cell differentiation	GO_0002301	1	1	1	0
CD4-positive, alpha-beta T cell cytokine production	GO_0035743	1	1	1	0
immature T cell proliferation in thymus	GO_0033080	1	1	1	0
alpha-beta T cell activation by superantigen	GO_0042722	1	1	1	0
T cell costimulation	GO_0031295	1	1	1	0
memory T cell differentiation	GO_0043379	1	1	1	0
CD8-positive, alpha-beta intraepithelial T cell differentiation	GO_0002300	1	1	1	0
positive thymic T cell selection	GO_0045059	1	1	1	0
CD4-positive, alpha-beta T cell differentiation	GO_0043367	1	1	1	0
CD8-positive, alpha-beta cytotoxic T cell extravasation	GO_0035698	1	1	1	0
CD8-positive, alpha-beta T cell extravasation	GO_0035697	1	1	1	0
CD8-positive, alpha-beta T cell activation	GO_0036037	1	1	1	0
T cell mediated cytotoxicity	GO_0001913	1	1	1	0
positive extrathymic T cell selection	GO_0045067	1	1	1	0
CD8-positive, alpha-beta regulatory T cell differentiation	GO_0002307	1	1	1	0
negative thymic T cell selection	GO_0045060	1	1	1	0
extrathymic T cell selection	GO_0045062	1	1	1	0
alpha-beta T cell proliferation	GO_0046633	1	1	1	0
T cell cytokine production	GO_0002369	1	1	1	0
CD4-positive gamma-delta intraepithelial T cell differentiation	GO_0002306	1	1	1	0
gamma-delta T cell differentiation	GO_0042492	1	1	1	0
gamma-delta intraepithelial T cell differentiation	GO_0002304	1	1	1	0
positive regulation of CD4-positive, alpha-beta T cell activation	GO_2000516	1	0	1	0
positive regulation of initiation of T cell receptor signaling	GO_0023011	1	0	1	0
negative regulation of cytotoxic T cell differentiation	GO_0045584	1	0	1	0
negative regulation of T cell apoptotic process	GO_0070233	1	0	1	0
negative regulation of T cell homeostatic proliferation	GO_0046014	1	0	1	0
positive regulation of CD8-positive, alpha-beta T cell differentiation	GO_0043378	1	0	1	0
gamma-delta T cell lineage commitment	GO_0002365	1	0	1	0
regulation of T cell cytokine production	GO_0002724	1	0	1	0
positive regulation of T cell proliferation	GO_0042102	1	0	1	0
T cell secretory granule organization	GO_0033371	1	0	1	0
somatic diversification of T cell receptor genes	GO_0002568	1	0	1	0
positive regulation of activation-induced cell death of T cells	GO_0070237	1	0	1	0
positive regulation of T cell receptor signaling pathway	GO_0050862	1	0	1	0
regulation of T cell differentiation in thymus	GO_0033081	1	0	1	0
negative regulation of gamma-delta T cell activation	GO_0046644	1	0	1	0
regulation of alpha-beta T cell differentiation	GO_0046637	1	0	1	0
alpha-beta T cell lineage commitment	GO_0002363	1	0	1	0
regulation of activated T cell proliferation	GO_0046006	1	0	1	0
regulation of immature T cell proliferation in thymus	GO_0033084	1	0	1	0
negative regulation of T cell differentiation	GO_0045581	1	0	1	0
negative regulation of T cell proliferation	GO_0042130	1	0	1	0
negative regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	GO_0032830	1	0	1	0
negative regulation of CD4-positive, alpha-beta T cell differentiation	GO_0043371	1	0	1	0
CD8-positive, alpha-beta T cell lineage commitment	GO_0043375	1	0	1	0
positive regulation of CD8-positive, alpha-beta T cell proliferation	GO_2000566	1	0	1	0
maintenance of protease location in T cell secretory granule	GO_0033379	1	0	1	0
regulation of immature T cell proliferation	GO_0033083	1	0	1	0
regulation of T cell costimulation	GO_2000523	1	0	1	0
negative regulation of T cell costimulation	GO_2000524	1	0	1	0
regulation of T cell antigen processing and presentation	GO_0002625	1	0	1	0
regulation of gene expression as a consequence of T cell signal transmission	GO_0023020	1	0	1	0
negative regulation of extrathymic T cell differentiation	GO_0033086	1	0	1	0
positive regulation of alpha-beta T cell activation	GO_0046635	1	0	1	0
positive regulation of T cell homeostatic proliferation	GO_0042103	1	0	1	0
regulation of CD8-positive, alpha-beta T cell extravasation	GO_2000449	1	0	1	0
negative regulation of gamma-delta T cell differentiation	GO_0045587	1	0	1	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment	GO_0002362	1	0	1	0
negative regulation of CD8-positive, alpha-beta T cell proliferation	GO_2000565	1	0	1	0
somatic diversification of T cell receptor genes by N region addition	GO_0002571	1	0	1	0
protein localization to trailing edge	GO_0036051	1	0	1	0
positive regulation of activated T cell proliferation	GO_0042104	1	0	1	0
regulation of activated T cell autonomous cell death	GO_0070239	1	0	1	0
granzyme B localization to T cell secretory granule	GO_0033380	1	0	1	0
regulation of gamma-delta T cell proliferation	GO_0046646	1	0	1	0
positive regulation of T cell cytokine production	GO_0002726	1	0	1	0
T cell receptor signaling pathway	GO_0050852	1	0	1	0
regulation of alpha-beta T cell activation	GO_0046634	1	0	1	0
negative regulation of regulatory T cell differentiation	GO_0045590	1	0	1	0
pro-T cell differentiation	GO_0002572	1	0	1	0
regulation of peripheral T cell tolerance induction	GO_0002849	1	0	1	0
regulation of T cell extravasation	GO_2000407	1	0	1	0
regulation of cytotoxic T cell differentiation	GO_0045583	1	0	1	0
negative regulation of alpha-beta T cell proliferation	GO_0046642	1	0	1	0
regulation of regulatory T cell differentiation	GO_0045589	1	0	1	0
negative regulation of alpha-beta T cell activation	GO_0046636	1	0	1	0
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	GO_2001188	1	0	1	0
regulation of T cell differentiation	GO_0045580	1	0	1	0
