name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of non-canonical Wnt signaling pathway via JNK cascade	GO_1901229	1	1	1	0	0
regulation of non-canonical Wnt signaling pathway	GO_2000050	1	1	1	0	0
regulation of heart induction by regulation of canonical Wnt signaling pathway	GO_0090081	1	1	1	0	0
regulation of hair cycle by canonical Wnt signaling pathway	GO_0060901	1	1	1	0	0
regulation of cell adhesion involved in heart morphogenesis by non-canonical Wnt signaling pathway	GO_0061342	1	1	1	0	0
regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation	GO_0060827	1	1	1	0	0
regulation of canonical Wnt signaling pathway involved in neural crest cell differentiation	GO_0072335	1	1	1	0	0
regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	GO_2000079	1	1	1	0	0
regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	GO_1901295	1	1	1	0	0
regulation of canonical Wnt signaling pathway	GO_0060828	1	1	1	0	0
regulation of Wnt signaling pathway, planar cell polarity pathway	GO_2000095	1	1	1	0	0
regulation of Wnt signaling pathway, calcium modulating pathway	GO_0008591	1	1	1	0	0
regulation of Wnt signaling pathway involved in heart development	GO_0003307	1	1	1	0	0
regulation of Wnt signaling pathway involved in dorsal/ventral axis specification	GO_2000053	1	1	1	0	0
regulation of Wnt signaling pathway involved in digestive tract morphogenesis	GO_2000056	1	1	1	0	0
regulation of Wnt signaling pathway by Wnt protein secretion	GO_0061359	1	1	1	0	0
regulation of Wnt signaling pathway	GO_0030111	1	1	1	0	0
receptor internalization involved in canonical Wnt signaling pathway	GO_2000286	1	1	1	0	0
positive regulation of posterior neural plate formation by Wnt signaling pathway	GO_0090021	1	1	1	0	0
positive regulation of non-canonical Wnt signaling pathway via JNK cascade	GO_1901231	1	1	1	0	0
positive regulation of non-canonical Wnt signaling pathway	GO_2000052	1	1	1	0	0
positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway	GO_0090082	1	1	1	0	0
positive regulation of canonical Wnt signaling pathway involved in neural crest cell differentiation	GO_0072381	1	1	1	0	0
positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	GO_2000081	1	1	1	0	0
positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	GO_1901297	1	1	1	0	0
positive regulation of canonical Wnt signaling pathway	GO_0090263	1	1	1	0	0
positive regulation of Wnt signaling pathway, planar cell polarity pathway	GO_2000096	1	1	1	0	0
positive regulation of Wnt signaling pathway, calcium modulating pathway	GO_0045813	1	1	1	0	0
positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification	GO_2000055	1	1	1	0	0
positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region	GO_0035593	1	1	1	0	0
