name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of beta1-adrenergic receptor activity	GO_1900256	1	1	1	0	0
regulation of adrenergic receptor signaling pathway involved in heart process	GO_1901204	1	1	1	0	0
regulation of adrenergic receptor signaling pathway	GO_0071877	1	1	1	0	0
positive regulation of ryanodine-sensitive calcium-release channel activity by adrenergic receptor signaling pathway involved in positive regulation of cardiac muscle contraction	GO_0086094	1	1	1	0	0
positive regulation of beta1-adrenergic receptor activity	GO_1900258	1	1	1	0	0
positive regulation of adrenergic receptor signaling pathway involved in heart process	GO_1901206	1	1	1	0	0
positive regulation of adrenergic receptor signaling pathway	GO_0071879	1	1	1	0	0
phospholipase C-activating adrenergic receptor signaling pathway	GO_0071882	1	1	1	0	0
negative regulation of beta1-adrenergic receptor activity	GO_1900257	1	1	1	0	0
negative regulation of adrenergic receptor signaling pathway involved in heart process	GO_1901205	1	1	1	0	0
negative regulation of adrenergic receptor signaling pathway	GO_0071878	1	1	1	0	0
adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process	GO_0086096	1	1	1	0	0
adenylate cyclase-inhibiting adrenergic receptor signaling pathway	GO_0071881	1	1	1	0	0
adenylate cyclase-activating adrenergic receptor signaling pathway	GO_0071880	1	1	1	0	0
initiation of adrenergic receptor signal transduction	GO_0071876	1	0	1	1	1
regulation of adrenergic receptor signaling pathway involved in positive regulation of heart rate	GO_1903245	0	1	1	0	0
positive regulation of adrenergic receptor signaling pathway involved in positive regulation of heart rate	GO_1903247	0	1	1	0	0
negative regulation of adrenergic receptor signaling pathway involved in positive regulation of heart rate	GO_1903246	0	1	1	0	0
beta3-adrenergic receptor activity	GO_0015052	0	1	1	0	0
beta2-adrenergic receptor activity	GO_0004941	0	1	1	0	0
beta1-adrenergic receptor activity	GO_0004940	0	1	1	0	0
beta-adrenergic receptor activity	GO_0004939	0	1	1	0	0
alpha2-adrenergic receptor activity	GO_0004938	0	1	1	0	0
alpha1-adrenergic receptor activity	GO_0004937	0	1	1	0	0
alpha-adrenergic receptor activity	GO_0004936	0	1	1	0	0
adrenergic receptor signaling pathway involved in positive regulation of heart rate	GO_0086024	0	1	1	0	0
adrenergic receptor signaling pathway involved in heart process	GO_0086023	0	1	1	0	0
adrenergic receptor signaling pathway involved in cardiac muscle relaxation	GO_0086030	0	1	1	0	0
adrenergic receptor signaling pathway	GO_0071875	0	1	1	0	0
adrenergic receptor activity	GO_0004935	0	1	1	0	0
activation of MAPK activity by adrenergic receptor signaling pathway	GO_0071883	0	1	1	0	0
