name	ID	manual	auto	checked	blacklisted	is_obsolete
aerobic sulfur oxidation	GO_0070220	1	0	1	0	0
aerobic respiration, using sulfur or sulfate as electron donor	GO_0019414	1	0	1	0	0
aerobic respiration, using nitrite as electron donor	GO_0019332	1	0	1	0	0
aerobic respiration, using hydrogen as electron donor	GO_0019412	1	0	1	0	0
aerobic respiration, using ferrous ions as electron donor	GO_0019411	1	0	1	0	0
aerobic respiration, using carbon monoxide as electron donor	GO_0019410	1	0	1	0	0
aerobic respiration, using arsenite as electron donor	GO_0043554	1	0	1	0	0
aerobic respiration, using ammonia as electron donor	GO_0019409	1	0	1	0	0
aerobic respiration	GO_0009060	1	0	1	0	0
aerobic raffinose catabolic process	GO_0036259	1	0	1	0	0
aerobic phenol-containing compound metabolic process	GO_0018959	1	0	1	0	0
aerobic phenol-containing compound catabolic process	GO_0046191	1	0	1	0	0
aerobic phenol-containing compound biosynthetic process	GO_0046190	1	0	1	0	0
aerobic organosilicon metabolic process	GO_0018946	1	0	1	0	0
aerobic nitrilotriacetate metabolic process	GO_0018935	1	0	1	0	0
aerobic glycerol catabolic process	GO_0019564	1	0	1	0	0
aerobic gallate catabolic process	GO_0042195	1	0	1	0	0
aerobic fructose catabolic process	GO_0019576	1	0	1	0	0
aerobic electron transport chain	GO_0019646	1	0	1	0	0
aerobic cobalamin biosynthetic process	GO_0019250	1	0	1	0	0
aerobic beta-1,2,3,4,5,6-hexachlorocyclohexane metabolic process	GO_0018878	1	0	1	0	0
aerobic benzoate metabolic process	GO_0019620	1	0	1	0	0
aerobic ammonia oxidation to nitrite via pyruvic oxime	GO_0070275	1	0	1	0	0
