name	ID	manual	auto	checked	blacklisted
putrescine metabolic process	GO_0009445	1	1	1	0
putrescine catabolic process	GO_0009447	1	1	1	0
putrescine biosynthetic process from ornithine	GO_0033387	1	1	1	0
putrescine biosynthetic process from arginine, using agmatinase	GO_0033389	1	1	1	0
putrescine biosynthetic process from arginine via N-carbamoylputrescine	GO_0033390	1	1	1	0
putrescine biosynthetic process from arginine	GO_0033388	1	1	1	0
putrescine biosynthetic process	GO_0009446	1	1	1	0
putrescine acetylation	GO_0032920	1	1	1	0
putrescine transport	GO_0015847	1	0	1	0
zeatin metabolic process	GO_0033397	0	1	1	0
zeatin biosynthetic process	GO_0033398	0	1	1	0
tryptophan metabolic process	GO_0006568	0	1	1	0
tryptophan catabolic process to kynurenine	GO_0019441	0	1	1	0
tryptophan catabolic process to indole-3-acetate	GO_0019440	0	1	1	0
tryptophan catabolic process to catechol	GO_0019444	0	1	1	0
tryptophan catabolic process to acetyl-CoA	GO_0019442	0	1	1	0
tryptophan catabolic process	GO_0006569	0	1	1	0
tryptophan biosynthetic process	GO_0000162	0	1	1	0
triethanolamine metabolic process	GO_0018981	0	1	1	0
triethanolamine catabolic process	GO_0046267	0	1	1	0
trans-zeatin metabolic process	GO_0033400	0	1	1	0
trans-zeatin biosynthetic process	GO_0033466	0	1	1	0
sphingomyelin metabolic process	GO_0006684	0	1	1	0
sphingomyelin catabolic process	GO_0006685	0	1	1	0
sphingomyelin biosynthetic process	GO_0006686	0	1	1	0
spermine metabolic process	GO_0008215	0	1	1	0
spermine catabolic process	GO_0046208	0	1	1	0
spermine biosynthetic process	GO_0006597	0	1	1	0
spermine acetylation	GO_0032919	0	1	1	0
spermidine metabolic process	GO_0008216	0	1	1	0
spermidine catabolic process	GO_0046203	0	1	1	0
spermidine biosynthetic process	GO_0008295	0	1	1	0
spermidine acetylation	GO_0032918	0	1	1	0
serotonin biosynthetic process from tryptophan	GO_0006587	0	1	1	0
polyamine metabolic process	GO_0006595	0	1	1	0
polyamine catabolic process	GO_0006598	0	1	1	0
polyamine biosynthetic process	GO_0006596	0	1	1	0
polyamine acetylation	GO_0032917	0	1	1	0
platelet activating factor metabolic process	GO_0046469	0	1	1	0
platelet activating factor biosynthetic process	GO_0006663	0	1	1	0
phosphatidylethanolamine acyl-chain remodeling	GO_0036152	0	1	1	0
phosphatidylcholine metabolic process	GO_0046470	0	1	1	0
phosphatidylcholine catabolic process	GO_0034638	0	1	1	0
phosphatidylcholine biosynthetic process	GO_0006656	0	1	1	0
phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via N-dimethylethanolamine phosphate and CDP-choline	GO_0070832	0	1	1	0
phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via N-dimethylethanolamine phosphate and CDP-N-dimethylethanolamine	GO_0070834	0	1	1	0
phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via CDP-N-methylethanolamine	GO_0070833	0	1	1	0
phosphatidylcholine acyl-chain remodeling	GO_0036151	0	1	1	0
phenylethylamine metabolic process involved in synaptic transmission	GO_0090507	0	1	1	0
phenylethylamine metabolic process	GO_0042443	0	1	1	0
phenylethylamine catabolic process	GO_0019607	0	1	1	0
phenylethylamine biosynthetic process involved in synaptic transmission	GO_0090508	0	1	1	0
phenylethylamine biosynthetic process	GO_0042444	0	1	1	0
penicillin metabolic process	GO_0042316	0	1	1	0
penicillin catabolic process	GO_0042317	0	1	1	0
penicillin biosynthetic process	GO_0042318	0	1	1	0
octopamine metabolic process	GO_0046333	0	1	1	0
octopamine catabolic process	GO_0046334	0	1	1	0
octopamine biosynthetic process	GO_0006589	0	1	1	0
nor-spermidine metabolic process	GO_0046204	0	1	1	0
nor-spermidine catabolic process	GO_0046205	0	1	1	0
nor-spermidine biosynthetic process	GO_0045312	0	1	1	0
nicotinate nucleotide biosynthetic process from tryptophan	GO_0019356	0	1	1	0
nicotianamine metabolic process	GO_0030417	0	1	1	0
nicotianamine catabolic process	GO_0030419	0	1	1	0
nicotianamine biosynthetic process	GO_0030418	0	1	1	0
methylamine metabolic process	GO_0030416	0	1	1	0
methane biosynthetic process from trimethylamine	GO_2001130	0	1	1	0
methane biosynthetic process from methylamine	GO_2001128	0	1	1	0
methane biosynthetic process from dimethylamine	GO_2001129	0	1	1	0
isopentenyl adenine metabolic process	GO_0034264	0	1	1	0
isopentenyl adenine catabolic process	GO_0034266	0	1	1	0
isopentenyl adenine biosynthetic process	GO_0034265	0	1	1	0
indoleacetic acid biosynthetic process via tryptophan	GO_0009848	0	1	1	0
indolalkylamine metabolic process	GO_0006586	0	1	1	0
indolalkylamine catabolic process	GO_0046218	0	1	1	0
indolalkylamine biosynthetic process	GO_0046219	0	1	1	0
histamine metabolic process	GO_0001692	0	1	1	0
histamine catabolic process	GO_0001695	0	1	1	0
histamine biosynthetic process	GO_0001694	0	1	1	0
glycine betaine biosynthetic process from choline	GO_0019285	0	1	1	0
ethanolamine-containing compound metabolic process	GO_0042439	0	1	1	0
ethanolamine metabolic process	GO_0006580	0	1	1	0
ethanolamine catabolic process	GO_0046336	0	1	1	0
ethanolamine biosynthetic process	GO_0046335	0	1	1	0
