name	ID	manual	auto	checked	blacklisted	is_obsolete
valine metabolic process	GO_0006573	1	1	1	0	0
valine catabolic process	GO_0006574	1	1	1	0	0
valine biosynthetic process	GO_0009099	1	1	1	0	0
tyrosine metabolic process	GO_0006570	1	1	1	0	0
tyrosine catabolic process to phosphoenolpyruvate	GO_0019446	1	1	1	0	0
tyrosine catabolic process to fumarate	GO_0019445	1	1	1	0	0
tyrosine catabolic process	GO_0006572	1	1	1	0	0
tyrosine biosynthetic process, by oxidation of phenylalanine	GO_0019293	1	1	1	0	0
tyrosine biosynthetic process from chorismate via L-arogenate	GO_0033584	1	1	1	0	0
tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate	GO_0019292	1	1	1	0	0
tyrosine biosynthetic process	GO_0006571	1	1	1	0	0
tryptophan metabolic process	GO_0006568	1	1	1	0	0
tryptophan catabolic process to kynurenine	GO_0019441	1	1	1	0	0
tryptophan catabolic process to indole-3-acetate	GO_0019440	1	1	1	0	0
tryptophan catabolic process to catechol	GO_0019444	1	1	1	0	0
tryptophan catabolic process to acetyl-CoA	GO_0019442	1	1	1	0	0
tryptophan catabolic process	GO_0006569	1	1	1	0	0
tryptophan biosynthetic process	GO_0000162	1	1	1	0	0
threonine metabolic process	GO_0006566	1	1	1	0	0
threonine catabolic process	GO_0006567	1	1	1	0	0
threonine biosynthetic process	GO_0009088	1	1	1	0	0
serine family amino acid metabolic process	GO_0009069	1	1	1	0	0
serine family amino acid catabolic process	GO_0009071	1	1	1	0	0
serine family amino acid biosynthetic process	GO_0009070	1	1	1	0	0
pyruvate family amino acid metabolic process	GO_0009078	1	1	1	0	0
pyruvate family amino acid catabolic process	GO_0009080	1	1	1	0	0
pyruvate family amino acid biosynthetic process	GO_0009079	1	1	1	0	0
methionine metabolic process	GO_0006555	1	1	1	0	0
methionine catabolic process via 2-oxobutanoate	GO_0019458	1	1	1	0	0
methionine catabolic process to succinyl-CoA	GO_0019457	1	1	1	0	0
methionine catabolic process to 3-methylthiopropanol	GO_0000951	1	1	1	0	0
methionine catabolic process to 3-methylthiopropanoate	GO_0000954	1	1	1	0	0
methionine catabolic process	GO_0009087	1	1	1	0	0
methionine biosynthetic process	GO_0009086	1	1	1	0	0
lysine metabolic process	GO_0006553	1	1	1	0	0
lysine catabolic process	GO_0006554	1	1	1	0	0
lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway	GO_0033362	1	1	1	0	0
lysine biosynthetic process via diaminopimelate, dehydrogenase pathway	GO_0033361	1	1	1	0	0
lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate	GO_0033359	1	1	1	0	0
lysine biosynthetic process via diaminopimelate and L-2-acetamido-6-oxoheptanedioate	GO_0033360	1	1	1	0	0
lysine biosynthetic process via diaminopimelate	GO_0009089	1	1	1	0	0
lysine biosynthetic process via aminoadipic acid	GO_0019878	1	1	1	0	0
lysine biosynthetic process via alpha-aminoadipate and saccharopine	GO_0051975	1	1	1	0	0
lysine biosynthetic process via alpha-aminoadipate and N2-acetyl-alpha-aminoadipate	GO_0051976	1	1	1	0	0
lysine biosynthetic process	GO_0009085	1	1	1	0	0
isoleucine metabolic process	GO_0006549	1	1	1	0	0
isoleucine catabolic process	GO_0006550	1	1	1	0	0
isoleucine biosynthetic process	GO_0009097	1	1	1	0	0
homoserine metabolic process	GO_0009092	1	1	1	0	0
homoserine catabolic process	GO_0009091	1	1	1	0	0
homoserine biosynthetic process	GO_0009090	1	1	1	0	0
glycine biosynthetic process from serine	GO_0019264	1	1	1	0	0
glutamine family amino acid metabolic process	GO_0009064	1	1	1	0	0
glutamine family amino acid catabolic process	GO_0009065	1	1	1	0	0
glutamine family amino acid biosynthetic process	GO_0009084	1	1	1	0	0
cysteine biosynthetic process from serine	GO_0006535	1	1	1	0	0
citrulline metabolic process	GO_0000052	1	1	1	0	0
cellular modified histidine metabolic process	GO_0052701	1	1	1	0	0
cellular modified histidine catabolic process	GO_0052702	1	1	1	0	0
cellular modified histidine biosynthetic process	GO_0052703	1	1	1	0	0
beta-alanine catabolic process to L-alanine	GO_0019485	1	1	1	0	0
alanine metabolic process	GO_0006522	1	1	1	0	0
alanine catabolic process	GO_0006524	1	1	1	0	0
alanine biosynthetic process	GO_0006523	1	1	1	0	0
L-threonine catabolic process to propionate	GO_0070689	1	1	1	0	0
L-threonine catabolic process to glycine	GO_0019518	1	1	1	0	0
L-threonine catabolic process to acetyl-CoA	GO_0070690	1	1	1	0	0
L-threonine catabolic process to D-lactate	GO_0019517	1	1	1	0	0
L-serine metabolic process	GO_0006563	1	1	1	0	0
L-serine catabolic process	GO_0006565	1	1	1	0	0
L-serine biosynthetic process	GO_0006564	1	1	1	0	0
L-phenylalanine metabolic process	GO_0006558	1	1	1	0	0
L-phenylalanine catabolic process	GO_0006559	1	1	1	0	0
L-phenylalanine biosynthetic process from chorismate via phenylpyruvate	GO_0033585	1	1	1	0	0
L-phenylalanine biosynthetic process from chorismate via L-arogenate	GO_0033586	1	1	1	0	0
L-phenylalanine biosynthetic process	GO_0009094	1	1	1	0	0
L-methionine salvage	GO_0071267	1	1	1	0	0
L-methionine biosynthetic process from methylthioadenosine	GO_0019509	1	1	1	0	0
L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine	GO_0019281	1	1	1	0	0
L-methionine biosynthetic process from homoserine via O-phospho-L-homoserine and cystathionine	GO_0033516	1	1	1	0	0
L-methionine biosynthetic process from homoserine via O-acetyl-L-homoserine and cystathionine	GO_0019280	1	1	1	0	0
L-methionine biosynthetic process from S-adenosylmethionine	GO_0019284	1	1	1	0	0
L-methionine biosynthetic process from O-phospho-L-homoserine and cystathionine	GO_0019283	1	1	1	0	0
