name	ID	manual	auto	checked	blacklisted
sprouting angiogenesis	GO_0002040	1	1	1	0
regulation of cell migration involved in sprouting angiogenesis	GO_0090049	1	1	1	0
regulation of angiogenesis	GO_0045765	1	1	1	0
positive regulation of cell migration involved in sprouting angiogenesis	GO_0090050	1	1	1	0
positive regulation of angiogenesis	GO_0045766	1	1	1	0
negative regulation of cell migration involved in sprouting angiogenesis	GO_0090051	1	1	1	0
negative regulation of angiogenesis	GO_0016525	1	1	1	0
intussusceptive angiogenesis	GO_0002041	1	1	1	0
cell migration involved in sprouting angiogenesis	GO_0002042	1	1	1	0
cell migration involved in coronary angiogenesis	GO_0060981	1	1	1	0
angiogenesis involved in wound healing	GO_0060055	1	1	1	0
angiogenesis involved in coronary vascular morphogenesis	GO_0060978	1	1	1	0
angiogenesis	GO_0001525	1	1	1	0
lymphangiogenesis	GO_0001946	1	0	1	0
vascular wound healing	GO_0061042	0	1	1	1
regulation of vascular wound healing	GO_0061043	0	1	1	1
regulation of cell adhesion involved in intussusceptive angiogenesis	GO_0002045	0	1	1	0
positive regulation of vascular wound healing	GO_0035470	0	1	1	1
patterning of blood vessels	GO_0001569	0	1	1	0
negative regulation of vascular wound healing	GO_0061044	0	1	1	1
endothelial tip cell fate specification	GO_0097102	0	1	1	0
endothelial stalk cell fate specification	GO_0097103	0	1	1	0
blood vessel endothelial cell proliferation involved in sprouting angiogenesis	GO_0002043	0	1	1	0
blood vessel endothelial cell migration involved in intussusceptive angiogenesis	GO_0002044	0	1	1	0
apoptotic process involved in patterning of blood vessels	GO_1902262	0	1	1	0
