name	ID	manual	auto	checked	blacklisted	is_obsolete
multi-organism behavior	GO_0051705	1	1	1	0	0
behavioral response to wounding	GO_0002210	1	1	1	0	0
behavioral response to water deprivation	GO_0042630	1	1	1	0	0
behavioral response to pain	GO_0048266	1	1	1	0	0
behavioral response to nicotine	GO_0035095	1	1	1	0	0
behavioral response to formalin induced pain	GO_0061368	1	1	1	0	0
behavioral response to ether	GO_0048150	1	1	1	0	0
behavioral response to ethanol	GO_0048149	1	1	1	0	0
behavioral response to cocaine	GO_0048148	1	1	1	0	0
behavioral response to chemical pain	GO_0061366	1	1	1	0	0
behavioral response to acetic acid induced pain	GO_0061367	1	1	1	0	0
behavioral fear response	GO_0001662	1	1	1	0	0
behavioral defense response to nematode	GO_0002212	1	1	1	0	0
behavioral defense response to insect	GO_0002211	1	1	1	0	0
behavioral defense response	GO_0002209	1	1	1	0	0
associative learning	GO_0008306	1	1	1	0	0
adult walking behavior	GO_0007628	1	1	1	0	0
adult behavior	GO_0030534	1	1	1	0	0
behavioral response to starvation	GO_0042595	1	0	1	0	0
behavioral response to nutrient	GO_0051780	1	0	1	0	0
adult behavior (sensu Insecta)	GO_0008044	1	0	1	1	1
vulval location	GO_0034608	0	1	1	0	0
vocalization behavior	GO_0071625	0	1	1	0	0
vocal learning	GO_0042297	0	1	1	0	0
visual learning	GO_0008542	0	1	1	0	0
visual behavior	GO_0007632	0	1	1	0	0
turning behavior involved in mating	GO_0034607	0	1	1	0	0
turning behavior	GO_0035178	0	1	1	0	0
thermosensory behavior	GO_0040040	0	1	1	0	0
territorial aggressive behavior	GO_0002124	0	1	1	0	0
swimming behavior	GO_0036269	0	1	1	0	0
suckling behavior	GO_0001967	0	1	1	0	0
spicule insertion	GO_0034609	0	1	1	0	0
social behavior	GO_0035176	0	1	1	0	0
single-organism reproductive behavior	GO_0044704	0	1	1	0	0
single-organism behavior	GO_0044708	0	1	1	0	0
short-term memory	GO_0007614	0	1	1	0	0
sensitization	GO_0046960	0	1	1	0	0
salt aversion	GO_0035199	0	1	1	0	0
rhythmic behavior	GO_0007622	0	1	1	0	0
response to hermaphrodite contact	GO_0034606	0	1	1	0	0
reproductive behavior	GO_0019098	0	1	1	0	0
regulation of female receptivity, post-mating	GO_0046008	0	1	1	0	0
regulation of female receptivity	GO_0045924	0	1	1	0	0
reduction of food intake in response to dietary excess	GO_0002023	0	1	1	0	0
psychomotor behavior	GO_0036343	0	1	1	0	0
proboscis extension reflex	GO_0007637	0	1	1	0	0
predatory behavior	GO_0002120	0	1	1	0	0
post-mating oviposition	GO_0060403	0	1	1	0	0
post-mating behavior	GO_0045297	0	1	1	0	0
positive regulation of female receptivity, post-mating	GO_0046009	0	1	1	0	0
positive regulation of female receptivity	GO_0045925	0	1	1	0	0
pharyngeal pumping	GO_0043050	0	1	1	0	0
pattern orientation	GO_0007633	0	1	1	0	0
paternal behavior	GO_0042712	0	1	1	0	0
parental behavior	GO_0060746	0	1	1	0	0
oviposition	GO_0018991	0	1	1	0	0
oral incubation	GO_0060747	0	1	1	0	0
optomotor response	GO_0071632	0	1	1	0	0
optokinetic behavior	GO_0007634	0	1	1	0	0
operant conditioning	GO_0035106	0	1	1	0	0
olfactory learning	GO_0008355	0	1	1	0	0
olfactory behavior	GO_0042048	0	1	1	0	0
observational learning	GO_0098597	0	1	1	0	0
nonassociative learning	GO_0046958	0	1	1	0	0
negative regulation of female receptivity, post-mating	GO_0045434	0	1	1	0	0
negative regulation of female receptivity	GO_0007621	0	1	1	0	0
multicellular organismal reproductive behavior	GO_0033057	0	1	1	0	0
multi-organism reproductive behavior	GO_0044705	0	1	1	0	0
memory	GO_0007613	0	1	1	0	0
medium-term memory	GO_0072375	0	1	1	0	0
mechanosensory behavior	GO_0007638	0	1	1	0	0
mating plug formation	GO_0042628	0	1	1	0	0
mating behavior, sex discrimination	GO_0048047	0	1	1	0	0
mating behavior	GO_0007617	0	1	1	0	0
maternal behavior	GO_0042711	0	1	1	0	0
maternal aggressive behavior	GO_0002125	0	1	1	0	0
male mating behavior	GO_0060179	0	1	1	0	0
male courtship behavior, veined wing vibration	GO_0016545	0	1	1	0	0
male courtship behavior, veined wing generated song production	GO_0045433	0	1	1	0	0
male courtship behavior, veined wing extension	GO_0048065	0	1	1	0	0
