name	ID	manual	auto	checked	blacklisted	is_obsolete
canalicular bile acid transport	GO_0015722	1	1	1	0	0
bile acid secretion	GO_0032782	1	1	1	0	0
bile acid metabolic process	GO_0008206	1	1	1	0	0
bile acid conjugation	GO_0002152	1	1	1	0	0
bile acid catabolic process	GO_0030573	1	1	1	0	0
bile acid biosynthetic process	GO_0006699	1	1	1	0	0
bile acid and bile salt transport	GO_0015721	1	1	1	0	0
response to bile acid	GO_1903412	0	1	1	0	0
lithocholic acid receptor activity	GO_0038186	0	1	1	0	0
lithocholic acid binding	GO_1902121	0	1	1	0	0
chenodeoxycholic acid binding	GO_1902122	0	1	1	0	0
cellular response to bile acid	GO_1903413	0	1	1	0	0
canalicular bile acid transmembrane transporter activity	GO_0015126	0	1	1	0	0
bile acid:sodium symporter activity	GO_0008508	0	1	1	0	0
bile acid-exporting ATPase activity	GO_0015432	0	1	1	0	0
bile acid transmembrane transporter activity	GO_0015125	0	1	1	0	0
bile acid receptor activity	GO_0038181	0	1	1	0	0
bile acid binding	GO_0032052	0	1	1	0	0
G-protein coupled bile acid receptor activity	GO_0038182	0	1	1	0	0
