name	ID	manual	auto	checked	blacklisted	is_obsolete
thrombocyte activation	GO_0071892	1	1	1	0	0
regulation of blood coagulation, intrinsic pathway	GO_2000266	1	1	1	0	0
regulation of blood coagulation, extrinsic pathway	GO_2000263	1	1	1	0	0
regulation of blood coagulation, common pathway	GO_2000260	1	1	1	0	0
regulation of blood coagulation	GO_0030193	1	1	1	0	0
positive regulation of blood coagulation, intrinsic pathway	GO_2000268	1	1	1	0	0
positive regulation of blood coagulation, extrinsic pathway	GO_2000265	1	1	1	0	0
positive regulation of blood coagulation, common pathway	GO_2000262	1	1	1	0	0
positive regulation of blood coagulation in other organism	GO_0035807	1	1	1	0	0
positive regulation of blood coagulation	GO_0030194	1	1	1	0	0
negative regulation of blood coagulation, intrinsic pathway	GO_2000267	1	1	1	0	0
negative regulation of blood coagulation, extrinsic pathway	GO_2000264	1	1	1	0	0
negative regulation of blood coagulation, common pathway	GO_2000261	1	1	1	0	0
negative regulation of blood coagulation in other organism	GO_0035899	1	1	1	0	0
negative regulation of blood coagulation	GO_0030195	1	1	1	0	0
modulation of blood coagulation in other organism	GO_0035806	1	1	1	0	0
blood coagulation, intrinsic pathway	GO_0007597	1	1	1	0	0
blood coagulation, fibrin clot formation	GO_0072378	1	1	1	0	0
blood coagulation, extrinsic pathway	GO_0007598	1	1	1	0	0
blood coagulation, common pathway	GO_0072377	1	1	1	0	0
blood coagulation	GO_0007596	1	1	1	0	0
activation of blood coagulation via clotting cascade	GO_0002543	1	1	1	0	0
thromboxane transport	GO_0071717	1	0	1	0	0
thrombopoietin-mediated signaling pathway	GO_0038163	1	0	1	0	0
thrombocyte differentiation	GO_0002574	1	0	1	0	0
thrombin receptor signaling pathway	GO_0070493	1	0	1	0	0
envenomation resulting in positive regulation of blood coagulation in other organism	GO_0044469	1	0	1	0	0
envenomation resulting in negative regulation of blood coagulation in other organism	GO_0044470	1	0	1	0	0
envenomation resulting in modulation of blood coagulation in other organism	GO_0044468	1	0	1	0	0
regulation of platelet aggregation	GO_0090330	0	1	0	0	0
regulation of platelet activation	GO_0010543	0	1	0	0	0
positive regulation of platelet aggregation in other organism	GO_0035894	0	1	0	0	0
positive regulation of platelet aggregation	GO_1901731	0	1	0	0	0
positive regulation of platelet activation	GO_0010572	0	1	0	0	0
positive regulation of fibrinolysis	GO_0051919	0	1	0	0	0
platelet aggregation	GO_0070527	0	1	0	0	0
platelet activation	GO_0030168	0	1	0	0	0
phosphatidylserine exposure on blood platelet	GO_0097045	0	1	0	0	0
negative regulation of platelet aggregation in other organism	GO_0035893	0	1	0	0	0
negative regulation of platelet aggregation	GO_0090331	0	1	0	0	0
negative regulation of platelet activation	GO_0010544	0	1	0	0	0
negative regulation of fibrinolysis	GO_0051918	0	1	0	0	0
modulation of platelet aggregation in other organism	GO_0035892	0	1	0	0	0
fibrinolysis	GO_0042730	0	1	0	0	0
