name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of cell communication involved in growth plate cartilage morphogenesis	GO_0003437	1	1	1	0	0
regulation of bone mineralization involved in bone maturation	GO_1900157	1	1	1	0	0
positive regulation of bone mineralization involved in bone maturation	GO_1900159	1	1	1	0	0
ossification involved in bone maturation	GO_0043931	1	1	1	0	0
negative regulation of bone mineralization involved in bone maturation	GO_1900158	1	1	1	0	0
growth plate cartilage chondrocyte division	GO_0003423	1	1	1	0	0
endochondral bone morphogenesis	GO_0060350	1	1	1	0	0
endochondral bone growth	GO_0003416	1	1	1	0	0
chondrocyte morphogenesis involved in endochondral bone morphogenesis	GO_0003414	1	1	1	0	0
chondrocyte intercalation involved in growth plate cartilage morphogenesis	GO_0003428	1	1	1	0	0
chondrocyte differentiation involved in endochondral bone morphogenesis	GO_0003413	1	1	1	0	0
chondrocyte development involved in endochondral bone morphogenesis	GO_0003433	1	1	1	0	0
bone morphogenesis	GO_0060349	1	1	1	0	0
bone mineralization involved in bone maturation	GO_0035630	1	1	1	0	0
bone maturation	GO_0070977	1	1	1	0	0
bone development	GO_0060348	1	1	1	0	0
trabecular meshwork development	GO_0002930	1	0	1	0	0
trabecula morphogenesis	GO_0061383	1	0	1	0	0
trabecula formation	GO_0060343	1	0	1	0	0
semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis	GO_1900220	1	0	1	0	0
regulation of chondrocyte differentiation	GO_0032330	1	0	1	0	0
regulation of chondrocyte development	GO_0061181	1	0	1	0	0
regulation of cartilage development	GO_0061035	1	0	1	0	0
regulation of bone trabecula formation	GO_1900154	1	0	1	0	0
regulation of bone resorption	GO_0045124	1	0	1	0	0
regulation of bone remodeling	GO_0046850	1	0	1	0	0
regulation of bone mineralization	GO_0030500	1	0	1	0	0
positive regulation of bone trabecula formation	GO_1900156	1	0	1	0	0
positive regulation of bone resorption	GO_0045780	1	0	1	0	0
positive regulation of bone remodeling	GO_0046852	1	0	1	0	0
positive regulation of bone mineralization	GO_0030501	1	0	1	0	0
