name	ID	manual	auto	checked	blacklisted	is_obsolete
ventricular zone cell-producing asymmetric radial glial cell division in forebrain	GO_0021868	1	1	1	0	0
thalamus development	GO_0021794	1	1	1	0	0
superior temporal gyrus development	GO_0071109	1	1	1	0	0
superior reticular formation development	GO_0021729	1	1	1	0	0
superior raphe nucleus development	GO_0021725	1	1	1	0	0
superior olivary nucleus structural organization	GO_0021721	1	1	1	0	0
superior olivary nucleus morphogenesis	GO_0021719	1	1	1	0	0
superior olivary nucleus maturation	GO_0021722	1	1	1	0	0
superior olivary nucleus formation	GO_0021720	1	1	1	0	0
superior olivary nucleus development	GO_0021718	1	1	1	0	0
superior colliculus development	GO_0061380	1	1	1	0	0
subthalamus development	GO_0021539	1	1	1	0	0
subthalamic nucleus development	GO_0021763	1	1	1	0	0
substrate-independent telencephalic tangential migration	GO_0021826	1	1	1	0	0
substrate-independent telencephalic tangential interneuron migration	GO_0021843	1	1	1	0	0
substrate-dependent cerebral cortex tangential migration	GO_0021825	1	1	1	0	0
substantia nigra development	GO_0021762	1	1	1	0	0
subpallium radially oriented migration	GO_0021981	1	1	1	0	0
subpallium neuron fate commitment	GO_0060163	1	1	1	0	0
subpallium glioblast cell division	GO_0021850	1	1	1	0	0
subpallium development	GO_0021544	1	1	1	0	0
subpallium cell proliferation in forebrain	GO_0022012	1	1	1	0	0
subpallium cell migration	GO_0021980	1	1	1	0	0
striatum development	GO_0021756	1	1	1	0	0
rostral hindbrain neuronal precursor cell proliferation	GO_0021931	1	1	1	0	0
regulation of forebrain neuron differentiation	GO_2000977	1	1	1	0	0
putamen development	GO_0021758	1	1	1	0	0
positive regulation of forebrain neuron differentiation	GO_2000979	1	1	1	0	0
pons structural organization	GO_0021585	1	1	1	0	0
pons morphogenesis	GO_0021583	1	1	1	0	0
pons maturation	GO_0021586	1	1	1	0	0
pons formation	GO_0021584	1	1	1	0	0
pons development	GO_0021548	1	1	1	0	0
olfactory lobe development	GO_0021988	1	1	1	0	0
nucleus ambiguus development	GO_0021745	1	1	1	0	0
nucleus accumbens development	GO_0021768	1	1	1	0	0
