name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of calcium-mediated signaling	GO_0050848	1	0	1	1	0
regulation of calcium or calmodulin-mediated signal transduction in response to host	GO_0075177	1	0	1	1	0
regulation of calcium ion-dependent exocytosis	GO_0017158	1	0	1	0	0
regulation of calcium ion transport via voltage-gated calcium channel activity	GO_0051925	1	0	1	1	1
regulation of calcium ion transport via store-operated calcium channel activity	GO_0032234	1	0	1	1	1
regulation of calcium ion transport into cytosol	GO_0010522	1	0	1	0	0
regulation of calcium ion transport	GO_0051924	1	0	1	0	0
regulation of calcium ion transmembrane transporter activity	GO_1901019	1	0	1	0	0
regulation of calcium ion import	GO_0090279	1	0	1	0	0
regulation of calcium in ER	GO_0006889	1	0	1	1	1
vacuolar calcium ion homeostasis	GO_0007036	0	1	0	0	0
smooth endoplasmic reticulum calcium ion homeostasis	GO_0051563	0	1	0	0	0
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	GO_0014808	0	1	0	0	0
release of sequestered calcium ion into cytosol	GO_0051209	0	1	0	0	0
positive regulation of smooth endoplasmic reticulum calcium ion concentration	GO_0051564	0	1	0	0	0
positive regulation of mitochondrial calcium ion concentration	GO_0051561	0	1	0	0	0
positive regulation of endoplasmic reticulum calcium ion concentration	GO_0032470	0	1	0	0	0
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway	GO_0051482	0	1	0	0	0
positive regulation of cytosolic calcium ion concentration involved in egg activation	GO_0060470	0	1	0	0	0
positive regulation of cytosolic calcium ion concentration	GO_0007204	0	1	0	0	0
positive regulation of cortical granule exocytosis by positive regulation of cytosolic calcium ion concentration	GO_0060472	0	1	0	0	0
negative regulation of smooth endoplasmic reticulum calcium ion concentration	GO_0051565	0	1	0	0	0
negative regulation of mitochondrial calcium ion concentration	GO_0051562	0	1	0	0	0
negative regulation of endoplasmic reticulum calcium ion concentration	GO_0032471	0	1	0	0	0
negative regulation of cytosolic calcium ion concentration	GO_0051481	0	1	0	0	0
mitochondrial calcium ion homeostasis	GO_0051560	0	1	0	0	0
endoplasmic reticulum calcium ion homeostasis	GO_0032469	0	1	0	0	0
cytosolic calcium ion homeostasis	GO_0051480	0	1	0	0	0
circadian regulation of calcium ion oscillation	GO_0010617	0	1	0	0	0
cellular calcium ion homeostasis	GO_0006874	0	1	0	0	0
calcium ion transport into cytosol	GO_0060402	0	1	0	0	0
calcium ion transmembrane import into cytosol	GO_0097553	0	1	0	0	0
calcium ion import across plasma membrane	GO_0098703	0	1	0	0	0
calcium ion homeostasis	GO_0055074	0	1	0	0	0
Golgi calcium ion homeostasis	GO_0032468	0	1	0	0	0
Golgi calcium ion export	GO_0061454	0	1	0	0	0
