name	ID	manual	auto	checked	blacklisted	is_obsolete
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	GO_0016338	1	1	1	0	0
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	GO_0016339	1	1	1	0	0
thymocyte aggregation	GO_0071594	0	1	1	0	0
single organismal cell-cell adhesion	GO_0016337	0	1	1	0	0
regulatory T cell differentiation	GO_0045066	0	1	0	0	0
regulation of actin cytoskeleton organization by cell-cell adhesion	GO_0090138	0	1	1	0	0
pre-tubular aggregate formation	GO_0072035	0	1	1	0	0
posterior neuropore closure	GO_0021507	0	1	1	0	0
pollen tube adhesion	GO_0009865	0	1	1	0	0
pollen adhesion	GO_0009876	0	1	1	0	0
platelet aggregation	GO_0070527	0	1	1	0	0
ovarian follicle cell-cell adhesion	GO_0007299	0	1	1	0	0
neutrophil aggregation	GO_0070488	0	1	1	0	0
neuronal-glial interaction involved in hindbrain glial-mediated radial cell migration	GO_0021944	0	1	1	0	0
neuronal-glial interaction involved in cerebral cortex radial glia guided migration	GO_0021812	0	1	1	0	0
neuron cell-cell adhesion	GO_0007158	0	1	1	0	0
monocyte aggregation	GO_0070487	0	1	1	0	0
mesenchymal cell condensation involved in mammary fat development	GO_0060647	0	1	1	0	0
memory T cell proliferation	GO_0061485	0	1	0	0	0
memory T cell differentiation	GO_0043379	0	1	0	0	0
memory T cell activation	GO_0035709	0	1	0	0	0
melanocyte adhesion	GO_0097326	0	1	1	0	0
lymphocyte aggregation	GO_0071593	0	1	1	0	0
lymphocyte adhesion to endothelial cell of high endothelial venule	GO_0036339	0	1	1	0	0
leukocyte tethering or rolling	GO_0050901	0	1	1	0	0
leukocyte cell-cell adhesion	GO_0007159	0	1	1	0	0
leukocyte aggregation	GO_0070486	0	1	1	0	0
leukocyte activation-dependent arrest	GO_0050903	0	1	1	0	0
immature T cell proliferation in thymus	GO_0033080	0	1	0	0	0
immature T cell proliferation	GO_0033079	0	1	0	0	0
homotypic cell-cell adhesion	GO_0034109	0	1	1	0	0
homophilic cell adhesion via plasma membrane adhesion molecules	GO_0007156	0	1	1	0	0
heterotypic cell-cell adhesion	GO_0034113	0	1	1	0	0
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	GO_0007157	0	1	1	0	0
gamma-delta intraepithelial T cell differentiation	GO_0002304	0	1	0	0	0
gamma-delta T cell proliferation involved in immune response	GO_0002311	0	1	0	0	0
gamma-delta T cell proliferation	GO_0046630	0	1	0	0	0
gamma-delta T cell differentiation involved in immune response	GO_0002303	0	1	0	0	0
gamma-delta T cell differentiation	GO_0042492	0	1	0	0	0
gamma-delta T cell activation involved in immune response	GO_0002290	0	1	0	0	0
gamma-delta T cell activation	GO_0046629	0	1	0	0	0
extrathymic T cell differentiation	GO_0033078	0	1	0	0	0
erythrocyte aggregation	GO_0034117	0	1	1	0	0
epithelial cell-cell adhesion involved in epithelium migration	GO_0090137	0	1	1	0	0
epithelial cell-cell adhesion	GO_0090136	0	1	1	0	0
endothelial cell-cell adhesion	GO_0071603	0	1	1	0	0
endocardial cushion fusion	GO_0003274	0	1	1	0	0
cytotoxic T cell differentiation	GO_0045065	0	1	0	0	0
cytotoxic T cell degranulation	GO_0043316	0	1	0	0	0
conjugant formation	GO_0000761	0	1	1	0	0
chorio-allantoic fusion	GO_0060710	0	1	1	0	0
cell-cell adhesion via plasma-membrane adhesion molecules	GO_0098742	0	1	1	0	0
cell-cell adhesion mediated by integrin	GO_0033631	0	1	1	0	0
cell-cell adhesion mediated by cadherin	GO_0044331	0	1	1	0	0
cell-cell adhesion involved in synapse maturation	GO_0090125	0	1	1	0	0
cell-cell adhesion involved in sealing an epithelial fold	GO_0060607	0	1	1	0	0
cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration	GO_0021813	0	1	1	0	0
cell-cell adhesion involved in neural tube closure	GO_0060608	0	1	1	0	0
cell-cell adhesion involved in mesendodermal cell migration	GO_0003370	0	1	1	0	0
cell-cell adhesion involved in mannose-specific flocculation	GO_0098612	0	1	1	0	0
cell-cell adhesion involved in gastrulation	GO_0070586	0	1	1	0	0
cell-cell adhesion involved in galactose-specific flocculation	GO_0098611	0	1	1	0	0
cell-cell adhesion involved in flocculation via cell wall protein-carbohydrate interaction	GO_0043690	0	1	1	0	0
cell-cell adhesion involved in flocculation	GO_0043689	0	1	1	0	0
cell-cell adhesion involved in establishment of planar polarity	GO_0090250	0	1	1	0	0
cell-cell adhesion involved in cerebral cortex tangential migration using cell-cell interactions	GO_0021832	0	1	1	0	0
cell-cell adhesion involved in ameboidal cell migration	GO_0003367	0	1	1	0	0
cell-cell adhesion	GO_0098609	0	1	1	0	0
cardioblast cell midline fusion	GO_0003317	0	1	1	0	0
cardiac muscle cell-cardiac muscle cell adhesion	GO_0086042	0	1	1	0	0
bundle of His cell-Purkinje myocyte adhesion involved in cell communication	GO_0086073	0	1	1	0	0
atrial cardiac muscle cell-AV node cell adhesion involved in cell communication	GO_0086071	0	1	1	0	0
alpha-beta intraepithelial T cell differentiation	GO_0002299	0	1	0	0	0
alpha-beta T cell proliferation involved in immune response	GO_0002310	0	1	0	0	0
alpha-beta T cell proliferation	GO_0046633	0	1	0	0	0
alpha-beta T cell differentiation involved in immune response	GO_0002293	0	1	0	0	0
alpha-beta T cell differentiation	GO_0046632	0	1	0	0	0
alpha-beta T cell activation involved in immune response	GO_0002287	0	1	0	0	0
alpha-beta T cell activation by superantigen	GO_0042722	0	1	0	0	0
alpha-beta T cell activation	GO_0046631	0	1	0	0	0
agglutination involved in conjugation with mutual genetic exchange	GO_0000758	0	1	1	0	0
agglutination involved in conjugation with cellular fusion	GO_0000752	0	1	1	0	0
agglutination involved in conjugation	GO_0000771	0	1	1	0	0
adhesion between unicellular organisms via cell-wall interaction	GO_0098741	0	1	1	0	0
adhesion between unicellular organisms	GO_0098610	0	1	1	0	0
activated T cell proliferation	GO_0050798	0	1	0	0	0
activated CD8-positive, alpha-beta T cell proliferation	GO_0035742	0	1	0	0	0
activated CD4-positive, alpha-beta T cell proliferation	GO_0035741	0	1	0	0	0
T-helper cell differentiation	GO_0042093	0	1	0	0	0
T-helper 2 cell differentiation	GO_0045064	0	1	0	0	0
T-helper 2 cell activation	GO_0035712	0	1	0	0	0
T-helper 17 cell differentiation	GO_0072539	0	1	0	0	0
T-helper 1 cell differentiation	GO_0045063	0	1	0	0	0
T-helper 1 cell activation	GO_0035711	0	1	0	0	0
T follicular helper cell differentiation	GO_0061470	0	1	0	0	0
T cell proliferation involved in immune response	GO_0002309	0	1	0	0	0
T cell proliferation	GO_0042098	0	1	0	0	0
T cell homeostatic proliferation	GO_0001777	0	1	0	0	0
T cell differentiation involved in immune response	GO_0002292	0	1	0	0	0
T cell differentiation in thymus	GO_0033077	0	1	0	0	0
T cell differentiation	GO_0030217	0	1	0	0	0
T cell aggregation	GO_0070489	0	1	1	0	0
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	GO_0002291	0	1	0	0	0
T cell activation involved in immune response	GO_0002286	0	1	0	0	0
T cell activation	GO_0042110	0	1	0	0	0
SA node cell-atrial cardiac muscle cell adhesion involved in cell communication	GO_0086022	0	1	1	0	0
Purkinje myocyte-ventricular cardiac muscle cell adhesion involved in cell communication	GO_0086074	0	1	1	0	0
NK T cell proliferation involved in immune response	GO_0002289	0	1	0	0	0
NK T cell proliferation	GO_0001866	0	1	0	0	0
NK T cell differentiation	GO_0001865	0	1	0	0	0
NK T cell activation involved in immune response	GO_0002288	0	1	0	0	0
NK T cell activation	GO_0051132	0	1	0	0	0
CD8-positive, gamma-delta intraepithelial T cell differentiation	GO_0002305	0	1	0	0	0
CD8-positive, alpha-beta regulatory T cell differentiation	GO_0002307	0	1	0	0	0
CD8-positive, alpha-beta intraepithelial T cell differentiation	GO_0002300	0	1	0	0	0
CD8-positive, alpha-beta cytotoxic T cell differentiation	GO_0002308	0	1	0	0	0
CD8-positive, alpha-beta T cell proliferation	GO_0035740	0	1	0	0	0
CD8-positive, alpha-beta T cell differentiation involved in immune response	GO_0002302	0	1	0	0	0
CD8-positive, alpha-beta T cell differentiation	GO_0043374	0	1	0	0	0
CD8-positive, alpha-beta T cell activation	GO_0036037	0	1	0	0	0
CD4-positive, alpha-beta intraepithelial T cell differentiation	GO_0002301	0	1	0	0	0
CD4-positive, alpha-beta T cell proliferation	GO_0035739	0	1	0	0	0
CD4-positive, alpha-beta T cell differentiation involved in immune response	GO_0002294	0	1	0	0	0
CD4-positive, alpha-beta T cell differentiation	GO_0043367	0	1	0	0	0
CD4-positive, alpha-beta T cell activation	GO_0035710	0	1	0	0	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	GO_0002298	0	1	0	0	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	GO_0002361	0	1	0	0	0
CD4-positive gamma-delta intraepithelial T cell differentiation	GO_0002306	0	1	0	0	0
B cell adhesion	GO_0097323	0	1	1	0	0
