name	ID	manual	auto	checked	blacklisted	is_obsolete
single organismal cell-cell adhesion	GO_0016337	1	1	1	0	0
regulation of homotypic cell-cell adhesion	GO_0034110	1	1	1	0	0
regulation of heterotypic cell-cell adhesion	GO_0034114	1	1	1	0	0
regulation of cell-cell adhesion mediated by integrin	GO_0033632	1	1	1	0	0
regulation of cell-cell adhesion mediated by cadherin	GO_2000047	1	1	1	0	0
regulation of cell-cell adhesion involved in gastrulation	GO_0070587	1	1	1	0	0
regulation of cell-cell adhesion	GO_0022407	1	1	1	0	0
regulation of cell adhesion mediated by integrin	GO_0033628	1	1	1	0	0
regulation of cell adhesion involved in single-species biofilm formation	GO_1900187	1	1	1	0	0
regulation of cell adhesion involved in intussusceptive angiogenesis	GO_0002045	1	1	1	0	0
regulation of cell adhesion involved in heart morphogenesis	GO_0061344	1	1	1	0	0
regulation of cell adhesion involved in growth plate cartilage morphogenesis	GO_0003436	1	1	1	0	0
regulation of cell adhesion	GO_0030155	1	1	1	0	0
regulation of calcium-independent cell-cell adhesion	GO_0051040	1	1	1	0	0
regulation of calcium-dependent cell-cell adhesion	GO_0046586	1	1	1	0	0
regulation of actin cytoskeleton organization by cell-cell adhesion	GO_0090138	1	1	1	0	0
positive regulation of homotypic cell-cell adhesion	GO_0034112	1	1	1	0	0
positive regulation of heterotypic cell-cell adhesion	GO_0034116	1	1	1	0	0
positive regulation of cell-cell adhesion mediated by integrin	GO_0033634	1	1	1	0	0
positive regulation of cell-cell adhesion mediated by cadherin	GO_2000049	1	1	1	0	0
positive regulation of cell-cell adhesion	GO_0022409	1	1	1	0	0
positive regulation of cell adhesion mediated by integrin	GO_0033630	1	1	1	0	0
positive regulation of cell adhesion involved in single-species biofilm formation	GO_1900189	1	1	1	0	0
positive regulation of cell adhesion	GO_0045785	1	1	1	0	0
positive regulation of calcium-independent cell-cell adhesion	GO_0051041	1	1	1	0	0
positive regulation of calcium-dependent cell-cell adhesion	GO_0046587	1	1	1	0	0
neuron cell-cell adhesion	GO_0007158	1	1	1	0	0
negative regulation of homotypic cell-cell adhesion	GO_0034111	1	1	1	0	0
negative regulation of heterotypic cell-cell adhesion	GO_0034115	1	1	1	0	0
negative regulation of focal adhesion assembly	GO_0051895	1	1	1	0	0
negative regulation of cell-cell adhesion mediated by integrin	GO_0033633	1	1	1	0	0
negative regulation of cell-cell adhesion mediated by cadherin	GO_2000048	1	1	1	0	0
negative regulation of cell-cell adhesion by negative regulation of transcription from RNA polymerase II promoter	GO_1900387	1	1	1	0	0
negative regulation of cell-cell adhesion	GO_0022408	1	1	1	0	0
negative regulation of cell adhesion mediated by integrin	GO_0033629	1	1	1	0	0
negative regulation of cell adhesion involved in substrate-bound cell migration	GO_0006933	1	1	1	0	0
negative regulation of cell adhesion involved in single-species biofilm formation	GO_1900188	1	1	1	0	0
negative regulation of cell adhesion in ventricular zone	GO_0021804	1	1	1	0	0
negative regulation of cell adhesion	GO_0007162	1	1	1	0	0
negative regulation of calcium-independent cell-cell adhesion	GO_0051042	1	1	1	0	0
negative regulation of calcium-dependent cell-cell adhesion	GO_0046588	1	1	1	0	0
homotypic cell-cell adhesion	GO_0034109	1	1	1	0	0
homophilic cell adhesion via plasma membrane adhesion molecules	GO_0007156	1	1	1	0	0
heterotypic cell-cell adhesion	GO_0034113	1	1	1	0	0
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	GO_0007157	1	1	1	0	0
heterophilic cell adhesion involved in cytoadherence to microvasculature, mediated by parasite protein	GO_0043706	1	1	1	0	0
epithelial cell-cell adhesion involved in epithelium migration	GO_0090137	1	1	1	0	0
epithelial cell-cell adhesion	GO_0090136	1	1	1	0	0
cell-cell adhesion mediated by integrin	GO_0033631	1	1	1	0	0
cell-cell adhesion mediated by cadherin	GO_0044331	1	1	1	0	0
cell-cell adhesion involved in synapse maturation	GO_0090125	1	1	1	0	0
cell-cell adhesion involved in sealing an epithelial fold	GO_0060607	1	1	1	0	0
cell-cell adhesion involved in neural tube closure	GO_0060608	1	1	1	0	0
cell-cell adhesion involved in mesendodermal cell migration	GO_0003370	1	1	1	0	0
cell-cell adhesion involved in gastrulation	GO_0070586	1	1	1	0	0
cell-cell adhesion involved in flocculation via cell wall protein-carbohydrate interaction	GO_0043690	1	1	1	0	0
cell-cell adhesion involved in flocculation	GO_0043689	1	1	1	0	0
cell-cell adhesion involved in establishment of planar polarity	GO_0090250	1	1	1	0	0
cell-cell adhesion involved in cerebral cortex tangential migration using cell-cell interactions	GO_0021832	1	1	1	0	0
cell-cell adhesion involved in ameboidal cell migration	GO_0003367	1	1	1	0	0
cell adhesion mediated by integrin	GO_0033627	1	1	1	0	0
cell adhesion involved in single-species biofilm formation in or on host organism	GO_0043707	1	1	1	0	0
cell adhesion involved in single-species biofilm formation	GO_0043709	1	1	1	0	0
cell adhesion involved in retrograde extension	GO_0003392	1	1	1	0	0
cell adhesion involved in prostatic bud elongation	GO_0060519	1	1	1	0	0
cell adhesion involved in multi-species biofilm formation	GO_0043710	1	1	1	0	0
cell adhesion involved in heart morphogenesis	GO_0061343	1	1	1	0	0
cell adhesion involved in dendrite retrograde extension	GO_0003394	1	1	1	0	0
cell adhesion involved in biofilm formation	GO_0043708	1	1	1	0	0
cell adhesion involved in amphid sensory organ dendrite retrograde extension	GO_0003396	1	1	1	0	0
cell adhesion	GO_0007155	1	1	1	0	0
Purkinje myocyte-ventricular cardiac muscle cell adhesion involved in cell communication	GO_0086074	1	1	1	0	0
regulation of cell adhesion molecule production	GO_0060353	1	0	1	0	0
positive regulation of cell adhesion molecule production	GO_0060355	1	0	1	0	0
negative regulation of cell adhesion molecule production	GO_0060354	1	0	1	0	0
cell adhesion molecule production	GO_0060352	1	0	1	0	0
