name	ID	manual	auto	checked	blacklisted	is_obsolete
traversing start control point of mitotic cell cycle	GO_0007089	1	1	1	0	0
syncytial blastoderm mitotic cell cycle	GO_0035186	1	1	1	0	0
signal transduction involved in mitotic spindle checkpoint	GO_0072477	1	1	1	0	0
signal transduction involved in mitotic spindle assembly checkpoint	GO_0072480	1	1	1	0	0
signal transduction involved in mitotic cell cycle spindle orientation checkpoint	GO_0072483	1	1	1	0	0
signal transduction involved in mitotic cell cycle checkpoint	GO_0072413	1	1	1	0	0
signal transduction involved in meiotic cell cycle checkpoint	GO_0072411	1	1	1	0	0
signal transduction involved in cell cycle checkpoint	GO_0072395	1	1	1	0	0
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO_0051439	1	1	1	0	0
regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle	GO_0051440	1	1	1	0	0
regulation of syncytial blastoderm mitotic cell cycle	GO_0007348	1	1	1	0	0
regulation of preblastoderm mitotic cell cycle	GO_0007347	1	1	1	0	0
regulation of mitotic cell cycle spindle assembly checkpoint	GO_0090266	1	1	1	0	0
regulation of mitotic cell cycle	GO_0007346	1	1	1	0	0
regulation of meiotic cell cycle	GO_0051445	1	1	1	0	0
regulation of cell cycle process	GO_0010564	1	1	1	0	0
regulation of cell cycle	GO_0051726	1	1	1	0	0
re-entry into mitotic cell cycle after pheromone arrest	GO_0000321	1	1	1	0	0
re-entry into mitotic cell cycle	GO_0000320	1	1	1	0	0
preblastoderm mitotic cell cycle	GO_0035185	1	1	1	0	0
positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO_0051437	1	1	1	0	0
positive regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle	GO_0051441	1	1	1	0	0
positive regulation of syncytial blastoderm mitotic cell cycle	GO_0046004	1	1	1	0	0
positive regulation of preblastoderm mitotic cell cycle	GO_0046002	1	1	1	0	0
positive regulation of mitotic cell cycle spindle assembly checkpoint	GO_0090267	1	1	1	0	0
positive regulation of mitotic cell cycle	GO_0045931	1	1	1	0	0
positive regulation of meiotic cell cycle	GO_0051446	1	1	1	0	0
positive regulation of cell cycle process	GO_0090068	1	1	1	0	0
positive regulation of cell cycle	GO_0045787	1	1	1	0	0
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO_0051436	1	1	1	0	0
negative regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle	GO_0051442	1	1	1	0	0
negative regulation of syncytial blastoderm mitotic cell cycle	GO_0046003	1	1	1	0	0
negative regulation of preblastoderm mitotic cell cycle	GO_0046001	1	1	1	0	0
negative regulation of mitotic cell cycle	GO_0045930	1	1	1	0	0
negative regulation of meiotic cell cycle	GO_0051447	1	1	1	0	0
negative regulation of cell cycle process	GO_0010948	1	1	1	0	0
negative regulation of cell cycle arrest in response to nitrogen starvation	GO_0010503	1	1	1	0	0
negative regulation of cell cycle arrest	GO_0071157	1	1	1	0	0
negative regulation of cell cycle	GO_0045786	1	1	1	0	0
negative regulation by symbiont of host cell cycle	GO_0044072	1	1	1	0	0
modulation by virus of host cell cycle	GO_0060153	1	1	1	0	0
modulation by symbiont of host cell cycle	GO_0044071	1	1	1	0	0
mitotic interphase	GO_0051329	1	1	1	0	0
mitotic cytokinesis	GO_0000281	1	1	1	0	0
mitotic cell cycle checkpoint	GO_0007093	1	1	1	0	0
mitotic cell cycle	GO_0000278	1	1	1	0	0
meiotic interphase	GO_0051328	1	1	1	0	0
meiotic cell cycle checkpoint	GO_0033313	1	1	1	0	0
meiotic cell cycle	GO_0051321	1	1	1	0	0
germline cell cycle switching, mitotic to meiotic cell cycle	GO_0051729	1	1	1	0	0
endomitotic cell cycle	GO_0007113	1	1	1	0	0
detection of stimulus involved in mitotic spindle orientation checkpoint	GO_0072481	1	1	1	0	0
