name	ID	manual	auto	checked	blacklisted	is_obsolete
salivary gland cell autophagic cell death	GO_0035071	1	1	1	0	0
regulation of necrotic cell death	GO_0010939	1	1	1	0	0
regulation of cell death	GO_0010941	1	1	1	0	0
programmed necrotic cell death	GO_0097300	1	1	1	0	0
positive regulation of necrotic cell death	GO_0010940	1	1	1	0	0
positive regulation of cell death	GO_0010942	1	1	1	0	0
negative regulation of necrotic cell death	GO_0060547	1	1	1	0	0
negative regulation of cell death	GO_0060548	1	1	1	0	0
negative regulation of activation-induced cell death of T cells	GO_0070236	1	1	1	0	0
necrotic cell death	GO_0070265	1	1	1	0	0
ecdysone-mediated induction of salivary gland cell autophagic cell death	GO_0035072	1	1	1	0	0
type B pancreatic cell apoptotic process	GO_0097050	0	1	1	0	0
tumor necrosis factor-activated receptor activity	GO_0005031	0	1	1	0	0
transformed cell apoptotic process	GO_0006927	0	1	1	0	0
thymocyte apoptotic process	GO_0070242	0	1	1	0	0
synergid death	GO_0010198	0	1	1	0	0
suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process	GO_0039650	0	1	1	0	0
suppression by virus of host cell lysis in response to superinfection	GO_0039639	0	1	1	0	0
suppression by virus of host apoptotic process	GO_0019050	0	1	1	0	0
striated muscle cell apoptotic process	GO_0010658	0	1	1	0	0
smooth muscle cell apoptotic process	GO_0034390	0	1	1	0	0
singlet oxygen-mediated programmed cell death	GO_0010343	0	1	1	0	0
ripoptosome assembly involved in necroptotic process	GO_1901026	0	1	1	0	0
ripoptosome assembly involved in extrinsic apoptotic signaling pathway	GO_1901025	0	1	1	0	0
retinal rod cell apoptotic process	GO_0097473	0	1	1	0	0
retinal cone cell apoptotic process	GO_0097474	0	1	1	0	0
retinal cell programmed cell death	GO_0046666	0	1	1	0	0
retinal cell apoptotic process	GO_1990009	0	1	1	0	0
release of matrix enzymes from mitochondria	GO_0032976	0	1	1	0	0
release of cytochrome c from mitochondria	GO_0001836	0	1	1	0	0
regulatory T cell apoptotic process	GO_1902482	0	1	1	0	0
regulation of type B pancreatic cell apoptotic process	GO_2000674	0	1	1	0	0
regulation of thymocyte apoptotic process	GO_0070243	0	1	1	0	0
regulation of striated muscle cell apoptotic process	GO_0010662	0	1	1	0	0
regulation of smooth muscle cell apoptotic process	GO_0034391	0	1	1	0	0
regulation of ripoptosome assembly involved in necroptotic process	GO_1902442	0	1	1	0	0
regulation of retinal cell programmed cell death	GO_0046668	0	1	1	0	0
regulation of release of cytochrome c from mitochondria	GO_0090199	0	1	1	0	0
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GO_1900739	0	1	1	0	0
regulation of programmed cell death	GO_0043067	0	1	1	0	0
regulation of plant-type hypersensitive response	GO_0010363	0	1	1	0	0
regulation of peripheral B cell deletion	GO_0002908	0	1	1	0	0
regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	GO_1903376	0	1	1	0	0
regulation of oxidative stress-induced neuron death	GO_1903203	0	1	1	0	0
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	GO_1902175	0	1	1	0	0
