name	ID	manual	auto	checked	blacklisted	is_obsolete
cell differentiation involved in spore germination	GO_0075301	1	1	1	0	0
cell differentiation involved in salivary gland development	GO_0060689	1	1	1	0	0
cell differentiation involved in pronephros development	GO_0039014	1	1	1	0	0
cell differentiation involved in metanephros development	GO_0072202	1	1	1	0	0
cell differentiation involved in mesonephros development	GO_0061208	1	1	1	0	0
cell differentiation in spinal cord	GO_0021515	1	1	1	0	0
cell differentiation	GO_0030154	1	1	1	0	0
cell maturation	GO_0048469	1	0	1	0	0
cell fate specification involved in pattern specification	GO_0060573	1	0	1	0	0
cell fate specification	GO_0001708	1	0	1	0	0
cell fate determination involved in pattern specification	GO_0060582	1	0	1	0	0
cell fate determination	GO_0001709	1	0	1	0	0
cell fate commitment involved in pattern specification	GO_0060581	1	0	1	0	0
cell fate commitment involved in formation of primary germ layer	GO_0060795	1	0	1	0	0
cell fate commitment	GO_0045165	1	0	1	0	0
cell development	GO_0048468	1	0	1	0	0
cell dedifferentiation	GO_0043697	1	0	1	0	0
zygospore formation	GO_0034296	0	1	1	0	0
zoospore formation	GO_0075239	0	1	1	0	0
xylem vessel member cell differentiation	GO_0048759	0	1	1	0	0
xanthophore differentiation	GO_0050936	0	1	1	0	0
white fat cell differentiation involved in mammary gland fat development	GO_0060642	0	1	1	0	0
white fat cell differentiation	GO_0050872	0	1	1	0	0
visceral motor neuron differentiation	GO_0021524	0	1	1	0	0
vestibular receptor cell differentiation	GO_0060114	0	1	1	0	0
ventricular cardiac muscle cell differentiation	GO_0055012	0	1	1	0	0
ventral spinal cord interneuron differentiation	GO_0021514	0	1	1	0	0
venous endothelial cell differentiation	GO_0060843	0	1	1	0	0
vegetative cell differentiation	GO_0022620	0	1	1	0	0
vasculogenesis involved in coronary vascular morphogenesis	GO_0060979	0	1	1	0	0
vasculogenesis	GO_0001570	0	1	1	0	0
vascular smooth muscle cell differentiation	GO_0035886	0	1	1	0	0
ureter smooth muscle cell differentiation	GO_0072193	0	1	1	0	0
ureter epithelial cell differentiation	GO_0072192	0	1	1	0	0
uredospore formation	GO_0075251	0	1	1	0	0
type B pancreatic cell differentiation	GO_0003309	0	1	1	0	0
trophoblast giant cell differentiation	GO_0060707	0	1	1	0	0
trophectodermal cell differentiation	GO_0001829	0	1	1	0	0
trichome differentiation	GO_0010026	0	1	1	0	0
trichoblast differentiation	GO_0010054	0	1	1	0	0
transitional two stage B cell differentiation	GO_0002334	0	1	1	0	0
transitional stage B cell differentiation	GO_0002332	0	1	1	0	0
transitional one stage B cell differentiation	GO_0002333	0	1	1	0	0
transdifferentiation	GO_0060290	0	1	1	0	0
tongue muscle cell differentiation	GO_0035981	0	1	1	0	0
thyroid-stimulating hormone-secreting cell differentiation	GO_0060129	0	1	1	0	0
thrombocyte differentiation	GO_0002574	0	1	1	0	0
tendon cell differentiation	GO_0035990	0	1	1	0	0
teliospore formation	GO_0075255	0	1	1	0	0
synergid differentiation	GO_0009563	0	1	1	0	0
syncytiotrophoblast cell differentiation involved in labyrinthine layer development	GO_0060715	0	1	1	0	0
striated muscle cell differentiation	GO_0051146	0	1	1	0	0
striatal medium spiny neuron differentiation	GO_0021773	0	1	1	0	0
stomach neuroendocrine cell differentiation	GO_0061102	0	1	1	0	0
stem cell differentiation	GO_0048863	0	1	1	0	0
squamous basal epithelial stem cell differentiation involved in prostate gland acinus development	GO_0060529	0	1	1	0	0
sporulation resulting in formation of a cellular spore	GO_0030435	0	1	1	0	0
sporocyte differentiation	GO_0048533	0	1	1	0	0
sporangiospore formation	GO_0034300	0	1	1	0	0
spongiotrophoblast differentiation	GO_0060708	0	1	1	0	0
spinal cord radial glial cell differentiation	GO_0021531	0	1	1	0	0
spinal cord oligodendrocyte cell differentiation	GO_0021529	0	1	1	0	0
spinal cord motor neuron differentiation	GO_0021522	0	1	1	0	0
spinal cord association neuron differentiation	GO_0021527	0	1	1	0	0
spermatid differentiation	GO_0048515	0	1	1	0	0
sorocarp stalk cell differentiation	GO_0031149	0	1	1	0	0
sorocarp spore cell differentiation	GO_0044671	0	1	1	0	0
somatotropin secreting cell differentiation	GO_0060126	0	1	1	0	0
somatic motor neuron differentiation	GO_0021523	0	1	1	0	0
socket cell differentiation	GO_0090437	0	1	1	0	0
smooth muscle derived foam cell differentiation	GO_0090078	0	1	1	0	0
smooth muscle cell differentiation involved in prostate glandular acinus development	GO_0060530	0	1	1	0	0
smooth muscle cell differentiation	GO_0051145	0	1	1	0	0
skeletal muscle satellite cell differentiation	GO_0014816	0	1	1	0	0
