name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of reciprocal meiotic recombination	GO_0010520	1	1	1	0	0
regulation of mitotic sister chromatid separation	GO_0010965	1	1	1	0	0
regulation of mitotic sister chromatid segregation	GO_0033047	1	1	1	0	0
regulation of mitotic metaphase/anaphase transition	GO_0030071	1	1	1	0	0
regulation of meiotic joint molecule formation	GO_0010946	1	1	1	0	0
regulation of meiosis I	GO_0060631	1	1	1	0	0
regulation of meiosis	GO_0040020	1	1	1	0	0
regulation of maintenance of mitotic sister chromatid cohesion, centromeric	GO_2000718	1	1	1	0	0
regulation of maintenance of mitotic sister chromatid cohesion, arms	GO_2000715	1	1	1	0	0
regulation of maintenance of mitotic sister chromatid cohesion	GO_0034182	1	1	1	0	0
regulation of maintenance of meiotic sister chromatid cohesion, centromeric	GO_2000709	1	1	1	0	0
regulation of maintenance of meiotic sister chromatid cohesion, arms	GO_2000712	1	1	1	0	0
regulation of maintenance of meiotic sister chromatid cohesion	GO_0034094	1	1	1	0	0
regulation of cytokinetic cell separation	GO_0010590	1	1	1	0	0
regulation of cytokinesis, site selection	GO_2000073	1	1	1	0	0
regulation of cytokinesis, actomyosin contractile ring assembly	GO_2000431	1	1	1	0	0
regulation of cytokinesis	GO_0032465	1	1	1	0	0
regulation of cell division	GO_0051302	1	1	1	0	0
regulation of asymmetric cell division	GO_0009786	1	1	1	0	0
regulation of FtsZ-dependent cytokinesis	GO_2000244	1	1	1	0	0
preprophase band assembly	GO_0000913	1	1	1	0	0
positive regulation of reciprocal meiotic recombination	GO_0010845	1	1	1	0	0
positive regulation of nuclear division	GO_0051785	1	1	1	0	0
positive regulation of mitotic metaphase/anaphase transition	GO_0045842	1	1	1	0	0
positive regulation of meiosis I	GO_0060903	1	1	1	0	0
positive regulation of meiosis	GO_0045836	1	1	1	0	0
positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric	GO_2000720	1	1	1	0	0
positive regulation of maintenance of mitotic sister chromatid cohesion, arms	GO_2000717	1	1	1	0	0
positive regulation of maintenance of mitotic sister chromatid cohesion	GO_0034184	1	1	1	0	0
positive regulation of maintenance of meiotic sister chromatid cohesion, centromeric	GO_2000711	1	1	1	0	0
positive regulation of maintenance of meiotic sister chromatid cohesion, arms	GO_2000714	1	1	1	0	0
positive regulation of maintenance of meiotic sister chromatid cohesion	GO_0034096	1	1	1	0	0
positive regulation of cytokinetic cell separation	GO_2001043	1	1	1	0	0
positive regulation of cell division	GO_0051781	1	1	1	0	0
positive regulation cytokinesis, site selection	GO_2000076	1	1	1	0	0
polar body extrusion after meiotic divisions	GO_0040038	1	1	1	0	0
