name	ID	manual	auto	checked	blacklisted	is_obsolete
extracellular matrix organization involved in endocardium development	GO_0061148	1	1	1	0	0
extracellular matrix organization	GO_0030198	1	1	1	0	0
extracellular matrix disassembly	GO_0022617	1	1	1	0	0
extracellular matrix assembly	GO_0085029	1	1	1	0	0
sequestering of TGFbeta in extracellular matrix	GO_0035583	1	0	1	0	0
regulation of extracellular matrix disassembly	GO_0010715	1	0	1	0	0
regulation of extracellular matrix constituent secretion	GO_0003330	1	0	1	0	0
regulation of extracellular matrix assembly	GO_1901201	1	0	1	0	0
regulation of collagen metabolic process	GO_0010712	1	0	1	0	0
regulation of collagen catabolic process	GO_0010710	1	0	1	0	0
regulation of collagen biosynthetic process	GO_0032965	1	0	1	0	0
regulation of collagen binding	GO_0033341	1	0	1	0	0
regulation of cell-matrix adhesion	GO_0001952	1	0	1	0	0
positive regulation of extracellular matrix disassembly	GO_0090091	1	0	1	0	0
positive regulation of extracellular matrix constituent secretion	GO_0003331	1	0	1	0	0
positive regulation of extracellular matrix assembly	GO_1901203	1	0	1	0	0
positive regulation of cell-matrix adhesion	GO_0001954	1	0	1	0	0
phosphopyruvate hydratase complex	GO_0000015	1	0	1	0	0
obsolete regulation of gene expression involved in extracellular matrix organization	GO_1901311	1	0	1	1	1
obsolete positive regulation of gene expression involved in extracellular matrix organization	GO_1901313	1	0	1	1	1
obsolete negative regulation of gene expression involved in extracellular matrix organization	GO_1901312	1	0	1	1	1
negative regulation of extracellular matrix disassembly	GO_0010716	1	0	1	0	0
negative regulation of extracellular matrix constituent secretion	GO_0003332	1	0	1	0	0
negative regulation of extracellular matrix assembly	GO_1901202	1	0	1	0	0
negative regulation of cell-matrix adhesion	GO_0001953	1	0	1	0	0
gene expression involved in extracellular matrix organization	GO_1901148	1	0	1	0	0
extracellular matrix-granule cell signaling involved in regulation of granule cell precursor proliferation	GO_0021939	1	0	1	0	0
extracellular matrix-dependent thymocyte migration	GO_0072680	1	0	1	0	0
extracellular matrix-cell signaling	GO_0035426	1	0	1	0	0
extracellular matrix constituent secretion	GO_0070278	1	0	1	0	0
envenomation resulting in damage of muscle extracellular matrix in other organism	GO_0044523	1	0	1	0	0
cellular response to cell-matrix adhesion	GO_0071460	1	0	1	0	0
cell-substrate junction assembly	GO_0007044	1	0	1	0	0
cell-substrate adhesion	GO_0031589	1	0	1	0	0
cell-substrate adherens junction assembly	GO_0007045	1	0	1	0	0
cell-matrix recognition	GO_0009989	1	0	1	0	0
cell-matrix adhesion involved in tangential migration using cell-cell interactions	GO_0021833	1	0	1	0	0
cell-matrix adhesion involved in mesendodermal cell migration	GO_0003368	1	0	1	0	0
cell-matrix adhesion involved in ameboidal cell migration	GO_0003366	1	0	1	0	0
cell-matrix adhesion	GO_0007160	1	0	1	0	0
vitelline membrane formation involved in chorion-containing eggshell formation	GO_0007305	0	1	1	0	0
vitelline membrane formation	GO_0030704	0	1	1	0	0
