name	ID	manual	auto	checked	blacklisted	is_obsolete
inductive cell migration	GO_0040039	1	1	1	0	0
cell migration to the midline involved in heart development	GO_0003318	1	1	1	0	0
cell migration involved in vasculogenesis	GO_0035441	1	1	1	0	0
cell migration involved in somitogenic axis elongation	GO_0090248	1	1	1	0	0
cell migration involved in prostatic bud elongation	GO_0060518	1	1	1	0	0
cell migration involved in metanephros development	GO_0035788	1	1	1	0	0
cell migration involved in mesendoderm migration	GO_0090134	1	1	1	0	0
cell migration involved in mammary placode formation	GO_0060619	1	1	1	0	0
cell migration involved in heart jogging	GO_0003305	1	1	1	0	0
cell migration involved in heart formation	GO_0060974	1	1	1	0	0
cell migration involved in heart development	GO_0060973	1	1	1	0	0
cell migration involved in gastrulation	GO_0042074	1	1	1	0	0
cell migration involved in endocardial cushion formation	GO_0003273	1	1	1	0	0
cell migration involved in coronary vasculogenesis	GO_0060980	1	1	1	0	0
cell migration in diencephalon	GO_0061381	1	1	1	0	0
wound healing, spreading of epidermal cells	GO_0035313	0	1	1	0	0
wound healing, spreading of cells	GO_0044319	0	1	1	0	0
ventral trunk neural crest cell migration	GO_0036486	0	1	1	0	0
venous endothelial cell migration involved in lymph vessel development	GO_0060855	0	1	1	0	0
trunk neural crest cell migration	GO_0036484	0	1	1	0	0
trophoblast cell migration	GO_0061450	0	1	1	0	0
thymocyte migration	GO_0072679	0	1	1	0	0
telencephalon oligodendrocyte cell migration	GO_0022032	0	1	1	0	0
telencephalon microglial cell migration	GO_0022033	0	1	1	0	0
telencephalon glial cell migration	GO_0022030	0	1	1	0	0
telencephalon cell migration	GO_0022029	0	1	1	0	0
telencephalon astrocyte cell migration	GO_0022031	0	1	1	0	0
tangential migration from the subventricular zone to the olfactory bulb	GO_0022028	0	1	1	0	0
suppression by virus of host chemokine activity	GO_0039553	0	1	1	0	0
substrate-independent telencephalic tangential migration	GO_0021826	0	1	1	0	0
substrate-independent telencephalic tangential interneuron migration	GO_0021843	0	1	1	0	0
substrate-dependent cerebral cortex tangential migration	GO_0021825	0	1	1	0	0
substrate-dependent cell migration, cell extension	GO_0006930	0	1	1	0	0
substrate-dependent cell migration, cell contraction	GO_0006932	0	1	1	0	0
substrate-dependent cell migration, cell attachment to substrate	GO_0006931	0	1	1	0	0
substrate-dependent cell migration	GO_0006929	0	1	1	0	0
substrate-bound cell migration, adhesion receptor recycling	GO_0006934	0	1	1	0	0
subpallium radially oriented migration	GO_0021981	0	1	1	0	0
subpallium cell migration	GO_0021980	0	1	1	0	0
spinal cord motor neuron migration	GO_0097476	0	1	1	0	0
somal translocation	GO_0021802	0	1	1	0	0
smooth muscle cell migration	GO_0014909	0	1	1	0	0
smooth muscle cell chemotaxis	GO_0071670	0	1	1	0	0
skeletal muscle satellite cell migration	GO_1902766	0	1	1	0	0
rhombomere cell migration	GO_0022035	0	1	1	0	0
regulation of wound healing, spreading of epidermal cells	GO_1903689	0	1	0	0	0
regulation of trophoblast cell migration	GO_1901163	0	1	1	0	0
regulation of thymocyte migration	GO_2000410	0	1	1	0	0
regulation of smooth muscle cell migration	GO_0014910	0	1	1	0	0
regulation of smooth muscle cell chemotaxis	GO_0071671	0	1	1	0	0
regulation of neutrophil migration	GO_1902622	0	1	1	0	0
regulation of neutrophil extravasation	GO_2000389	0	1	1	0	0
regulation of neutrophil chemotaxis	GO_0090022	0	1	1	0	0
regulation of neuron migration	GO_2001222	0	1	1	0	0
regulation of natural killer cell chemotaxis	GO_2000501	0	1	1	0	0
regulation of myeloid dendritic cell chemotaxis	GO_2000527	0	1	1	0	0
regulation of muscle cell chemotaxis toward tendon cell	GO_2001281	0	1	1	0	0
regulation of mononuclear cell migration	GO_0071675	0	1	1	0	0
regulation of monocyte extravasation	GO_2000437	0	1	1	0	0
regulation of monocyte chemotaxis	GO_0090025	0	1	1	0	0
regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway	GO_1900238	0	1	1	0	0
regulation of metanephric mesenchymal cell migration	GO_2000589	0	1	1	0	0
regulation of mast cell chemotaxis	GO_0060753	0	1	1	0	0
regulation of macrophage chemotaxis	GO_0010758	0	1	1	0	0
regulation of lymphocyte migration	GO_2000401	0	1	1	0	0
regulation of lymphocyte chemotaxis	GO_1901623	0	1	1	0	0
regulation of leukocyte tethering or rolling	GO_1903236	0	1	1	0	0
regulation of leukocyte migration	GO_0002685	0	1	1	0	0
regulation of leukocyte chemotaxis	GO_0002688	0	1	1	0	0
regulation of lateral motor column neuron migration	GO_1902076	0	1	1	0	0
regulation of keratinocyte migration	GO_0051547	0	1	1	0	0
regulation of hematopoietic stem cell migration	GO_2000471	0	1	1	0	0
regulation of granulocyte chemotaxis	GO_0071622	0	1	1	0	0
regulation of fibronectin-dependent thymocyte migration	GO_2000413	0	1	1	0	0
regulation of fibroblast migration	GO_0010762	0	1	1	0	0
regulation of epithelial cell migration, open tracheal system	GO_2000274	0	1	1	0	0
regulation of epithelial cell migration	GO_0010632	0	1	1	0	0
regulation of eosinophil migration	GO_2000416	0	1	1	0	0
regulation of eosinophil extravasation	GO_2000419	0	1	1	0	0
regulation of eosinophil chemotaxis	GO_2000422	0	1	1	0	0
regulation of endothelial cell migration	GO_0010594	0	1	1	0	0
regulation of endothelial cell chemotaxis to fibroblast growth factor	GO_2000544	0	1	1	0	0
regulation of endothelial cell chemotaxis	GO_2001026	0	1	1	0	0
regulation of distal tip cell migration	GO_1903354	0	1	1	0	0
regulation of dendritic cell chemotaxis	GO_2000508	0	1	1	0	0
regulation of chemokine activity	GO_1900136	0	1	1	0	0
regulation of cellular extravasation	GO_0002691	0	1	1	0	0
