name	ID	manual	auto	checked	blacklisted	is_obsolete
cell morphogenesis involved in semicircular canal fusion	GO_0060880	1	1	1	0	0
cell morphogenesis involved in neuron differentiation	GO_0048667	1	1	1	0	0
cell morphogenesis involved in differentiation	GO_0000904	1	1	1	0	0
cell morphogenesis involved in conjugation with mutual genetic exchange	GO_0000759	1	1	1	0	0
cell morphogenesis involved in conjugation with cellular fusion	GO_0000753	1	1	1	0	0
cell morphogenesis involved in conjugation	GO_0000767	1	1	1	0	0
cell morphogenesis involved in Malpighian tubule morphogenesis	GO_0061336	1	1	1	0	0
cell morphogenesis	GO_0000902	1	1	1	0	0
cellular morphogenesis involved in pheromone-induced unidirectional conjugation	GO_0000764	1	0	1	1	1
cell morphogenesis involved in unidirectional conjugation	GO_0000763	1	0	1	1	1
zygote elongation	GO_0080159	0	1	0	0	0
vestibulospinal tract morphogenesis	GO_0021962	0	1	0	0	0
vestibular receptor cell stereocilium organization	GO_0060121	0	1	0	0	0
vestibular receptor cell morphogenesis	GO_0060116	0	1	0	0	0
unidimensional cell growth	GO_0009826	0	1	0	0	0
trophectodermal cellular morphogenesis	GO_0001831	0	1	0	0	0
trigeminothalamic tract morphogenesis	GO_0021974	0	1	0	0	0
trichome morphogenesis	GO_0010090	0	1	0	0	0
trichome branching	GO_0010091	0	1	0	0	0
termination of monopolar cell growth	GO_0051521	0	1	0	0	0
termination of bipolar cell growth	GO_0051520	0	1	0	0	0
tectospinal tract morphogenesis	GO_0021977	0	1	0	0	0
tectobulbar tract morphogenesis	GO_0034429	0	1	0	0	0
sympathetic neuron projection guidance	GO_0097491	0	1	0	0	0
sympathetic neuron projection extension	GO_0097490	0	1	0	0	0
sympathetic neuron axon guidance	GO_0097492	0	1	0	0	0
substrate adhesion-dependent cell spreading	GO_0034446	0	1	0	0	0
spinothalamic tract morphogenesis	GO_0021963	0	1	0	0	0
spinal sensory neuron axon guidance	GO_0097375	0	1	0	0	0
spinal cord ventral commissure morphogenesis	GO_0021965	0	1	0	0	0
spinal cord interneuron axon guidance	GO_0097377	0	1	0	0	0
sperm axoneme assembly	GO_0007288	0	1	0	0	0
sensory neuron axon guidance	GO_0097374	0	1	0	0	0
semaphorin-plexin signaling pathway involved in neuron projection guidance	GO_1902285	0	1	0	0	0
semaphorin-plexin signaling pathway involved in dendrite guidance	GO_1902286	0	1	0	0	0
semaphorin-plexin signaling pathway involved in axon guidance	GO_1902287	0	1	0	0	0
seed trichome elongation	GO_0090378	0	1	0	0	0
rubrospinal tract morphogenesis	GO_0021964	0	1	0	0	0
root hair initiation	GO_0048766	0	1	0	0	0
root hair cell tip growth	GO_0048768	0	1	0	0	0
rhabdomere morphogenesis	GO_0061541	0	1	0	0	0
retinal ganglion cell axon guidance	GO_0031290	0	1	0	0	0
regulation of unidimensional cell growth	GO_0051510	0	1	0	0	0
regulation of trichome morphogenesis	GO_2000039	0	1	0	0	0
regulation of termination of mating projection growth	GO_0031385	0	1	0	0	0
regulation of substrate adhesion-dependent cell spreading	GO_1900024	0	1	0	0	0
regulation of retinal ganglion cell axon guidance	GO_0090259	0	1	0	0	0
regulation of pollen tube growth	GO_0080092	0	1	0	0	0
regulation of photoreceptor cell axon guidance	GO_2000289	0	1	0	0	0
regulation of nonmotile primary cilium assembly	GO_1902855	0	1	0	0	0
regulation of neural crest formation	GO_0090299	0	1	0	0	0
regulation of monopolar cell growth	GO_0051513	0	1	0	0	0
regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0003339	0	1	0	0	0
regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000084	0	1	0	0	0
regulation of mating projection assembly	GO_0031383	0	1	0	0	0
regulation of lamellipodium morphogenesis	GO_2000392	0	1	0	0	0
regulation of initiation of mating projection growth	GO_0031384	0	1	0	0	0
regulation of epithelial to mesenchymal transition	GO_0010717	0	1	0	0	0
regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	GO_2000800	0	1	0	0	0
regulation of embryonic cell shape	GO_0016476	0	1	0	0	0
regulation of direction of cell growth	GO_0061389	0	1	0	0	0
regulation of dendritic spine morphogenesis	GO_0061001	0	1	0	0	0
regulation of dendrite morphogenesis	GO_0048814	0	1	0	0	0
regulation of collateral sprouting of intact axon in response to injury	GO_0048683	0	1	0	0	0
regulation of collateral sprouting of injured axon	GO_0048693	0	1	0	0	0
regulation of collateral sprouting in absence of injury	GO_0048696	0	1	0	0	0
regulation of collateral sprouting	GO_0048670	0	1	0	0	0
regulation of cilium assembly	GO_1902017	0	1	0	0	0
regulation of cell shape involved in G1 to G0 transition	GO_1900528	0	1	0	0	0
regulation of cell shape during vegetative growth phase	GO_0000903	0	1	0	0	0
regulation of cell shape	GO_0008360	0	1	0	0	0
regulation of cell morphogenesis involved in phenotypic switching	GO_1900447	0	1	0	0	0
regulation of cell morphogenesis involved in differentiation	GO_0010769	0	1	0	0	0
regulation of cell morphogenesis	GO_0022604	0	1	0	0	0
regulation of bipolar cell growth	GO_0051516	0	1	0	0	0
regulation of axonogenesis	GO_0050770	0	1	0	0	0
regulation of axon guidance	GO_1902667	0	1	0	0	0
regulation of axon extension involved in regeneration	GO_0048690	0	1	0	0	0
regulation of axon extension involved in axon guidance	GO_0048841	0	1	0	0	0
regulation of axon extension	GO_0030516	0	1	0	0	0
regulation of axon diameter	GO_0031133	0	1	0	0	0
posterior lateral line neuromast hair cell morphogenesis	GO_0035680	0	1	0	0	0
posterior lateral line nerve glial cell morphogenesis involved in differentiation	GO_0048942	0	1	0	0	0
posterior commissure morphogenesis	GO_0021961	0	1	0	0	0
positive regulation of unidimensional cell growth	GO_0051512	0	1	0	0	0
positive regulation of substrate adhesion-dependent cell spreading	GO_1900026	0	1	0	0	0
positive regulation of retinal ganglion cell axon guidance	GO_1902336	0	1	0	0	0
positive regulation of nonmotile primary cilium assembly	GO_1902857	0	1	0	0	0
positive regulation of neural crest formation	GO_0090300	0	1	0	0	0
positive regulation of monopolar cell growth	GO_0051515	0	1	0	0	0
positive regulation of mesodermal to mesenchymal transition involved in gastrulation	GO_0060808	0	1	0	0	0
