name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of cell proliferation involved in tissue homeostasis	GO_0060784	1	1	1	0	0
regulation of cell proliferation involved in mesonephros development	GO_2000606	1	1	1	0	0
regulation of cell proliferation involved in imaginal disc-derived wing morphogenesis	GO_0090256	1	1	1	0	0
regulation of cell proliferation involved in heart valve morphogenesis	GO_0003250	1	1	1	0	0
regulation of cell proliferation involved in heart morphogenesis	GO_2000136	1	1	1	0	0
regulation of cell proliferation involved in compound eye morphogenesis	GO_2000495	1	1	1	0	0
regulation of cell proliferation in dorsal spinal cord	GO_0021921	1	1	1	0	0
regulation of cell proliferation in bone marrow	GO_0071863	1	1	1	0	0
regulation of cell proliferation	GO_0042127	1	1	1	0	0
positive regulation of cell proliferation in bone marrow	GO_0071864	1	1	1	0	0
cell proliferation involved in pronephros development	GO_0039015	1	1	1	0	0
cell proliferation involved in outflow tract morphogenesis	GO_0061325	1	1	1	0	0
cell proliferation involved in neural plate elongation	GO_0021992	1	1	1	0	0
cell proliferation involved in metanephros development	GO_0072203	1	1	1	0	0
cell proliferation involved in mesonephros development	GO_0061209	1	1	1	0	0
cell proliferation involved in imaginal disc-derived wing morphogenesis	GO_0090255	1	1	1	0	0
cell proliferation involved in heart valve morphogenesis	GO_0003249	1	1	1	0	0
cell proliferation involved in heart valve development	GO_2000793	1	1	1	0	0
cell proliferation involved in heart morphogenesis	GO_0061323	1	1	1	0	0
cell proliferation involved in compound eye morphogenesis	GO_0035736	1	1	1	0	0
cell proliferation involved in atrial ventricular junction remodeling	GO_0003295	1	1	1	0	0
cell proliferation in external granule layer	GO_0021924	1	1	1	0	0
cell proliferation in dorsal spinal cord	GO_0010456	1	1	1	0	0
cell proliferation in bone marrow	GO_0071838	1	1	1	0	0
fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow	GO_0035604	1	0	1	0	0
white fat cell proliferation	GO_0070343	0	1	1	0	0
ventricular zone neuroblast division	GO_0021847	0	1	1	0	0
ventricular zone cell-producing asymmetric radial glial cell division in forebrain	GO_0021868	0	1	1	0	0
urothelial cell proliferation	GO_0050674	0	1	1	0	0
type B pancreatic cell proliferation	GO_0044342	0	1	1	0	0
trophectodermal cell proliferation	GO_0001834	0	1	1	0	0
synoviocyte proliferation	GO_0002941	0	1	1	0	0
symmetric radial glial cell division in forebrain	GO_0021865	0	1	1	0	0
symmetric neuroblast division	GO_0055058	0	1	1	0	0
subpallium glioblast cell division	GO_0021850	0	1	1	0	0
subpallium cell proliferation in forebrain	GO_0022012	0	1	1	0	0
striated muscle cell proliferation	GO_0014855	0	1	1	0	0
stem cell proliferation	GO_0072089	0	1	1	0	0
stellate cell precursor proliferation	GO_0021929	0	1	1	0	0
spongiotrophoblast cell proliferation	GO_0060720	0	1	1	0	0
smooth muscle cell proliferation	GO_0048659	0	1	1	0	0
skeletal muscle satellite cell proliferation	GO_0014841	0	1	1	0	0
skeletal muscle cell proliferation	GO_0014856	0	1	1	0	0
septal cell proliferation	GO_0022022	0	1	1	0	0
rostral hindbrain neuronal precursor cell proliferation	GO_0021931	0	1	1	0	0
rhombomere cell proliferation	GO_0022034	0	1	1	0	0
regulation of white fat cell proliferation	GO_0070350	0	1	1	0	0
regulation of urothelial cell proliferation	GO_0050675	0	1	1	0	0
regulation of type B pancreatic cell proliferation	GO_0061469	0	1	1	0	0
regulation of synoviocyte proliferation	GO_1901645	0	1	1	0	0
regulation of stem cell proliferation	GO_0072091	0	1	1	0	0
regulation of spongiotrophoblast cell proliferation	GO_0060721	0	1	1	0	0
regulation of smooth muscle cell proliferation	GO_0048660	0	1	1	0	0
regulation of skeletal muscle cell proliferation	GO_0014857	0	1	1	0	0
regulation of secondary heart field cardioblast proliferation	GO_0003266	0	1	1	0	0
regulation of satellite cell proliferation	GO_0014842	0	1	1	0	0
regulation of primary heart field cardioblast proliferation	GO_0003265	0	1	1	0	0
regulation of pancreatic stellate cell proliferation	GO_2000229	0	1	1	0	0
regulation of osteoclast proliferation	GO_0090289	0	1	1	0	0
regulation of osteoblast proliferation	GO_0033688	0	1	1	0	0
regulation of oligodendrocyte progenitor proliferation	GO_0070445	0	1	1	0	0
regulation of neuroblast proliferation	GO_1902692	0	1	1	0	0
regulation of neural precursor cell proliferation	GO_2000177	0	1	1	0	0
regulation of natural killer cell proliferation involved in immune response	GO_0032820	0	1	1	0	0
regulation of natural killer cell proliferation	GO_0032817	0	1	1	0	0
regulation of myoblast proliferation	GO_2000291	0	1	1	0	0
regulation of mononuclear cell proliferation	GO_0032944	0	1	1	0	0
regulation of metanephric glomerular mesangial cell proliferation	GO_0072301	0	1	1	0	0
regulation of metanephric cap mesenchymal cell proliferation	GO_0090095	0	1	1	0	0
regulation of mesonephric glomerular mesangial cell proliferation	GO_2000090	0	1	1	0	0
regulation of mesenchymal stem cell proliferation involved in nephron morphogenesis	GO_0072042	0	1	1	0	0
regulation of mesenchymal stem cell proliferation	GO_1902460	0	1	1	0	0
regulation of mesenchymal cell proliferation involved in ureter development	GO_0072199	0	1	1	0	0
regulation of mesenchymal cell proliferation involved in prostate gland development	GO_0060782	0	1	1	0	0
regulation of mesenchymal cell proliferation involved in lung development	GO_2000790	0	1	1	0	0
regulation of mesenchymal cell proliferation	GO_0010464	0	1	1	0	0
regulation of mast cell proliferation	GO_0070666	0	1	1	0	0
regulation of mammary stem cell proliferation	GO_2000101	0	1	1	0	0
regulation of mammary gland epithelial cell proliferation	GO_0033599	0	1	1	0	0
regulation of male germ cell proliferation	GO_2000254	0	1	1	0	0
regulation of lymphocyte proliferation	GO_0050670	0	1	1	0	0
regulation of leukocyte proliferation	GO_0070663	0	1	1	0	0
regulation of lens epithelial cell proliferation	GO_2001109	0	1	1	0	0
regulation of keratinocyte proliferation	GO_0010837	0	1	1	0	0
regulation of immature T cell proliferation in thymus	GO_0033084	0	1	1	0	0
regulation of immature T cell proliferation	GO_0033083	0	1	1	0	0
regulation of hepatocyte proliferation	GO_2000345	0	1	1	0	0
regulation of hemocyte proliferation	GO_0035206	0	1	1	0	0
regulation of hematopoietic stem cell proliferation	GO_1902033	0	1	1	0	0
regulation of hair follicle cell proliferation	GO_0071336	0	1	1	0	0
