name	ID	manual	auto	checked	blacklisted	is_obsolete
central nervous system vasculogenesis	GO_0022009	1	1	1	0	0
central nervous system structural organization	GO_0021597	1	1	1	0	0
central nervous system segmentation	GO_0035283	1	1	1	0	0
central nervous system projection neuron axonogenesis	GO_0021952	1	1	1	0	0
central nervous system neuron differentiation	GO_0021953	1	1	1	0	0
central nervous system neuron development	GO_0021954	1	1	1	0	0
central nervous system neuron axonogenesis	GO_0021955	1	1	1	0	0
central nervous system myelination	GO_0022010	1	1	1	0	0
central nervous system myelin maintenance	GO_0032286	1	1	1	0	0
central nervous system myelin formation	GO_0032289	1	1	1	0	0
central nervous system morphogenesis	GO_0021551	1	1	1	0	0
central nervous system maturation	GO_0021626	1	1	1	0	0
central nervous system interneuron axonogenesis	GO_0021956	1	1	1	0	0
central nervous system formation	GO_0021556	1	1	1	0	0
central nervous system development	GO_0007417	1	1	1	0	0
central nervous system control of baroreceptor feedback	GO_0003019	1	0	1	0	0
visceral motor neuron differentiation	GO_0021524	0	1	0	0	0
vestibulospinal tract morphogenesis	GO_0021962	0	1	0	0	0
vestibular nucleus development	GO_0021750	0	1	0	0	0
ventricular zone neuroblast division	GO_0021847	0	1	0	0	0
ventricular zone cell-producing asymmetric radial glial cell division in forebrain	GO_0021868	0	1	0	0	0
ventricular zone cell fate commitment	GO_0021900	0	1	0	0	0
ventricular system development	GO_0021591	0	1	0	0	0
ventral spinal cord interneuron specification	GO_0021521	0	1	0	0	0
ventral spinal cord interneuron fate determination	GO_0060580	0	1	0	0	0
ventral spinal cord interneuron fate commitment	GO_0060579	0	1	0	0	0
ventral spinal cord interneuron differentiation	GO_0021514	0	1	0	0	0
ventral spinal cord development	GO_0021517	0	1	0	0	0
ventral midline development	GO_0007418	0	1	0	0	0
ventral midline determination	GO_0007371	0	1	0	0	0
ventral cord development	GO_0007419	0	1	0	0	0
ventral cochlear nucleus development	GO_0021749	0	1	0	0	0
vagus nerve structural organization	GO_0021645	0	1	0	0	0
vagus nerve morphogenesis	GO_0021644	0	1	0	0	0
vagus nerve maturation	GO_0021643	0	1	0	0	0
vagus nerve formation	GO_0021646	0	1	0	0	0
vagus nerve development	GO_0021564	0	1	0	0	0
trigeminothalamic tract morphogenesis	GO_0021974	0	1	0	0	0
trigeminal sensory nucleus development	GO_0021730	0	1	0	0	0
trigeminal motor nucleus development	GO_0021731	0	1	0	0	0
thyroid-stimulating hormone-secreting cell differentiation	GO_0060129	0	1	0	0	0
thyroid-stimulating hormone-secreting cell development	GO_0060130	0	1	0	0	0
third ventricle development	GO_0021678	0	1	0	0	0
thalamus development	GO_0021794	0	1	0	0	0
telencephalon regionalization	GO_0021978	0	1	0	0	0
telencephalon oligodendrocyte cell migration	GO_0022032	0	1	0	0	0
telencephalon microglial cell migration	GO_0022033	0	1	0	0	0
telencephalon glial cell migration	GO_0022030	0	1	0	0	0
telencephalon development	GO_0021537	0	1	0	0	0
telencephalon cell migration	GO_0022029	0	1	0	0	0
telencephalon astrocyte cell migration	GO_0022031	0	1	0	0	0
tectospinal tract morphogenesis	GO_0021977	0	1	0	0	0
tectobulbar tract morphogenesis	GO_0034429	0	1	0	0	0
tangential migration from the subventricular zone to the olfactory bulb	GO_0022028	0	1	0	0	0
symmetric radial glial cell division in forebrain	GO_0021865	0	1	0	0	0
superior temporal gyrus development	GO_0071109	0	1	0	0	0
superior salivary nucleus development	GO_0021753	0	1	0	0	0
superior reticular formation development	GO_0021729	0	1	0	0	0
superior raphe nucleus development	GO_0021725	0	1	0	0	0
superior olivary nucleus structural organization	GO_0021721	0	1	0	0	0
superior olivary nucleus morphogenesis	GO_0021719	0	1	0	0	0
superior olivary nucleus maturation	GO_0021722	0	1	0	0	0
superior olivary nucleus formation	GO_0021720	0	1	0	0	0
superior olivary nucleus development	GO_0021718	0	1	0	0	0
superior colliculus development	GO_0061380	0	1	0	0	0
subthalamus development	GO_0021539	0	1	0	0	0
subthalamic nucleus development	GO_0021763	0	1	0	0	0
substrate-independent telencephalic tangential migration	GO_0021826	0	1	0	0	0
substrate-independent telencephalic tangential interneuron migration	GO_0021843	0	1	0	0	0
substrate-dependent cerebral cortex tangential migration	GO_0021825	0	1	0	0	0
substantia nigra development	GO_0021762	0	1	0	0	0
subpallium radially oriented migration	GO_0021981	0	1	0	0	0
subpallium neuron fate commitment	GO_0060163	0	1	0	0	0
subpallium glioblast cell division	GO_0021850	0	1	0	0	0
subpallium development	GO_0021544	0	1	0	0	0
subpallium cell proliferation in forebrain	GO_0022012	0	1	0	0	0
subpallium cell migration	GO_0021980	0	1	0	0	0
subarachnoid space development	GO_1903374	0	1	0	0	0
striatum development	GO_0021756	0	1	0	0	0
striatal medium spiny neuron differentiation	GO_0021773	0	1	0	0	0
stellate cell precursor proliferation	GO_0021929	0	1	0	0	0
spinothalamic tract morphogenesis	GO_0021963	0	1	0	0	0
spinal trigeminal nucleus development	GO_0021741	0	1	0	0	0
spinal cord ventral commissure morphogenesis	GO_0021965	0	1	0	0	0
spinal cord radial glial cell differentiation	GO_0021531	0	1	0	0	0
spinal cord patterning	GO_0021511	0	1	0	0	0
spinal cord oligodendrocyte cell fate specification	GO_0021530	0	1	0	0	0
spinal cord oligodendrocyte cell differentiation	GO_0021529	0	1	0	0	0
spinal cord motor neuron differentiation	GO_0021522	0	1	0	0	0
spinal cord motor neuron cell fate specification	GO_0021520	0	1	0	0	0
spinal cord dorsal/ventral patterning	GO_0021513	0	1	0	0	0
spinal cord development	GO_0021510	0	1	0	0	0
spinal cord commissural neuron specification	GO_0021518	0	1	0	0	0
spinal cord association neuron specification	GO_0021519	0	1	0	0	0
spinal cord association neuron differentiation	GO_0021527	0	1	0	0	0
spinal cord anterior/posterior patterning	GO_0021512	0	1	0	0	0
somatotropin secreting cell differentiation	GO_0060126	0	1	0	0	0
somatotropin secreting cell development	GO_0060133	0	1	0	0	0
somatic motor neuron fate commitment	GO_0021917	0	1	0	0	0
somatic motor neuron differentiation	GO_0021523	0	1	0	0	0
somal translocation	GO_0021802	0	1	0	0	0
solitary nucleus development	GO_0021746	0	1	0	0	0
smoothened signaling pathway involved in ventral spinal cord patterning	GO_0021910	0	1	0	0	0
smoothened signaling pathway involved in ventral spinal cord interneuron specification	GO_0021775	0	1	0	0	0
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	GO_0021776	0	1	0	0	0
septal cell proliferation	GO_0022022	0	1	0	0	0
salivary nucleus development	GO_0021751	0	1	0	0	0
rubrospinal tract morphogenesis	GO_0021964	0	1	0	0	0
rostral hindbrain neuronal precursor cell proliferation	GO_0021931	0	1	0	0	0
rhombomere structural organization	GO_0021595	0	1	0	0	0
rhombomere morphogenesis	GO_0021593	0	1	0	0	0
