name	ID	manual	auto	checked	blacklisted	is_obsolete
spindle pole	GO_0000922	1	1	1	0	0
pericentriolar material	GO_0000242	1	1	1	0	0
gamma-tubulin small complex, spindle pole body	GO_0000928	1	1	1	0	0
gamma-tubulin small complex, centrosomal	GO_0000927	1	1	1	0	0
gamma-tubulin ring complex, centrosomal	GO_0000924	1	1	1	0	0
gamma-tubulin large complex	GO_0000931	1	1	1	0	0
gamma-tubulin complex	GO_0000930	1	1	1	0	0
equatorial microtubule organizing center	GO_0000923	1	1	1	0	0
astral microtubule	GO_0000235	1	1	1	0	0
tubulin deacetylation	GO_0090042	1	0	1	0	0
tubulin complex biogenesis	GO_0072668	1	0	1	0	0
tubulin complex assembly	GO_0007021	1	0	1	0	0
regulation of plus-end-directed microtubule motor activity	GO_2000580	1	0	1	0	0
regulation of phragmoplast microtubule organization	GO_2000694	1	0	1	0	0
regulation of minus-end-directed microtubule motor activity	GO_2000577	1	0	1	0	0
regulation of microtubule-based process	GO_0032886	1	0	1	0	0
regulation of microtubule-based movement	GO_0060632	1	0	1	0	0
regulation of microtubule polymerization or depolymerization	GO_0031110	1	0	1	0	0
regulation of microtubule polymerization	GO_0031113	1	0	1	0	0
regulation of microtubule nucleation by Ran protein signal transduction	GO_0090226	1	0	1	0	0
regulation of microtubule nucleation	GO_0010968	1	0	1	0	0
regulation of microtubule motor activity	GO_2000574	1	0	1	0	0
regulation of microtubule depolymerization	GO_0031114	1	0	1	0	0
regulation of microtubule cytoskeleton organization	GO_0070507	1	0	1	0	0
regulation of intermediate filament polymerization or depolymerization	GO_0045108	1	0	1	0	0
regulation of intermediate filament polymerization	GO_0030839	1	0	1	0	0
regulation of intermediate filament depolymerization	GO_0030842	1	0	1	0	0
regulation of establishment of actomyosin contractile ring localization	GO_0071342	1	0	1	0	0
regulation of dynamin polymerization involved in membrane fission	GO_0003375	1	0	1	0	0
regulation of cytoskeleton polarization involved in growth plate cartilage chondrocyte division	GO_0003427	1	0	1	0	0
regulation of cytoskeleton organization	GO_0051493	1	0	1	0	0
regulation of cytoskeleton	GO_0007011	1	0	1	1	1
regulation of cytoplasmic microtubule depolymerization	GO_0010937	1	0	1	0	0
regulation of attachment of spindle microtubules to kinetochore	GO_0051988	1	0	1	0	0
regulation of actomyosin contractile ring contraction	GO_0031991	1	0	1	0	0
regulation of actin polymerization or depolymerization	GO_0008064	1	0	1	0	0
regulation of actin phosphorylation	GO_0043538	1	0	1	0	0
regulation of actin nucleation	GO_0051125	1	0	1	0	0
regulation of actin filament-based process	GO_0032970	1	0	1	0	0
regulation of actin filament polymerization	GO_0030833	1	0	1	0	0
regulation of actin filament length	GO_0030832	1	0	1	0	0
regulation of actin filament depolymerization	GO_0030834	1	0	1	0	0
regulation of actin filament bundle assembly	GO_0032231	1	0	1	0	0
regulation of actin cytoskeleton reorganization	GO_2000249	1	0	1	0	0
regulation of actin cytoskeleton organization	GO_0032956	1	0	1	0	0
protein localization to microtubule cytoskeleton	GO_0072698	1	0	1	0	0
protein localization to microtubule	GO_0035372	1	0	1	0	0
protein localization to cortical microtubule cytoskeleton	GO_0072699	1	0	1	0	0
positive regulation of plus-end-directed microtubule motor activity	GO_2000582	1	0	1	0	0
positive regulation of minus-end-directed microtubule motor activity	GO_2000579	1	0	1	0	0
positive regulation of microtubule polymerization or depolymerization	GO_0031112	1	0	1	0	0
positive regulation of microtubule polymerization	GO_0031116	1	0	1	0	0
positive regulation of microtubule nucleation	GO_0090063	1	0	1	0	0
positive regulation of microtubule motor activity	GO_2000576	1	0	1	0	0
positive regulation of microtubule depolymerization	GO_0031117	1	0	1	0	0
positive regulation of intermediate filament polymerization and/or depolymerization	GO_0045826	1	0	1	1	1
positive regulation of intermediate filament polymerization	GO_0030841	1	0	1	0	0
positive regulation of intermediate filament depolymerization	GO_0030844	1	0	1	0	0
positive regulation of attachment of spindle microtubules to kinetochore	GO_0051987	1	0	1	0	0
polarisome	GO_0000133	1	0	1	0	0
plus-end-directed vesicle transport along microtubule	GO_0072383	1	0	1	0	0
plus-end-directed organelle transport along microtubule	GO_0072386	1	0	1	0	0
plus-end specific microtubule depolymerization	GO_0070462	1	0	1	0	0
plus-end directed microtubule sliding	GO_0031535	1	0	1	0	0
phragmoplast microtubule organization	GO_0080175	1	0	1	0	0
