name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of defense response to virus by virus	GO_0050690	1	1	1	0	0
regulation of defense response to virus by host	GO_0050691	1	1	1	0	0
regulation of defense response to virus	GO_0050688	1	1	1	0	0
regulation of defense response to insect	GO_2000068	1	1	1	0	0
regulation of defense response to fungus, incompatible interaction	GO_2000072	1	1	1	0	0
regulation of defense response to fungus	GO_1900150	1	1	1	0	0
regulation of defense response to bacterium	GO_1900424	1	1	1	0	0
regulation of defense response by callose deposition	GO_2000071	1	1	1	0	0
regulation of defense response	GO_0031347	1	1	1	0	0
wound healing involved in inflammatory response	GO_0002246	0	1	1	0	0
virus induced gene silencing	GO_0009616	0	1	1	0	0
viral-induced premature senescence	GO_0090401	0	1	1	0	0
viral triggering of virus induced gene silencing	GO_0060150	0	1	1	0	0
viral mRNA cap methylation	GO_0039699	0	1	1	0	0
viral gene silencing in virus induced gene silencing	GO_0060145	0	1	1	0	0
vasodilation involved in acute inflammatory response	GO_0002527	0	1	1	0	0
type IV hypersensitivity	GO_0001806	0	1	1	0	0
type IIb hypersensitivity	GO_0001795	0	1	1	0	0
type IIa hypersensitivity	GO_0001794	0	1	1	0	0
type III interferon signaling pathway	GO_0038196	0	1	1	0	0
type III interferon receptor activity	GO_0034348	0	1	1	0	0
type III hypersensitivity	GO_0001802	0	1	1	0	0
type II hypersensitivity	GO_0002445	0	1	1	0	0
type I interferon signaling pathway	GO_0060337	0	1	1	0	0
type I interferon receptor activity	GO_0004905	0	1	1	0	0
type I hypersensitivity mediated by mast cells	GO_0002558	0	1	1	0	0
type I hypersensitivity mediated by basophils	GO_0002559	0	1	1	0	0
type I hypersensitivity	GO_0016068	0	1	1	0	0
toll-like receptor signaling pathway	GO_0002224	0	1	1	0	0
toll-like receptor TLR6:TLR2 signaling pathway	GO_0038124	0	1	1	0	0
toll-like receptor TLR1:TLR2 signaling pathway	GO_0038123	0	1	1	0	0
toll-like receptor 9 signaling pathway	GO_0034162	0	1	1	0	0
toll-like receptor 8 signaling pathway	GO_0034158	0	1	1	0	0
toll-like receptor 7 signaling pathway	GO_0034154	0	1	1	0	0
toll-like receptor 6 signaling pathway	GO_0034150	0	1	1	0	0
toll-like receptor 5 signaling pathway	GO_0034146	0	1	1	0	0
toll-like receptor 4 signaling pathway	GO_0034142	0	1	1	0	0
toll-like receptor 3 signaling pathway	GO_0034138	0	1	1	0	0
toll-like receptor 21 signaling pathway	GO_0035682	0	1	1	0	0
toll-like receptor 2 signaling pathway	GO_0034134	0	1	1	0	0
toll-like receptor 15 signaling pathway	GO_0035681	0	1	1	0	0
toll-like receptor 13 signaling pathway	GO_0034178	0	1	1	0	0
toll-like receptor 12 signaling pathway	GO_0034174	0	1	1	0	0
toll-like receptor 11 signaling pathway	GO_0034170	0	1	1	0	0
toll-like receptor 10 signaling pathway	GO_0034166	0	1	1	0	0
toll-like receptor 1 signaling pathway	GO_0034130	0	1	1	0	0
tissue kallikrein-kinin cascade	GO_0002255	0	1	1	0	0
systemic acquired resistance, salicylic acid mediated signaling pathway	GO_0009862	0	1	1	0	0
systemic acquired resistance	GO_0009627	0	1	1	0	0
susceptibility to natural killer cell mediated cytotoxicity	GO_0042271	0	1	1	0	0
suppression of defense response of other organism involved in symbiotic interaction	GO_0052261	0	1	1	0	0
suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway	GO_0039537	0	1	1	0	0
suppression by virus of host type I interferon-mediated signaling pathway	GO_0039502	0	1	1	0	0
suppression by virus of host type I interferon production	GO_0039501	0	1	1	0	0
suppression by virus of host toll-like receptor signaling pathway	GO_0039722	0	1	1	0	0
suppression by virus of host tapasin activity	GO_0039591	0	1	1	0	0
suppression by virus of host natural killer cell activation	GO_0039672	0	1	1	0	0
suppression by virus of host intracellular interferon activity	GO_0046774	0	1	1	0	0
suppression by virus of host innate immune response	GO_0039503	0	1	1	0	0
suppression by virus of host cytokine production	GO_0046775	0	1	1	0	0
suppression by virus of host complement activation	GO_0039573	0	1	1	0	0
suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II	GO_0039505	0	1	1	0	0
suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I	GO_0046776	0	1	1	0	0
suppression by virus of host antigen processing and presentation	GO_0039588	0	1	1	0	0
suppression by virus of host adaptive immune response	GO_0039504	0	1	1	0	0
suppression by virus of host TYK2 activity by negative regulation of TYK2 tyrosine phosphorylation	GO_0039575	0	1	1	0	0
suppression by virus of host TYK2 activity	GO_0039574	0	1	1	0	0
suppression by virus of host TBK1 activity	GO_0039723	0	1	1	0	0
suppression by virus of host TAP complex	GO_0039589	0	1	1	0	0
suppression by virus of host RIG-I via RIG-I binding	GO_0039541	0	1	1	0	0
suppression by virus of host RIG-I signaling pathway	GO_0039538	0	1	1	0	0
suppression by virus of host RIG-I activity by viral RNA 5' processing	GO_0039543	0	1	1	0	0
suppression by virus of host RIG-I activity by RIG-I proteolysis	GO_0039544	0	1	1	0	0
suppression by virus of host RIG-I activity	GO_0039540	0	1	1	0	0
suppression by virus of host RIG-I K63-linked ubiquitination	GO_0039542	0	1	1	0	0
suppression by virus of host PKR activity via double-stranded RNA binding	GO_0039581	0	1	1	0	0
suppression by virus of host PKR activity by positive regulation of PKR nuclear localization	GO_0039582	0	1	1	0	0
suppression by virus of host PKR activity by positive regulation of PKR catabolic process	GO_0039583	0	1	1	0	0
suppression by virus of host PKR activity	GO_0039580	0	1	1	0	0
suppression by virus of host MDA-5 signaling pathway	GO_0039539	0	1	1	0	0
suppression by virus of host MDA-5 activity via MDA-5 binding	GO_0039555	0	1	1	0	0
suppression by virus of host MDA-5 activity	GO_0039554	0	1	1	0	0
suppression by virus of host MAVS activity by MAVS proteolysis	GO_0039546	0	1	1	0	0
suppression by virus of host MAVS activity	GO_0039545	0	1	1	0	0
suppression by virus of host ISG15 activity	GO_0039579	0	1	1	0	0
suppression by virus of host IRF9 activity by positive regulation of IRF9 localization to nucleus	GO_0039561	0	1	1	0	0
suppression by virus of host IRF9 activity	GO_0039560	0	1	1	0	0
suppression by virus of host IRF7 activity by positive regulation of IRF7 sumoylation	GO_0039558	0	1	1	0	0
suppression by virus of host IRF7 activity by positive regulation of IRF7 catabolic process	GO_0039559	0	1	1	0	0
suppression by virus of host IRF7 activity	GO_0039557	0	1	1	0	0
suppression by virus of host IRF3 activity by positive regulation of IRF3 catabolic process	GO_0039551	0	1	1	0	0
suppression by virus of host IRF3 activity by inhibition of IRF3 phosphorylation	GO_0039549	0	1	1	0	0
suppression by virus of host IRF3 activity by inhibition of DNA binding	GO_0039550	0	1	1	0	0
suppression by virus of host IRF3 activity	GO_0039548	0	1	1	0	0
suppression by virus of host IKBKE activity	GO_0039724	0	1	1	0	0
stimulatory killer cell immunoglobulin-like receptor signaling pathway	GO_0002222	0	1	1	0	0
stimulatory C-type lectin receptor signaling pathway	GO_0002223	0	1	1	0	0
serotonin secretion involved in inflammatory response	GO_0002442	0	1	1	0	0
serotonin secretion by platelet	GO_0002554	0	1	1	0	0
serotonin secretion by mast cell	GO_0002552	0	1	1	0	0
