name	ID	manual	auto	checked	blacklisted	is_obsolete
ectodermal digestive tract morphogenesis	GO_0048567	1	1	1	0	0
ectodermal digestive tract development	GO_0007439	1	1	1	0	0
digestive tract morphogenesis	GO_0048546	1	1	1	0	0
digestive tract development	GO_0048565	1	1	1	0	0
determination of digestive tract left/right asymmetry	GO_0071907	1	1	1	0	0
digestive tract mesoderm development	GO_0007502	1	0	1	0	0
digestive system development	GO_0055123	1	0	1	0	0
visceral mesoderm-endoderm interaction involved in midgut development	GO_0007495	0	1	0	0	0
ventral furrow formation	GO_0007370	0	1	0	0	0
transforming growth factor beta receptor signaling pathway involved in primitive streak formation	GO_0090010	0	1	0	0	0
transforming growth factor beta receptor signaling pathway involved in primary germ layer cell fate commitment	GO_0060797	0	1	0	0	0
transforming growth factor beta receptor signaling pathway involved in mesodermal cell fate specification	GO_0060798	0	1	0	0	0
transforming growth factor beta receptor signaling pathway involved in endodermal cell fate specification	GO_0060799	0	1	0	0	0
transforming growth factor beta receptor signaling pathway involved in axial mesodermal cell fate specification	GO_0060822	0	1	0	0	0
stomach neuroendocrine cell differentiation	GO_0061102	0	1	0	0	0
regulation of transforming growth factor beta receptor signaling pathway involved in primitive streak formation	GO_0090013	0	1	0	0	0
regulation of transcription involved in primary germ layer cell fate commitment	GO_0060796	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification	GO_0060807	0	1	0	0	0
regulation of stomach neuroendocrine cell differentiation	GO_0061105	0	1	0	0	0
regulation of paraxial mesodermal cell fate specification	GO_0048349	0	1	0	0	0
regulation of paraxial mesodermal cell fate determination	GO_0048345	0	1	0	0	0
regulation of mesodermal cell fate specification	GO_0042661	0	1	0	0	0
regulation of mesodermal cell fate determination	GO_0048334	0	1	0	0	0
regulation of lateral mesodermal cell fate specification	GO_0048378	0	1	0	0	0
regulation of lateral mesodermal cell fate determination	GO_0048374	0	1	0	0	0
regulation of intermediate mesodermal cell fate specification	GO_0048399	0	1	0	0	0
regulation of intermediate mesodermal cell fate determination	GO_0048395	0	1	0	0	0
regulation of gastrulation	GO_0010470	0	1	0	0	0
regulation of endodermal cell fate specification	GO_0042663	0	1	0	0	0
regulation of endodermal cell differentiation	GO_1903224	0	1	0	0	0
regulation of ectodermal cell fate specification	GO_0042665	0	1	0	0	0
regulation of cell-cell adhesion involved in gastrulation	GO_0070587	0	1	0	0	0
regulation of axial mesodermal cell fate specification	GO_0048328	0	1	0	0	0
regulation of axial mesodermal cell fate determination	GO_0048324	0	1	0	0	0
regulation of Wnt signaling pathway involved in digestive tract morphogenesis	GO_2000056	0	1	0	0	0
regulation of Malpighian tubule size	GO_0035298	0	1	0	0	0
regulation of Malpighian tubule diameter	GO_0035297	0	1	0	0	0
primitive streak formation	GO_0090009	0	1	0	0	0
posterior midgut invagination	GO_0007374	0	1	0	0	0
posterior midgut development	GO_0007497	0	1	0	0	0
post-embryonic hindgut morphogenesis	GO_0048620	0	1	0	0	0
post-embryonic foregut morphogenesis	GO_0048618	0	1	0	0	0
post-embryonic ectodermal digestive tract morphogenesis	GO_0048614	0	1	0	0	0
post-embryonic ectodermal digestive tract development	GO_0048612	0	1	0	0	0
post-embryonic digestive tract morphogenesis	GO_0048621	0	1	0	0	0
post-embryonic anterior midgut (ectodermal) morphogenesis	GO_0048616	0	1	0	0	0
positive regulation of paraxial mesodermal cell fate specification	GO_0048350	0	1	0	0	0
positive regulation of paraxial mesodermal cell fate determination	GO_0048346	0	1	0	0	0
positive regulation of mesodermal to mesenchymal transition involved in gastrulation	GO_0060808	0	1	0	0	0
positive regulation of mesodermal cell fate specification	GO_0048337	0	1	0	0	0
positive regulation of mesodermal cell fate determination	GO_0048336	0	1	0	0	0
positive regulation of lateral mesodermal cell fate specification	GO_0048379	0	1	0	0	0
positive regulation of lateral mesodermal cell fate determination	GO_0048376	0	1	0	0	0
positive regulation of intermediate mesodermal cell fate specification	GO_0048400	0	1	0	0	0
positive regulation of intermediate mesodermal cell fate determination	GO_0048397	0	1	0	0	0
positive regulation of gastrulation	GO_2000543	0	1	0	0	0
positive regulation of endodermal cell differentiation	GO_1903226	0	1	0	0	0
positive regulation of axial mesodermal cell fate specification	GO_0048330	0	1	0	0	0
positive regulation of axial mesodermal cell fate determination	GO_0048326	0	1	0	0	0
planar cell polarity pathway involved in gastrula mediolateral intercalation	GO_0060775	0	1	0	0	0
pharynx development	GO_0060465	0	1	0	0	0
pharyngeal muscle development	GO_0043282	0	1	0	0	0
paraxial mesodermal cell fate specification	GO_0048348	0	1	0	0	0
