name	ID	manual	auto	checked	blacklisted	is_obsolete
zygotic specification of dorsal/ventral axis	GO_0007352	1	1	1	0	0
zygotic determination of anterior/posterior axis, embryo	GO_0007354	1	1	1	0	0
zygote elongation	GO_0080159	1	1	1	0	0
zygote asymmetric cytokinesis in embryo sac	GO_0010069	1	1	1	0	0
ventral furrow formation	GO_0007370	1	1	1	0	0
trophoblast giant cell differentiation	GO_0060707	1	1	1	0	0
trophectodermal cellular morphogenesis	GO_0001831	1	1	1	0	0
trophectodermal cell proliferation	GO_0001834	1	1	1	0	0
trophectodermal cell fate commitment	GO_0001830	1	1	1	0	0
trophectodermal cell differentiation	GO_0001829	1	1	1	0	0
somatic embryogenesis	GO_0010262	1	1	1	0	0
regulation of mitotic cell cycle, embryonic	GO_0009794	1	1	1	0	0
regulation of intermediate mesodermal cell fate specification	GO_0048399	1	1	1	0	0
regulation of intermediate mesodermal cell fate determination	GO_0048395	1	1	1	0	0
regulation of embryonic development	GO_0045995	1	1	1	0	0
regulation of embryonic cell shape	GO_0016476	1	1	1	0	0
regulation of ectodermal cell fate specification	GO_0042665	1	1	1	0	0
regulation of cell proliferation involved in embryonic placenta development	GO_0060723	1	1	1	0	0
regulation of cell differentiation involved in embryonic placenta development	GO_0060800	1	1	1	0	0
posterior midgut invagination	GO_0007374	1	1	1	0	0
positive regulation of mitotic cell cycle, embryonic	GO_0045977	1	1	1	0	0
positive regulation of embryonic development	GO_0040019	1	1	1	0	0
planar cell polarity pathway involved in neural tube closure	GO_0090179	1	1	1	0	0
planar cell polarity pathway involved in gastrula mediolateral intercalation	GO_0060775	1	1	1	0	0
paraxial mesodermal cell fate specification	GO_0048348	1	1	1	0	0
paraxial mesodermal cell fate determination	GO_0048344	1	1	1	0	0
paraxial mesodermal cell fate commitment	GO_0048343	1	1	1	0	0
paraxial mesodermal cell differentiation	GO_0048342	1	1	1	0	0
paraxial mesoderm formation	GO_0048341	1	1	1	0	0
notochord regression	GO_0060032	1	1	1	0	0
notochord morphogenesis	GO_0048570	1	1	1	0	0
notochord formation	GO_0014028	1	1	1	0	0
notochord development	GO_0030903	1	1	1	0	0
notochord cell vacuolation	GO_0060036	1	1	1	0	0
notochord cell differentiation	GO_0060034	1	1	1	0	0
notochord cell development	GO_0060035	1	1	1	0	0
neural crest cell fate specification	GO_0014036	1	1	1	0	0
neural crest cell fate determination	GO_0014035	1	1	1	0	0
neural crest cell fate commitment	GO_0014034	1	1	1	0	0
negative regulation of mitotic cell cycle, embryonic	GO_0045976	1	1	1	0	0
negative regulation of gastrulation	GO_2000542	1	1	1	0	0
negative regulation of embryonic development	GO_0045992	1	1	1	0	0
negative regulation of cell differentiation involved in embryonic placenta development	GO_0060806	1	1	1	0	0
maternal determination of anterior/posterior axis, embryo	GO_0008358	1	1	1	0	0
maintenance of polarity of embryonic epithelium	GO_0042250	1	1	1	0	0
intermediate mesodermal cell fate specification	GO_0048398	1	1	1	0	0
intermediate mesodermal cell fate determination	GO_0048394	1	1	1	0	0
intermediate mesodermal cell fate commitment	GO_0048393	1	1	1	0	0
intermediate mesodermal cell differentiation	GO_0048392	1	1	1	0	0
intermediate mesoderm formation	GO_0048391	1	1	1	0	0
in utero embryonic development	GO_0001701	1	1	1	0	0
glycogen cell differentiation involved in embryonic placenta development	GO_0060709	1	1	1	0	0
establishment or maintenance of polarity of embryonic epithelium	GO_0016332	1	1	1	0	0
embryonic viscerocranium morphogenesis	GO_0048703	1	1	1	0	0
embryonic skeletal system morphogenesis	GO_0048704	1	1	1	0	0
embryonic skeletal system development	GO_0048706	1	1	1	0	0
embryonic skeletal limb joint morphogenesis	GO_0036023	1	1	1	0	0
embryonic skeletal joint morphogenesis	GO_0060272	1	1	1	0	0
embryonic skeletal joint development	GO_0072498	1	1	1	0	0
embryonic shoot morphogenesis	GO_0010064	1	1	1	0	0
embryonic root morphogenesis	GO_0010086	1	1	1	0	0
embryonic retina morphogenesis in camera-type eye	GO_0060059	1	1	1	0	0
embryonic plasmatocyte differentiation	GO_0035164	1	1	1	0	0
embryonic placenta morphogenesis	GO_0060669	1	1	1	0	0
embryonic placenta development	GO_0001892	1	1	1	0	0
embryonic pelvic fin morphogenesis	GO_0035119	1	1	1	0	0
embryonic pectoral fin morphogenesis	GO_0035118	1	1	1	0	0
embryonic pattern specification	GO_0009880	1	1	1	0	0
embryonic organ morphogenesis	GO_0048562	1	1	1	0	0
embryonic organ development	GO_0048568	1	1	1	0	0
