name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of endocrine process	GO_0044060	1	1	1	0	0
regulation of endocrocin biosynthetic process	GO_1900667	1	0	1	0	0
vasodilation by angiotensin involved in regulation of systemic arterial blood pressure	GO_0002033	0	1	1	0	0
vasoconstriction by vasopressin involved in systemic arterial blood pressure control	GO_0002006	0	1	1	0	0
testosterone secretion	GO_0035936	0	1	1	0	0
steroid hormone secretion	GO_0035929	0	1	1	0	0
secretion of vasopressin involved in fast regulation of systemic arterial blood pressure	GO_0002004	0	1	1	0	0
renin-angiotensin regulation of aldosterone production	GO_0002018	0	1	1	0	0
renin secretion into blood stream	GO_0002001	0	1	1	0	0
renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure	GO_0001999	0	1	1	0	0
regulation of testosterone secretion	GO_2000843	0	1	1	0	0
regulation of systemic arterial blood pressure by vasopressin	GO_0001992	0	1	1	0	0
regulation of systemic arterial blood pressure by renin-angiotensin	GO_0003081	0	1	1	0	0
regulation of systemic arterial blood pressure by local renal renin-angiotensin	GO_0003086	0	1	1	0	0
regulation of systemic arterial blood pressure by hormone	GO_0001990	0	1	1	0	0
regulation of systemic arterial blood pressure by endothelin	GO_0003100	0	1	1	0	0
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	GO_0001991	0	1	1	0	0
regulation of systemic arterial blood pressure by circulatory epinephrine-norepinephrine	GO_0003101	0	1	1	0	0
regulation of systemic arterial blood pressure by atrial natriuretic peptide	GO_0003050	0	1	1	0	0
regulation of steroid hormone secretion	GO_2000831	0	1	1	0	0
regulation of renin secretion into blood stream	GO_1900133	0	1	1	0	0
regulation of renal output by angiotensin	GO_0002019	0	1	1	0	0
regulation of progesterone secretion	GO_2000870	0	1	1	0	0
regulation of parathyroid hormone secretion	GO_2000828	0	1	1	0	0
regulation of mineralocorticoid secretion	GO_2000855	0	1	1	0	0
regulation of luteinizing hormone secretion	GO_0033684	0	1	1	0	0
regulation of juvenile hormone secretion	GO_0007558	0	1	1	0	0
regulation of inhibin secretion	GO_0032338	0	1	1	0	0
regulation of gonadotropin secretion	GO_0032276	0	1	1	0	0
regulation of glucocorticoid secretion	GO_2000849	0	1	1	0	0
regulation of follicle-stimulating hormone secretion	GO_0046880	0	1	1	0	0
regulation of estrone secretion	GO_2000867	0	1	1	0	0
regulation of estrogen secretion	GO_2000861	0	1	1	0	0
regulation of estradiol secretion	GO_2000864	0	1	1	0	0
regulation of ecdysteroid secretion	GO_0007555	0	1	1	0	0
regulation of dehydroepiandrosterone secretion	GO_2000840	0	1	1	0	0
regulation of cortisol secretion	GO_0051462	0	1	1	0	0
regulation of corticotropin secretion	GO_0051459	0	1	1	0	0
regulation of corticosterone secretion	GO_2000852	0	1	1	0	0
regulation of corticosteroid hormone secretion	GO_2000846	0	1	1	0	0
regulation of blood volume by renin-angiotensin	GO_0002016	0	1	1	0	0
regulation of blood volume by renal aldosterone	GO_0002017	0	1	1	0	0
regulation of blood vessel size by renin-angiotensin	GO_0002034	0	1	1	0	0
regulation of angiotensin levels in blood	GO_0002002	0	1	1	0	0
regulation of androstenedione secretion	GO_2000837	0	1	1	0	0
regulation of androgen secretion	GO_2000834	0	1	1	0	0
regulation of aldosterone secretion	GO_2000858	0	1	1	0	0
