name	ID	manual	auto	checked	blacklisted	is_obsolete
zymogen inhibition	GO_0097341	1	0	1	0	0
zymogen granule exocytosis	GO_0070625	1	0	1	0	0
zymogen activation in other organism	GO_0044541	1	0	1	0	0
zymogen activation	GO_0031638	1	0	1	0	0
zinc-exporting ATPase activity	GO_0016463	0	1	0	0	0
zinc D-Ala-D-Ala carboxypeptidase activity	GO_0009046	0	1	0	0	0
zeinoxanthin epsilon hydroxylase activity	GO_0009974	0	1	0	0	0
zeaxanthin epoxidase activity	GO_0052662	0	1	0	0	0
zeaxanthin epoxidase [overall] activity	GO_0009540	0	1	0	0	0
zeatin reductase activity	GO_0050472	0	1	0	0	0
zeatin O-beta-D-xylosyltransferase activity	GO_0050404	0	1	0	0	0
zeatin 9-aminocarboxyethyltransferase activity	GO_0050447	0	1	0	0	0
xylulokinase activity	GO_0004856	0	1	0	0	0
xylosyltransferase activity	GO_0042285	0	1	0	0	0
xylosylprotein 4-beta-galactosyltransferase activity	GO_0046525	0	1	0	0	0
xylose isomerase activity	GO_0009045	0	1	0	0	0
xylono-1,4-lactonase activity	GO_0050402	0	1	0	0	0
xylonate dehydratase activity	GO_0050401	0	1	0	0	0
xyloglucan:xyloglucosyl transferase activity	GO_0016762	0	1	0	0	0
xyloglucan-specific exo-beta-1,4-glucanase activity	GO_0033950	0	1	0	0	0
xyloglucan-specific endo-beta-1,4-glucanase activity	GO_0033946	0	1	0	0	0
xyloglucan endotransglucosylase activity	GO_0080039	0	1	0	0	0
xyloglucan 6-xylosyltransferase activity	GO_0033843	0	1	0	0	0
xyloglucan 4-glucosyltransferase activity	GO_0033826	0	1	0	0	0
xyloglucan 1,6-alpha-xylosidase activity	GO_0080176	0	1	0	0	0
xylitol oxidase activity	GO_0050582	0	1	0	0	0
xylitol kinase activity	GO_0050400	0	1	0	0	0
xylene monooxygenase activity	GO_0018639	0	1	0	0	0
xylanase activity	GO_0097599	0	1	0	0	0
xylan endo-1,3-beta-xylosidase activity	GO_0033905	0	1	0	0	0
xylan alpha-1,2-glucuronosidase activity	GO_0033939	0	1	0	0	0
xylan O-acetyltransferase activity	GO_1990538	0	1	0	0	0
xylan 1,4-beta-xylosidase activity	GO_0009044	0	1	0	0	0
xylan 1,3-beta-xylosidase activity	GO_0033914	0	1	0	0	0
xenobiotic-transporting ATPase activity	GO_0008559	0	1	0	0	0
xanthoxin dehydrogenase activity	GO_0010301	0	1	0	0	0
xanthosine nucleotidase activity	GO_0072585	0	1	0	0	0
xanthommatin reductase activity	GO_0050399	0	1	0	0	0
xanthine phosphoribosyltransferase activity	GO_0000310	0	1	0	0	0
xanthine oxidase activity	GO_0004855	0	1	0	0	0
xanthine hydrolase activity	GO_0043836	0	1	0	0	0
xanthine dehydrogenase activity	GO_0004854	0	1	0	0	0
xanthine DNA N-glycosylase activity	GO_0097508	0	1	0	0	0
xanthan lyase activity	GO_0047492	0	1	0	0	0
wax-ester hydrolase activity	GO_0050398	0	1	0	0	0
vomilenine reductase activity	GO_0050624	0	1	0	0	0
vomilenine glucosyltransferase activity	GO_0050506	0	1	0	0	0
vomifoliol 4'-dehydrogenase activity	GO_0050396	0	1	0	0	0
vitexin beta-glucosyltransferase activity	GO_0050395	0	1	0	0	0
vitexin 2''-O-rhamnoside 7-O-methyltransferase activity	GO_0033801	0	1	0	0	0
vitamin-K-epoxide reductase (warfarin-sensitive) activity	GO_0047057	0	1	0	0	0
vitamin-K-epoxide reductase (warfarin-insensitive) activity	GO_0047058	0	1	0	0	0
vitamin D3 25-hydroxylase activity	GO_0030343	0	1	0	0	0
vitamin D 25-hydroxylase activity	GO_0070643	0	1	0	0	0
vitamin D 24-hydroxylase activity	GO_0070576	0	1	0	0	0
