name	ID	manual	auto	checked	blacklisted	is_obsolete
long-chain fatty acid metabolic process	GO_0001676	1	1	1	0	0
long-chain fatty acid catabolic process	GO_0042758	1	1	1	0	0
long-chain fatty acid biosynthetic process	GO_0042759	1	1	1	0	0
lipid phosphorylation	GO_0046834	1	1	1	0	0
lipid oxidation	GO_0034440	1	1	1	0	0
lipid modification	GO_0030258	1	1	1	0	0
lipid metabolic process	GO_0006629	1	1	1	0	0
lipid hydroxylation	GO_0002933	1	1	1	0	0
lipid glycosylation	GO_0030259	1	1	1	0	0
lipid catabolic process	GO_0016042	1	1	1	0	0
lipid biosynthetic process	GO_0008610	1	1	1	0	0
lipid A metabolic process	GO_0046493	1	1	1	0	0
lipid A biosynthetic process	GO_0009245	1	1	1	0	0
cellular lipid metabolic process	GO_0044255	1	1	1	0	0
cellular lipid catabolic process	GO_0044242	1	1	1	0	0
regulation of intracellular lipid transport	GO_0032377	1	0	1	0	0
long-chain fatty-acyl-CoA metabolic process	GO_0035336	1	0	1	0	0
long-chain fatty-acyl-CoA catabolic process	GO_0036116	1	0	1	0	0
long-chain fatty-acyl-CoA biosynthetic process	GO_0035338	1	0	1	0	0
long-chain fatty acid transport	GO_0015909	1	0	1	0	0
long-chain fatty acid import	GO_0044539	1	0	1	0	0
lipid-linked peptidoglycan transport	GO_0015836	1	0	1	0	0
lipid tube assembly involved in organelle fusion	GO_0060989	1	0	1	0	0
lipid tube assembly involved in organelle fission	GO_0060990	1	0	1	0	0
lipid tube assembly involved in cytokinesis	GO_0060991	1	0	1	1	1
lipid tube assembly	GO_0060988	1	0	1	0	0
lipid transport involved in lipid storage	GO_0010877	1	0	1	0	0
lipid transport	GO_0006869	1	0	1	0	0
lipid translocation	GO_0034204	1	0	1	0	0
lipid storage	GO_0019915	1	0	1	0	0
lipid particle transport along microtubule	GO_0031887	1	0	1	0	0
lipid particle organization	GO_0034389	1	0	1	0	0
lipid localization	GO_0010876	1	0	1	0	0
lipid homeostasis	GO_0055088	1	0	1	0	0
lipid digestion	GO_0044241	1	0	1	0	0
lipid binding	GO_0006630	1	0	1	1	1
lipid antigen transport	GO_0002494	1	0	1	0	0
lipid antigen assembly with MHC class Ib protein complex	GO_0002493	1	0	1	0	0
lipid X metabolic process	GO_2001289	1	0	1	0	0
zymosterol metabolic process	GO_0036196	0	1	1	0	0
zymosterol biosynthetic process	GO_0036197	0	1	1	0	0
zeaxanthin metabolic process	GO_1901825	0	1	1	0	0
zeaxanthin catabolic process	GO_1901826	0	1	1	0	0
zeaxanthin bis(beta-D-glucoside) metabolic process	GO_1901828	0	1	1	0	0
zeaxanthin bis(beta-D-glucoside) catabolic process	GO_1901829	0	1	1	0	0
zeaxanthin bis(beta-D-glucoside) biosynthetic process	GO_1901830	0	1	1	0	0
zeaxanthin biosynthetic process	GO_1901827	0	1	1	0	0
xanthophyll metabolic process	GO_0016122	0	1	1	0	0
xanthophyll cycle	GO_0010028	0	1	1	0	0
xanthophyll catabolic process	GO_0016124	0	1	1	0	0
xanthophyll biosynthetic process	GO_0016123	0	1	1	0	0
vitamin D5 metabolic process	GO_0070642	0	1	1	0	0
