name	ID	manual	auto	checked	blacklisted
very long-chain fatty acid metabolic process	GO_0000038	1	1	1	0
very long-chain fatty acid catabolic process	GO_0042760	1	1	1	0
very long-chain fatty acid biosynthetic process	GO_0042761	1	1	1	0
unsaturated fatty acid metabolic process	GO_0033559	1	1	1	0
unsaturated fatty acid biosynthetic process	GO_0006636	1	1	1	0
short-chain fatty acid metabolic process	GO_0046459	1	1	1	0
short-chain fatty acid catabolic process	GO_0019626	1	1	1	0
short-chain fatty acid biosynthetic process	GO_0051790	1	1	1	0
methyl-branched fatty acid metabolic process	GO_0097089	1	1	1	0
medium-chain fatty acid metabolic process	GO_0051791	1	1	1	0
medium-chain fatty acid catabolic process	GO_0051793	1	1	1	0
medium-chain fatty acid biosynthetic process	GO_0051792	1	1	1	0
fatty acid oxidation	GO_0019395	1	1	1	0
fatty acid omega-oxidation	GO_0010430	1	1	1	0
fatty acid metabolic process	GO_0006631	1	1	1	0
fatty acid elongation, unsaturated fatty acid	GO_0019368	1	1	1	0
fatty acid elongation, saturated fatty acid	GO_0019367	1	1	1	0
fatty acid elongation, polyunsaturated fatty acid	GO_0034626	1	1	1	0
fatty acid elongation, monounsaturated fatty acid	GO_0034625	1	1	1	0
fatty acid elongation	GO_0030497	1	1	1	0
fatty acid catabolic process	GO_0009062	1	1	1	0
fatty acid biosynthetic process	GO_0006633	1	1	1	0
fatty acid beta-oxidation, unsaturated, odd number	GO_0033541	1	1	1	0
fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway	GO_0033543	1	1	1	0
fatty acid beta-oxidation, unsaturated, even number, epimerase pathway	GO_0033544	1	1	1	0
fatty acid beta-oxidation, unsaturated, even number	GO_0033542	1	1	1	0
fatty acid beta-oxidation using acyl-CoA oxidase	GO_0033540	1	1	1	0
fatty acid beta-oxidation using acyl-CoA dehydrogenase	GO_0033539	1	1	1	0
fatty acid beta-oxidation	GO_0006635	1	1	1	0
fatty acid alpha-oxidation	GO_0001561	1	1	1	0
very-low-density lipoprotein particle remodeling	GO_0034372	1	0	1	0
