name	ID	manual	auto	checked	blacklisted
forebrain ventricular zone progenitor cell division	GO_0021869	1	1	1	0
forebrain regionalization	GO_0021871	1	1	1	0
forebrain neuron fate commitment	GO_0021877	1	1	1	0
forebrain neuron differentiation	GO_0021879	1	1	1	0
forebrain neuron development	GO_0021884	1	1	1	0
forebrain neuroblast division	GO_0021873	1	1	1	0
forebrain neuroblast differentiation	GO_0021863	1	1	1	0
forebrain morphogenesis	GO_0048853	1	1	1	0
forebrain generation of neurons	GO_0021872	1	1	1	0
forebrain dorsal/ventral pattern formation	GO_0021798	1	1	1	0
forebrain development	GO_0030900	1	1	1	0
forebrain-midbrain boundary formation	GO_0021905	1	0	1	0
forebrain induction by the anterior neural ridge	GO_0022000	1	0	1	0
ventricular zone neuroblast division	GO_0021847	0	1	0	0
ventricular zone cell-producing asymmetric radial glial cell division in forebrain	GO_0021868	0	1	0	0
ventricular zone cell fate commitment	GO_0021900	0	1	0	0
thyroid-stimulating hormone-secreting cell differentiation	GO_0060129	0	1	0	0
thyroid-stimulating hormone-secreting cell development	GO_0060130	0	1	0	0
thalamus development	GO_0021794	0	1	0	0
telencephalon regionalization	GO_0021978	0	1	0	0
telencephalon oligodendrocyte cell migration	GO_0022032	0	1	0	0
telencephalon microglial cell migration	GO_0022033	0	1	0	0
telencephalon glial cell migration	GO_0022030	0	1	0	0
telencephalon development	GO_0021537	0	1	0	0
telencephalon cell migration	GO_0022029	0	1	0	0
telencephalon astrocyte cell migration	GO_0022031	0	1	0	0
tangential migration from the subventricular zone to the olfactory bulb	GO_0022028	0	1	0	0
symmetric radial glial cell division in forebrain	GO_0021865	0	1	0	0
superior temporal gyrus development	GO_0071109	0	1	0	0
subthalamus development	GO_0021539	0	1	0	0
subthalamic nucleus development	GO_0021763	0	1	0	0
substrate-independent telencephalic tangential migration	GO_0021826	0	1	0	0
substrate-independent telencephalic tangential interneuron migration	GO_0021843	0	1	0	0
substrate-dependent cerebral cortex tangential migration	GO_0021825	0	1	0	0
subpallium radially oriented migration	GO_0021981	0	1	0	0
subpallium neuron fate commitment	GO_0060163	0	1	0	0
subpallium glioblast cell division	GO_0021850	0	1	0	0
subpallium development	GO_0021544	0	1	0	0
subpallium cell proliferation in forebrain	GO_0022012	0	1	0	0
subpallium cell migration	GO_0021980	0	1	0	0
striatum development	GO_0021756	0	1	0	0
striatal medium spiny neuron differentiation	GO_0021773	0	1	0	0
somatotropin secreting cell differentiation	GO_0060126	0	1	0	0
somatotropin secreting cell development	GO_0060133	0	1	0	0
somal translocation	GO_0021802	0	1	0	0
septal cell proliferation	GO_0022022	0	1	0	0
regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment	GO_0021882	0	1	0	0
regulation of timing of subpallium neuron differentiation	GO_0060165	0	1	0	0
regulation of forebrain neuron differentiation	GO_2000977	0	1	0	0
radial glial cell fate commitment in forebrain	GO_0022023	0	1	0	0
radial glial cell division in subpallium	GO_0022014	0	1	0	0
radial glial cell division in pallium	GO_0022015	0	1	0	0
radial glial cell division in forebrain	GO_0021864	0	1	0	0
pyramidal neuron migration	GO_0021852	0	1	0	0
pyramidal neuron development	GO_0021860	0	1	0	0
putamen development	GO_0021758	0	1	0	0
prolactin secreting cell differentiation	GO_0060127	0	1	0	0
prolactin secreting cell development	GO_0060132	0	1	0	0
postnatal olfactory bulb interneuron migration	GO_0021827	0	1	0	0
positive regulation of forebrain neuron differentiation	GO_2000979	0	1	0	0
pituitary gland development	GO_0021983	0	1	0	0
pineal gland development	GO_0021982	0	1	0	0
pial surface process extension	GO_0021803	0	1	0	0
parahippocampal gyrus development	GO_0021770	0	1	0	0
pallium glioblast division	GO_0022016	0	1	0	0
pallium development	GO_0021543	0	1	0	0
pallium cell proliferation in forebrain	GO_0022013	0	1	0	0
orbitofrontal cortex development	GO_0021769	0	1	0	0
oligodendrocyte cell migration from the subpallium to the cortex	GO_0021829	0	1	0	0
olfactory lobe development	GO_0021988	0	1	0	0
olfactory cortex development	GO_0021989	0	1	0	0
olfactory bulb tufted cell development	GO_0061449	0	1	0	0
olfactory bulb mitral cell layer development	GO_0061034	0	1	0	0
olfactory bulb interneuron fate commitment	GO_0021890	0	1	0	0
olfactory bulb interneuron differentiation	GO_0021889	0	1	0	0
olfactory bulb interneuron development	GO_0021891	0	1	0	0
olfactory bulb development	GO_0021772	0	1	0	0
nucleus accumbens development	GO_0021768	0	1	0	0
nucleokinesis involved in cell motility in cerebral cortex radial glia guided migration	GO_0021817	0	1	0	0
neurotrophic factor signaling initiating cell movement, involved in cerebral cortex radial glia guided migration	GO_0021809	0	1	0	0
neurotransmitter-mediated guidance of interneurons involved in substrate-independent cerebral cortex tangential migration	GO_0021845	0	1	0	0
neurotransmitter signaling initiating cell movement, involved in cerebral cortex radial glia guided migration	GO_0021810	0	1	0	0
neuronal-glial interaction involved in cerebral cortex radial glia guided migration	GO_0021812	0	1	0	0
neuron-producing asymmetric radial glial cell division in forebrain	GO_0021867	0	1	0	0
neurohypophysis morphogenesis	GO_0048848	0	1	0	0
neurohypophysis formation	GO_0048849	0	1	0	0
neurohypophysis development	GO_0021985	0	1	0	0
neuroblast division in subventricular zone	GO_0021849	0	1	0	0
neuroblast division in subpallium	GO_0021848	0	1	0	0
neuroblast division in pallium	GO_0022017	0	1	0	0
neuroblast division in dorsal lateral ganglionic eminence	GO_0021851	0	1	0	0
negative regulation of forebrain neuron differentiation	GO_2000978	0	1	0	0
negative regulation of cell-glial cell adhesion involved in cerebral cortex lamination	GO_0021821	0	1	0	0
negative regulation of cell motility involved in cerebral cortex radial glia guided migration	GO_0021822	0	1	0	0
negative regulation of cell adhesion in ventricular zone	GO_0021804	0	1	0	0
motogenic signaling involved in postnatal olfactory bulb interneuron migration	GO_0021837	0	1	0	0
motogenic signaling involved in interneuron migration from the subpallium to the cortex	GO_0021838	0	1	0	0
motogenic signaling initiating cell movement in cerebral cortex	GO_0021807	0	1	0	0
modulation of the microfilament cytoskeleton involved in cell locomotion in cerebral cortex radial glia guided migration	GO_0021818	0	1	0	0
modulation of microtubule cytoskeleton involved in cerebral cortex radial glia guided migration	GO_0021815	0	1	0	0
