name	ID	manual	auto	checked	blacklisted	is_obsolete
ascospore-type prospore assembly	GO_0031321	1	1	1	0	0
ascospore wall biogenesis	GO_0070591	1	1	1	0	0
ascospore wall assembly	GO_0030476	1	1	1	0	0
ascospore formation	GO_0030437	1	1	1	0	0
cellular bud neck septin structure	GO_0000399	1	0	1	0	0
ascus development	GO_0075317	1	0	1	0	0
ascospore-type prospore membrane assembly	GO_0032120	1	0	1	0	0
ascospore wall chitin metabolic process	GO_0034218	1	0	1	0	0
ascospore wall chitin catabolic process	GO_0034232	1	0	1	0	0
ascospore wall chitin biosynthetic process	GO_0034217	1	0	1	0	0
ascospore release from ascus	GO_0071998	1	0	1	0	0
yeast-form cell wall	GO_0030445	0	1	0	0	0
sporocarp development involved in sexual reproduction	GO_0000909	0	1	0	0	0
sporocarp development involved in asexual reproduction	GO_0000905	0	1	0	0	0
sporocarp development	GO_0030584	0	1	0	0	0
spindle pole body organization	GO_0051300	0	1	0	0	0
spindle pole body localization to nuclear envelope	GO_0071789	0	1	0	0	0
spindle pole body localization	GO_0070631	0	1	0	0	0
spindle pole body duplication	GO_0030474	0	1	0	0	0
spindle pole body	GO_0005816	0	1	0	0	0
sclerotium development	GO_1990045	0	1	0	0	0
response to pheromone involved in conjugation with cellular fusion	GO_0000749	0	1	0	0	0
regulation of zygospore formation	GO_0075298	0	1	0	0	0
regulation of sexual sporulation resulting in formation of a cellular spore	GO_0043940	0	1	0	0	0
regulation of sexual sporulation	GO_0034306	0	1	0	0	0
regulation of oospore formation	GO_0075244	0	1	0	0	0
regulation of basidiospore formation	GO_0075302	0	1	0	0	0
regulation of ascospore-type prospore membrane assembly	GO_1903023	0	1	0	0	0
regulation of ascospore wall chitin biosynthetic process	GO_0034223	0	1	0	0	0
regulation of ascospore wall beta-glucan biosynthetic process	GO_0060622	0	1	0	0	0
regulation of ascospore wall (1->3)-beta-D-glucan biosynthetic process	GO_0060624	0	1	0	0	0
regulation of ascospore formation	GO_0034307	0	1	0	0	0
prospore membrane spindle pole body attachment site	GO_0070057	0	1	0	0	0
prospore membrane	GO_0005628	0	1	0	0	0
positive regulation of zygospore formation	GO_0075299	0	1	0	0	0
positive regulation of sexual sporulation resulting in formation of a cellular spore	GO_0043941	0	1	0	0	0
positive regulation of oospore formation	GO_0075245	0	1	0	0	0
positive regulation of basidiospore formation	GO_0075303	0	1	0	0	0
positive regulation of ascospore-type prospore membrane assembly	GO_1903024	0	1	0	0	0
positive regulation of ascospore formation	GO_0075296	0	1	0	0	0
pheromone-dependent signal transduction involved in conjugation with cellular fusion	GO_0000750	0	1	0	0	0
old mitotic spindle pole body	GO_0071957	0	1	0	0	0
new mitotic spindle pole body	GO_0071958	0	1	0	0	0
negative regulation of zygospore formation	GO_0075300	0	1	0	0	0
negative regulation of sexual sporulation resulting in formation of a cellular spore	GO_0043942	0	1	0	0	0
negative regulation of oospore formation	GO_0075246	0	1	0	0	0
negative regulation of basidiospore formation	GO_0075304	0	1	0	0	0
negative regulation of ascospore formation	GO_0075297	0	1	0	0	0
mycelium development	GO_0043581	0	1	0	0	0
mitotic spindle pole body localization to nuclear envelope	GO_1990608	0	1	0	0	0
mitotic spindle pole body duplication	GO_1903087	0	1	0	0	0
mitotic spindle pole body	GO_0044732	0	1	0	0	0
mitotic cell cycle arrest in response to pheromone	GO_0000751	0	1	0	0	0
microtubule nucleation by spindle pole body	GO_0051417	0	1	0	0	0
microtubule anchoring at spindle pole body	GO_0034631	0	1	0	0	0
meiotic spindle pole body organization	GO_1990395	0	1	0	0	0
meiotic spindle pole body	GO_0035974	0	1	0	0	0
mannose-specific flocculation	GO_0036350	0	1	0	0	0
invasive growth in response to glucose limitation	GO_0001403	0	1	0	0	0
hyphal cell wall	GO_0030446	0	1	0	0	0
gliotoxin biosynthetic process	GO_2001310	0	1	0	0	0
galactose-specific flocculation	GO_0036349	0	1	0	0	0
fungal-type vacuole membrane	GO_0000329	0	1	0	0	0
fungal-type vacuole lumen	GO_0000328	0	1	0	0	0
fungal-type vacuole	GO_0000324	0	1	0	0	0
fungal-type cell wall organization	GO_0031505	0	1	0	0	0
fungal-type cell wall disassembly	GO_0071853	0	1	0	0	0
fungal-type cell wall biogenesis	GO_0009272	0	1	0	0	0
fungal-type cell wall assembly	GO_0071940	0	1	0	0	0
fungal-type cell wall	GO_0009277	0	1	0	0	0
formin-nucleated actin cable	GO_0070648	0	1	0	0	0
flocculation via cell wall protein-carbohydrate interaction	GO_0000501	0	1	0	0	0
establishment of spindle pole body localization to nuclear envelope	GO_0071790	0	1	0	0	0
establishment of spindle pole body localization	GO_0070632	0	1	0	0	0
cytogamy	GO_0000755	0	1	0	0	0
cleistothecium development	GO_0070791	0	1	0	0	0
chlamydospore formation	GO_0001410	0	1	0	0	0
cellular bud site selection	GO_0000282	0	1	0	0	0
bipolar cellular bud site selection	GO_0007121	0	1	0	0	0
axial cellular bud site selection	GO_0007120	0	1	0	0	0
attachment of telomeric heterochromatin to spindle pole body	GO_0032121	0	1	0	0	0
ascospore-type prospore	GO_0042764	0	1	0	0	0
ascospore wall	GO_0005619	0	1	0	0	0
alpha-ketoglutarate-dependent xanthine dioxygenase activity	GO_0097641	0	1	0	0	0
actin cortical patch	GO_0030479	0	1	0	0	0
P6 peroxisome	GO_0019824	0	1	0	0	0
P5 peroxisome	GO_0019823	0	1	0	0	0
P4 peroxisome	GO_0019822	0	1	0	0	0
P3 peroxisome	GO_0019821	0	1	0	0	0
P2 peroxisome	GO_0019820	0	1	0	0	0
P1 peroxisome	GO_0019819	0	1	0	0	0
