name	ID	manual	auto	checked	blacklisted	is_obsolete
telencephalon oligodendrocyte cell migration	GO_0022032	1	1	1	0	0
telencephalon microglial cell migration	GO_0022033	1	1	1	0	0
telencephalon glial cell migration	GO_0022030	1	1	1	0	0
telencephalon astrocyte cell migration	GO_0022031	1	1	1	0	0
symmetric radial glial cell division in forebrain	GO_0021865	1	1	1	0	0
spinal cord radial glial cell differentiation	GO_0021531	1	1	1	0	0
spinal cord oligodendrocyte cell fate specification	GO_0021530	1	1	1	0	0
spinal cord oligodendrocyte cell differentiation	GO_0021529	1	1	1	0	0
regulation of microglia differentiation	GO_0014006	1	1	1	0	0
regulation of gliogenesis	GO_0014013	1	1	1	0	0
regulation of glial cell proliferation	GO_0060251	1	1	1	0	0
regulation of glial cell differentiation	GO_0045685	1	1	1	0	0
regulation of glial cell apoptotic process	GO_0034350	1	1	1	0	0
radial glial cell division in subpallium	GO_0022014	1	1	1	0	0
radial glial cell division in forebrain	GO_0021864	1	1	1	0	0
radial glial cell differentiation	GO_0060019	1	1	1	0	0
posterior lateral line nerve glial cell differentiation	GO_0048931	1	1	1	0	0
posterior lateral line nerve glial cell development	GO_0048941	1	1	1	0	0
positive regulation of microglia differentiation	GO_0014008	1	1	1	0	0
positive regulation of gliogenesis	GO_0014015	1	1	1	0	0
positive regulation of glial cell proliferation	GO_0060252	1	1	1	0	0
positive regulation of glial cell differentiation	GO_0045687	1	1	1	0	0
positive regulation of glial cell apoptotic process	GO_0034352	1	1	1	0	0
perineurial glial growth	GO_0042066	1	1	1	0	0
oligodendrocyte differentiation	GO_0048709	1	1	1	0	0
oligodendrocyte development	GO_0014003	1	1	1	0	0
oligodendrocyte cell fate specification	GO_0021778	1	1	1	0	0
oligodendrocyte cell fate commitment	GO_0021779	1	1	1	0	0
oligodendrocyte apoptotic process	GO_0097252	1	1	1	0	0
neuron-producing asymmetric radial glial cell division in forebrain	GO_0021867	1	1	1	0	0
neural crest-derived cardiac glial cell fate commitment	GO_0060955	1	1	1	0	0
neural crest-derived cardiac glial cell differentiation	GO_0060951	1	1	1	0	0
neural crest-derived cardiac glial cell development	GO_0060954	1	1	1	0	0
