name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of insulin secretion involved in cellular response to glucose stimulus	GO_0061178	1	1	1	0	0
positive regulation of insulin secretion involved in cellular response to glucose stimulus	GO_0035774	1	1	1	0	0
negative regulation of insulin secretion involved in cellular response to glucose stimulus	GO_0061179	1	1	1	0	0
glucose mediated signaling pathway	GO_0010255	1	1	1	0	0
glucose homeostasis	GO_0042593	1	1	1	0	0
cellular response to glucose stimulus	GO_0071333	1	1	1	0	0
cellular glucose homeostasis	GO_0001678	1	1	1	0	0
adenylate cyclase-activating glucose-activated G-protein coupled receptor signaling pathway	GO_0010619	1	1	1	0	0
renal glucose absorption	GO_0035623	1	0	1	0	0
regulation of transcription from RNA polymerase II promoter by glucose	GO_0000430	1	0	1	0	0
regulation of transcription by glucose	GO_0046015	1	0	1	0	0
regulation of invasive growth in response to glucose limitation	GO_2000217	1	0	1	0	0
regulation of glucose-6-phosphatase activity	GO_0032114	1	0	1	0	0
regulation of glucose transport	GO_0010827	1	0	1	0	0
regulation of glucose metabolic process	GO_0010906	1	0	1	0	0
regulation of glucose import in response to insulin stimulus	GO_2001273	1	0	1	0	0
regulation of glucose import by regulation of transcription from RNA polymerase II promoter	GO_1900389	1	0	1	0	0
regulation of glucose import	GO_0046324	1	0	1	0	0
regulation of glucose homeostasis	GO_1900536	1	0	1	1	1
regulation of detection of glucose	GO_2000970	1	0	1	0	0
regulation of cell shape involved in cellular response to glucose starvation	GO_1900529	1	0	1	1	1
regulation of UDP-glucose catabolic process	GO_0010904	1	0	1	0	0
positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation	GO_0061406	1	0	1	0	0
positive regulation of regulation of insulin secretion involved in cellular response to glucose stimulus	GO_2000530	1	0	1	1	1
positive regulation of glucose transport	GO_0010828	1	0	1	0	0
positive regulation of glucose import in response to insulin stimulus	GO_2001275	1	0	1	0	0
positive regulation of glucose import	GO_0046326	1	0	1	0	0
positive regulation of glucose homeostasis	GO_1900538	1	0	1	1	1
positive regulation of detection of glucose	GO_2000972	1	0	1	0	0
obsolete regulation of transcription from RNA polymerase II promoter involved in detection of glucose	GO_2000976	1	0	1	1	1
negative regulation of glucose transport	GO_0010829	1	0	1	0	0
negative regulation of glucose import in response to insulin stimulus	GO_2001274	1	0	1	0	0
negative regulation of glucose import	GO_0046325	1	0	1	0	0
negative regulation of glucose homeostasis	GO_1900537	1	0	1	1	1
negative regulation of detection of glucose	GO_2000971	1	0	1	0	0
mitotic cell cycle arrest in response to glucose starvation	GO_0036226	1	0	1	0	0
intestinal D-glucose absorption	GO_0001951	1	0	1	0	0
glucose-6-phosphate transport	GO_0015760	1	0	1	0	0
glucose transport	GO_0015758	1	0	1	0	0
glucose import in response to insulin stimulus	GO_0044381	1	0	1	0	0
glucose import	GO_0046323	1	0	1	0	0
detection of glucose	GO_0051594	1	0	1	0	0
cellular response to glucose starvation	GO_0042149	1	0	1	0	0
regulation of glycolysis involved in cellular glucose homeostasis	GO_0090525	0	1	1	0	0
regulation of glucose mediated signaling pathway	GO_1902659	0	1	1	0	0
regulation of gluconeogenesis involved in cellular glucose homeostasis	GO_0090526	0	1	1	0	0
positive regulation of glucose mediated signaling pathway	GO_1902661	0	1	1	0	0
negative regulation of glucose mediated signaling pathway	GO_1902660	0	1	1	0	0
insulin secretion involved in cellular response to glucose stimulus	GO_0035773	0	1	1	0	0
