name	ID	manual	auto	checked	blacklisted	is_obsolete
non-phosphorylated glucose metabolic process	GO_0046430	1	1	1	0	0
non-phosphorylated glucose catabolic process	GO_0019595	1	1	1	0	0
glucose metabolic process	GO_0006006	1	1	1	0	0
regulation of glycolytic fermentation to ethanol	GO_2001154	1	0	1	0	0
positive regulation of glycolytic fermentation to ethanol	GO_2001172	1	0	1	0	0
positive regulation of glucose metabolic process	GO_0010907	1	0	1	0	0
negative regulation of glycolytic fermentation to ethanol	GO_2001155	1	0	1	0	0
negative regulation of UDP-glucose catabolic process	GO_0010905	1	0	1	0	0
ethanol biosynthetic process involved in glucose fermentation to ethanol	GO_0043458	1	0	1	0	0
apiogalacturonan metabolic process	GO_0010397	1	0	1	0	0
transport-coupled glycolytic process through glucose-6-phosphate	GO_0061633	0	1	1	0	0
poly(hydroxyalkanoate) biosynthetic process from glucose	GO_1902924	0	1	1	0	0
glycolytic fermentation to propionate	GO_0019657	0	1	1	0	0
glycolytic fermentation to ethanol	GO_0019655	0	1	1	0	0
glycolytic fermentation to butanediol	GO_0019650	0	1	1	0	0
glucose catabolic process to mixed acids	GO_0019664	0	1	1	0	0
glucose catabolic process to lactate via pyruvate	GO_0019661	0	1	1	0	0
glucose catabolic process to lactate and acetate	GO_0019658	0	1	1	0	0
glucose catabolic process to lactate	GO_0019659	0	1	1	0	0
glucose catabolic process to butyrate	GO_0030645	0	1	1	0	0
glucose catabolic process to D-lactate and ethanol	GO_0019656	0	1	1	0	0
glucose catabolic process	GO_0006007	0	1	1	0	0
gluconeogenesis	GO_0006094	0	1	1	0	0
canonical glycolysis	GO_0061621	0	1	1	0	0
Entner-Doudoroff pathway through 6-phosphogluconate	GO_0009255	0	1	0	0	0
