name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of secretion by asymmetric Golgi ribbon formation	GO_0090165	1	1	1	0	0
regulation of protein glycosylation in Golgi	GO_0090283	1	1	1	0	0
regulation of Golgi inheritance	GO_0090170	1	1	1	0	0
recycling endosome to Golgi transport	GO_0071955	1	1	1	0	0
protein targeting to Golgi	GO_0000042	1	1	1	0	0
protein localization to Golgi apparatus	GO_0034067	1	1	1	0	0
protein glycosylation in Golgi	GO_0033578	1	1	1	0	0
protein galactosylation in Golgi	GO_0033581	1	1	1	0	0
positive regulation of protein glycosylation in Golgi	GO_0090284	1	1	1	0	0
negative regulation of protein glycosylation in Golgi	GO_0090285	1	1	1	0	0
maintenance of Golgi location	GO_0051684	1	1	1	0	0
late endosome to Golgi transport	GO_0034499	1	1	1	0	0
establishment of protein localization to Golgi	GO_0072600	1	1	1	0	0
establishment of Golgi localization	GO_0051683	1	1	1	0	0
early endosome to Golgi transport	GO_0034498	1	1	1	0	0
clathrin coating of Golgi vesicle, trans-Golgi to endosome targeting	GO_0010786	1	1	1	0	0
clathrin coating of Golgi vesicle, plasma membrane to endosome targeting	GO_0010785	1	1	1	0	0
clathrin coating of Golgi vesicle	GO_0048202	1	1	1	0	0
asymmetric Golgi ribbon formation	GO_0090164	1	1	1	0	0
Golgi vesicle budding	GO_0048194	1	1	1	0	0
Golgi vesicle bud deformation and release	GO_0048198	1	1	1	0	0
Golgi transport vesicle coating	GO_0048200	1	1	1	0	0
Golgi trans cisterna	GO_0000138	1	1	1	0	0
Golgi to vacuole transport	GO_0006896	1	1	1	0	0
Golgi to transport vesicle transport	GO_0055108	1	1	1	0	0
Golgi to secretory granule transport	GO_0055107	1	1	1	0	0
Golgi to plasma membrane transport	GO_0006893	1	1	1	0	0
Golgi to plasma membrane protein transport	GO_0043001	1	1	1	0	0
Golgi to plasma membrane CFTR protein transport	GO_0043000	1	1	1	0	0
Golgi to lysosome transport	GO_0090160	1	1	1	0	0
Golgi to endosome transport	GO_0006895	1	1	1	0	0
Golgi ribbon formation	GO_0090161	1	1	1	0	0
Golgi reassembly	GO_0090168	1	1	1	0	0
Golgi organization	GO_0007030	1	1	1	0	0
Golgi membrane priming complex assembly	GO_0048195	1	1	1	0	0
Golgi membrane coat protein complex assembly	GO_0048197	1	1	1	0	0
Golgi membrane	GO_0000139	1	1	1	0	0
Golgi localization	GO_0051645	1	1	1	0	0
Golgi inheritance	GO_0048313	1	1	1	0	0
Golgi distribution to daughter cells	GO_0090167	1	1	1	0	0
Golgi disassembly	GO_0090166	1	1	1	0	0
Golgi cis cisterna	GO_0000137	1	1	1	0	0
Golgi calcium ion transport	GO_0032472	1	1	1	0	0
Golgi calcium ion homeostasis	GO_0032468	1	1	1	0	0
Golgi calcium ion export	GO_0061454	1	1	1	0	0
GDP-fucose import into Golgi lumen	GO_0036085	1	1	1	0	0
GARP complex	GO_0000938	1	1	1	0	0
ER to Golgi vesicle-mediated transport	GO_0006888	1	1	1	0	0
COPI coating of Golgi vesicle, inter-Golgi cisterna	GO_0010787	1	1	1	0	0
COPI coating of Golgi vesicle, cis-Golgi to rough ER	GO_0010788	1	1	1	0	0
COPI coating of Golgi vesicle	GO_0048205	1	1	1	0	0
viral budding from Golgi membrane	GO_0046760	1	0	1	0	0
retrograde vesicle-mediated transport, Golgi to ER	GO_0006890	1	0	1	0	0
retrograde transport, vesicle recycling within Golgi	GO_0000301	1	0	1	0	0
retrograde transport, vacuole to Golgi	GO_0045018	1	0	1	0	0
retrograde transport, plasma membrane to Golgi	GO_0035526	1	0	1	0	0
retrograde transport, endosome to Golgi	GO_0042147	1	0	1	0	0
regulation of vesicle targeting, to, from or within Golgi	GO_0048209	1	0	1	0	0
regulation of retrograde vesicle-mediated transport, Golgi to ER	GO_2000156	1	0	1	0	0
regulation of Golgi vesicle fusion to target membrane	GO_0048214	1	0	1	0	0
regulation of Golgi to plasma membrane protein transport	GO_0042996	1	0	1	0	0
regulation of Golgi to plasma membrane CFTR protein transport	GO_0042999	1	0	1	0	0
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis	GO_0090113	1	0	1	0	0
regulation of ER to Golgi vesicle-mediated transport	GO_0060628	1	0	1	0	0
protein retention in Golgi apparatus	GO_0045053	1	0	1	0	0
post-Golgi vesicle-mediated transport	GO_0006892	1	0	1	0	0
positive regulation of Golgi vesicle fusion to target membrane	GO_0048215	1	0	1	0	0
positive regulation of Golgi to plasma membrane protein transport	GO_0042998	1	0	1	0	0
positive regulation of Golgi to plasma membrane CFTR protein transport	GO_0043003	1	0	1	0	0
negative regulation of Golgi vesicle fusion to target membrane	GO_0048216	1	0	1	0	0
negative regulation of Golgi to plasma membrane protein transport	GO_0042997	1	0	1	0	0
negative regulation of Golgi to plasma membrane CFTR protein transport	GO_0043002	1	0	1	0	0
intra-Golgi vesicle-mediated transport	GO_0006891	1	0	1	0	0
inter-Golgi cisterna vesicle-mediated transport	GO_0048219	1	0	1	0	0
endoplasmic reticulum-Golgi intermediate compartment organization	GO_0097111	1	0	1	0	0
Golgi vesicle uncoating	GO_0048212	1	0	1	0	0
Golgi vesicle transport	GO_0048193	1	0	1	0	0
Golgi vesicle prefusion complex stabilization	GO_0048213	1	0	1	0	0
Golgi vesicle fusion to target membrane	GO_0048210	1	0	1	0	0
Golgi vesicle docking	GO_0048211	1	0	1	0	0
Golgi to secretory vesicle transport	GO_0006894	1	0	1	1	1
Golgi cell precursor proliferation	GO_0021926	1	0	1	0	0
ER to Golgi ceramide transport	GO_0035621	1	0	1	0	0
vesicle targeting, trans-Golgi to endosome	GO_0048203	0	1	0	0	0
vesicle targeting, to, from or within Golgi	GO_0048199	0	1	0	0	0
vesicle targeting, rough ER to cis-Golgi	GO_0048207	0	1	0	0	0
vesicle targeting, inter-Golgi cisterna	GO_0048204	0	1	0	0	0
vesicle targeting, cis-Golgi to rough ER	GO_0048206	0	1	0	0	0
vesicle fusion with Golgi apparatus	GO_0048280	0	1	0	0	0
trans-Golgi network transport vesicle membrane	GO_0012510	0	1	0	0	0
trans-Golgi network transport vesicle lumen	GO_0098564	0	1	0	0	0
trans-Golgi network transport vesicle	GO_0030140	0	1	0	0	0
trans-Golgi network to recycling endosome transport	GO_0044795	0	1	0	0	0
trans-Golgi network membrane	GO_0032588	0	1	0	0	0
trans-Golgi network	GO_0005802	0	1	0	0	0
regulation of cargo loading into COPII-coated vesicle	GO_1901301	0	1	0	0	0
regulation of Golgi organization	GO_1903358	0	1	0	0	0
regulation of COPII vesicle coating	GO_0003400	0	1	0	0	0
protein localization to Golgi membrane	GO_1903292	0	1	0	0	0
phosphoenolpyruvate transmembrane import into Golgi lumen	GO_1990536	0	1	0	0	0
negative regulation of cargo loading into COPII-coated vesicle	GO_1901303	0	1	0	0	0
lumenal side of trans-Golgi network transport vesicle membrane	GO_0098540	0	1	0	0	0
lumenal side of Golgi membrane	GO_0098547	0	1	0	0	0
intrinsic component of Golgi membrane	GO_0031228	0	1	0	0	0
inter-Golgi transport vesicle membrane	GO_0012509	0	1	0	0	0
inter-Golgi transport vesicle	GO_0030143	0	1	0	0	0
integral component of Golgi membrane	GO_0030173	0	1	0	0	0
inositol phosphoceramide synthase complex	GO_0070916	0	1	0	0	0
extrinsic component of Golgi membrane	GO_0090498	0	1	0	0	0
exomer complex	GO_0034044	0	1	0	0	0
cytoplasmic side of trans-Golgi network transport vesicle membrane	GO_0098541	0	1	0	0	0
cytoplasmic side of Golgi membrane	GO_0098548	0	1	0	0	0
clathrin coat of trans-Golgi network vesicle	GO_0030130	0	1	0	0	0
cargo loading into COPII-coated vesicle	GO_0090110	0	1	0	0	0
alpha-1,6-mannosyltransferase complex	GO_0000136	0	1	0	0	0
acroblast	GO_0036063	0	1	0	0	0
UDP-galactose transmembrane import into Golgi lumen	GO_0097624	0	1	0	0	0
TRAPPIII protein complex	GO_1990072	0	1	0	0	0
TRAPPII protein complex	GO_1990071	0	1	0	0	0
RIC1-RGP1 guanyl-nucleotide exchange factor complex	GO_0034066	0	1	0	0	0
Golgi-associated vesicle membrane	GO_0030660	0	1	0	0	0
Golgi-associated vesicle lumen	GO_0070931	0	1	0	0	0
Golgi-associated vesicle	GO_0005798	0	1	0	0	0
Golgi transport complex	GO_0017119	0	1	0	0	0
Golgi to ER transport vesicle membrane	GO_0012508	0	1	0	0	0
Golgi to ER transport vesicle	GO_0030142	0	1	0	0	0
Golgi stack lumen	GO_0034469	0	1	0	0	0
Golgi stack	GO_0005795	0	1	0	0	0
Golgi medial cisterna	GO_0005797	0	1	0	0	0
Golgi lumen	GO_0005796	0	1	0	0	0
Golgi cisterna membrane	GO_0032580	0	1	0	0	0
Golgi cisterna	GO_0031985	0	1	0	0	0
Golgi apparatus part	GO_0044431	0	1	0	0	0
Golgi apparatus	GO_0005794	0	1	0	0	0
COPII-coated vesicle budding	GO_0090114	0	1	0	0	0
COPII vesicle coating	GO_0048208	0	1	0	0	0
COPI-coated vesicle membrane	GO_0030663	0	1	0	0	0
COPI-coated vesicle budding	GO_0035964	0	1	0	0	0
COPI-coated vesicle	GO_0030137	0	1	0	0	0
COPI vesicle coat	GO_0030126	0	1	0	0	0
AP-1 adaptor complex	GO_0030121	0	1	0	0	0
