name	ID	manual	auto	checked	blacklisted
ventricular trabecula myocardium morphogenesis	GO_0003222	1	1	1	0
ventricular septum morphogenesis	GO_0060412	1	1	1	0
ventricular septum intermedium morphogenesis	GO_0003288	1	1	1	0
ventricular septum intermedium development	GO_0003282	1	1	1	0
ventricular septum development	GO_0003281	1	1	1	0
ventricular compact myocardium morphogenesis	GO_0003223	1	1	1	0
ventricular cardiac myofibril assembly	GO_0055005	1	1	1	0
ventricular cardiac muscle tissue morphogenesis	GO_0055010	1	1	1	0
ventricular cardiac muscle tissue development	GO_0003229	1	1	1	0
ventricular cardiac muscle cell fate commitment	GO_0060925	1	1	1	0
ventricular cardiac muscle cell differentiation	GO_0055012	1	1	1	0
ventricular cardiac muscle cell development	GO_0055015	1	1	1	0
right ventricular cardiac muscle tissue morphogenesis	GO_0003221	1	1	1	0
regulation of planar cell polarity pathway involved in cardiac right atrium morphogenesis	GO_2000161	1	1	1	0
regulation of planar cell polarity pathway involved in cardiac muscle tissue morphogenesis	GO_2000150	1	1	1	0
regulation of heart morphogenesis	GO_2000826	1	1	1	0
regulation of cardioblast proliferation	GO_0003264	1	1	1	0
regulation of cardioblast differentiation	GO_0051890	1	1	1	0
regulation of cardioblast cell fate specification	GO_0042686	1	1	1	0
regulation of cardiac muscle tissue growth	GO_0055021	1	1	1	0
regulation of cardiac muscle tissue development	GO_0055024	1	1	1	0
regulation of cardiac muscle fiber development	GO_0055018	1	1	1	0
regulation of cardiac muscle cell proliferation	GO_0060043	1	1	1	0
regulation of cardiac muscle cell differentiation	GO_2000725	1	1	1	0
regulation of cardiac chamber morphogenesis	GO_1901219	1	1	1	0
regulation of cardiac chamber formation	GO_1901210	1	1	1	0
regulation of cardiac cell fate specification	GO_2000043	1	1	1	0
positive regulation of cell growth involved in cardiac muscle cell development	GO_0061051	1	1	1	0
positive regulation of cardiac muscle tissue growth	GO_0055023	1	1	1	0
positive regulation of cardiac muscle tissue development	GO_0055025	1	1	1	0
positive regulation of cardiac muscle fiber development	GO_0055020	1	1	1	0
positive regulation of cardiac muscle cell proliferation	GO_0060045	1	1	1	0
positive regulation of cardiac muscle cell differentiation	GO_2000727	1	1	1	0
positive regulation of cardiac chamber morphogenesis	GO_1901221	1	1	1	0
positive regulation of cardiac chamber formation	GO_1901212	1	1	1	0
planar cell polarity pathway involved in ventricular septum morphogenesis	GO_0061348	1	1	1	0
