name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of histone ubiquitination	GO_0033182	1	1	1	0	0
regulation of histone phosphorylation	GO_0033127	1	1	1	0	0
regulation of histone modification	GO_0031056	1	1	1	0	0
regulation of histone methylation	GO_0031060	1	1	1	0	0
regulation of histone deacetylation at centromere	GO_0031066	1	1	1	0	0
regulation of histone deacetylation	GO_0031063	1	1	1	0	0
regulation of histone acetylation	GO_0035065	1	1	1	0	0
regulation of histone H4-K20 methylation	GO_0070510	1	1	1	0	0
regulation of histone H4-K16 acetylation	GO_2000618	1	1	1	0	0
regulation of histone H4 acetylation	GO_0090239	1	1	1	0	0
regulation of histone H3-T3 phosphorylation involved in chromosome passenger complex localization to kinetochore	GO_2000817	1	1	1	0	0
regulation of histone H3-T3 phosphorylation	GO_2000281	1	1	1	0	0
regulation of histone H3-K9 trimethylation	GO_1900112	1	1	1	0	0
regulation of histone H3-K9 methylation	GO_0051570	1	1	1	0	0
regulation of histone H3-K9 dimethylation	GO_1900109	1	1	1	0	0
regulation of histone H3-K9 acetylation	GO_2000615	1	1	1	0	0
regulation of histone H3-K79 methylation	GO_2001160	1	1	1	0	0
regulation of histone H3-K4 methylation	GO_0051569	1	1	1	0	0
regulation of histone H3-K36 trimethylation	GO_2001253	1	1	1	0	0
regulation of histone H3-K36 methylation	GO_0000414	1	1	1	0	0
regulation of histone H3-K27 methylation	GO_0061085	1	1	1	0	0
regulation of histone H3-K14 acetylation	GO_0071440	1	1	1	0	0
regulation of histone H2B ubiquitination	GO_2001166	1	1	1	0	0
regulation of histone H2B conserved C-terminal lysine ubiquitination	GO_2001173	1	1	1	0	0
regulation of histone H2A K63-linked ubiquitination	GO_1901314	1	1	1	0	0
positive regulation of histone ubiquitination	GO_0033184	1	1	1	0	0
positive regulation of histone phosphorylation	GO_0033129	1	1	1	0	0
positive regulation of histone modification	GO_0031058	1	1	1	0	0
positive regulation of histone methylation	GO_0031062	1	1	1	0	0
positive regulation of histone deacetylation at centromere	GO_0031068	1	1	1	0	0
positive regulation of histone deacetylation	GO_0031065	1	1	1	0	0
positive regulation of histone acetylation	GO_0035066	1	1	1	0	0
positive regulation of histone H4-K20 methylation	GO_0070512	1	1	1	0	0
positive regulation of histone H4-K16 acetylation	GO_2000620	1	1	1	0	0
positive regulation of histone H4 acetylation	GO_0090240	1	1	1	0	0
positive regulation of histone H3-K9 trimethylation	GO_1900114	1	1	1	0	0
positive regulation of histone H3-K9 methylation	GO_0051574	1	1	1	0	0
positive regulation of histone H3-K9 dimethylation	GO_1900111	1	1	1	0	0
positive regulation of histone H3-K9 acetylation	GO_2000617	1	1	1	0	0
positive regulation of histone H3-K79 methylation	GO_2001162	1	1	1	0	0
positive regulation of histone H3-K4 methylation	GO_0051571	1	1	1	0	0
positive regulation of histone H3-K36 trimethylation	GO_2001255	1	1	1	0	0
positive regulation of histone H3-K36 methylation	GO_0000416	1	1	1	0	0
positive regulation of histone H3-K27 methylation	GO_0061087	1	1	1	0	0
positive regulation of histone H3-K14 acetylation	GO_0071442	1	1	1	0	0
positive regulation of histone H2B ubiquitination	GO_2001168	1	1	1	0	0
positive regulation of histone H2B conserved C-terminal lysine ubiquitination	GO_2001175	1	1	1	0	0
positive regulation of histone H2A K63-linked ubiquitination	GO_1901316	1	1	1	0	0
negative regulation of histone ubiquitination	GO_0033183	1	1	1	0	0
negative regulation of histone phosphorylation	GO_0033128	1	1	1	0	0
negative regulation of histone modification	GO_0031057	1	1	1	0	0
negative regulation of histone methylation	GO_0031061	1	1	1	0	0
negative regulation of histone deacetylation at centromere	GO_0031067	1	1	1	0	0
negative regulation of histone deacetylation	GO_0031064	1	1	1	0	0
negative regulation of histone acetylation	GO_0035067	1	1	1	0	0
negative regulation of histone H4-K20 methylation	GO_0070511	1	1	1	0	0
negative regulation of histone H4-K16 acetylation	GO_2000619	1	1	1	0	0
negative regulation of histone H4 acetylation	GO_0090241	1	1	1	0	0
negative regulation of histone H3-K9 trimethylation	GO_1900113	1	1	1	0	0
