name	ID	manual	auto	checked	blacklisted	is_obsolete
regulation of thyroid hormone generation	GO_2000609	1	1	1	0	0
regulation of steroid hormone biosynthetic process	GO_0090030	1	1	1	0	0
regulation of peptide hormone processing	GO_0060568	1	1	1	0	0
regulation of juvenile hormone metabolic process	GO_0007556	1	1	1	0	0
regulation of juvenile hormone catabolic process	GO_0045952	1	1	1	0	0
regulation of juvenile hormone biosynthetic process	GO_0007557	1	1	1	0	0
regulation of hormone metabolic process	GO_0032350	1	1	1	0	0
regulation of hormone biosynthetic process	GO_0046885	1	1	1	0	0
regulation of ecdysteroid metabolic process	GO_0007553	1	1	1	0	0
regulation of ecdysteroid biosynthetic process	GO_0007554	1	1	1	0	0
positive regulation of thyroid hormone generation	GO_2000611	1	1	1	0	0
positive regulation of steroid hormone biosynthetic process	GO_0090031	1	1	1	0	0
positive regulation of peptide hormone processing	GO_0060569	1	1	1	0	0
positive regulation of juvenile hormone metabolic process	GO_0045929	1	1	1	0	0
positive regulation of juvenile hormone catabolic process	GO_0045971	1	1	1	0	0
positive regulation of juvenile hormone biosynthetic process	GO_0045969	1	1	1	0	0
positive regulation of hormone metabolic process	GO_0032352	1	1	1	0	0
positive regulation of hormone biosynthetic process	GO_0046886	1	1	1	0	0
peptide hormone processing	GO_0016486	1	1	1	0	0
negative regulation of thyroid hormone generation	GO_2000610	1	1	1	0	0
negative regulation of steroid hormone biosynthetic process	GO_0090032	1	1	1	0	0
negative regulation of peptide hormone processing	GO_0060570	1	1	1	0	0
negative regulation of juvenile hormone metabolic process	GO_0045928	1	1	1	0	0
negative regulation of juvenile hormone catabolic process	GO_0045970	1	1	1	0	0
negative regulation of juvenile hormone biosynthetic process	GO_0045968	1	1	1	0	0
negative regulation of hormone metabolic process	GO_0032351	1	1	1	0	0
negative regulation of hormone biosynthetic process	GO_0032353	1	1	1	0	0
juvenile hormone metabolic process	GO_0006716	1	1	1	0	0
juvenile hormone catabolic process	GO_0006719	1	1	1	0	0
juvenile hormone biosynthetic process	GO_0006718	1	1	1	0	0
hormone metabolic process	GO_0042445	1	1	1	0	0
hormone catabolic process	GO_0042447	1	1	1	0	0
hormone biosynthetic process	GO_0042446	1	1	1	0	0
cellular hormone metabolic process	GO_0034754	1	1	1	0	0
androgen metabolic process	GO_0008209	1	1	1	0	0
androgen catabolic process	GO_0006710	1	1	1	0	0
androgen biosynthetic process	GO_0006702	1	1	1	0	0
aldosterone metabolic process	GO_0032341	1	1	1	0	0
aldosterone catabolic process	GO_0032343	1	1	1	0	0
aldosterone biosynthetic process	GO_0032342	1	1	1	0	0
C21-steroid hormone metabolic process	GO_0008207	1	1	1	0	0
C21-steroid hormone catabolic process	GO_0008208	1	1	1	0	0
C21-steroid hormone biosynthetic process	GO_0006700	1	1	1	0	0
signal initiation by peptide hormone	GO_0023055	1	0	1	1	1
response to thyroid hormone	GO_0097066	1	0	1	0	0
response to steroid hormone	GO_0048545	1	0	1	0	0
response to peptide hormone	GO_0043434	1	0	1	0	0
response to parathyroid hormone	GO_0071107	1	0	1	0	0
response to luteinizing hormone	GO_0034699	1	0	1	0	0
response to hormone	GO_0009725	1	0	1	0	0
response to growth hormone	GO_0060416	1	0	1	0	0
response to gonadotropin-releasing hormone	GO_0097210	1	0	1	0	0
response to follicle-stimulating hormone	GO_0032354	1	0	1	0	0
response to corticotropin-releasing hormone	GO_0043435	1	0	1	0	0
regulation of thyroid-stimulating hormone secretion	GO_2000612	1	0	1	0	0
regulation of thyroid hormone mediated signaling pathway	GO_0002155	1	0	1	0	0
regulation of steroid hormone secretion	GO_2000831	1	0	1	0	0
regulation of peptide hormone secretion	GO_0090276	1	0	1	0	0
regulation of parathyroid hormone secretion	GO_2000828	1	0	1	0	0
regulation of luteinizing hormone secretion	GO_0033684	1	0	1	0	0
