name	ID	manual	auto	checked	blacklisted	is_obsolete
response to hypoxia	GO_0001666	1	1	1	0	0
detection of hypoxia	GO_0070483	1	1	1	0	0
cellular response to hypoxia	GO_0071456	1	1	1	0	0
regulation of cellular response to hypoxia	GO_1900037	1	0	1	0	0
positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia	GO_2000777	1	0	1	0	0
positive regulation of cellular response to hypoxia	GO_1900039	1	0	1	0	0
negative regulation of cellular response to hypoxia	GO_1900038	1	0	1	0	0
detection of hypoxic conditions in blood by chemoreceptor signaling	GO_0002007	1	0	1	0	0
detection of hypoxic conditions in blood by carotid body chemoreceptor signaling	GO_0003029	1	0	1	0	0
detection of hypoxic conditions in blood by aortic body chemoreceptor signaling	GO_0003033	1	0	1	0	0
regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO_0061418	0	1	0	0	0
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO_0061419	0	1	0	0	0
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO_0061428	0	1	0	0	0
intrinsic apoptotic signaling pathway in response to hypoxia	GO_1990144	0	1	0	0	0
hypoxia-inducible factor-1alpha signaling pathway	GO_0097411	0	1	0	0	0
detection of reduced oxygen by chemoreceptor signaling	GO_0003020	0	1	0	0	0
detection of reduced oxygen by carotid body chemoreceptor signaling	GO_0003039	0	1	0	0	0
detection of reduced oxygen by aortic body chemoreceptor signaling	GO_0003038	0	1	0	0	0
