name	ID	manual	auto	checked	blacklisted
type I hypersensitivity mediated by mast cells	GO_0002558	1	1	1	0
type I hypersensitivity mediated by basophils	GO_0002559	1	1	1	0
type I hypersensitivity	GO_0016068	1	1	1	0
type 2 immune response	GO_0042092	1	1	1	0
tolerance induction to nonself antigen	GO_0002462	1	1	1	0
tolerance induction in gut-associated lymphoid tissue	GO_0002394	1	1	1	0
tolerance induction dependent upon immune response	GO_0002461	1	1	1	0
susceptibility to natural killer cell mediated cytotoxicity	GO_0042271	1	1	1	0
susceptibility to T cell mediated cytotoxicity	GO_0060370	1	1	1	0
suppression by virus of host innate immune response	GO_0039503	1	1	1	0
suppression by virus of host adaptive immune response	GO_0039504	1	1	1	0
somatic recombination of immunoglobulin genes involved in immune response	GO_0002204	1	1	1	0
somatic hypermutation of immunoglobulin genes involved in immune response	GO_0002205	1	1	1	0
somatic diversification of immunoglobulins involved in immune response	GO_0002208	1	1	1	0
regulation of type 2 immune response	GO_0002828	1	1	1	0
regulation of tolerance induction to nonself antigen	GO_0002655	1	1	1	0
regulation of tolerance induction dependent upon immune response	GO_0002652	1	1	1	0
regulation of natural killer cell proliferation involved in immune response	GO_0032820	1	1	1	0
regulation of natural killer cell mediated immune response to tumor cell	GO_0002855	1	1	1	0
regulation of natural killer cell differentiation involved in immune response	GO_0032826	1	1	1	0
regulation of mast cell activation involved in immune response	GO_0033006	1	1	1	0
regulation of innate immune response	GO_0045088	1	1	1	0
regulation of immunoglobulin production in mucosal tissue	GO_2000557	1	1	1	0
regulation of immunoglobulin mediated immune response	GO_0002889	1	1	1	0
regulation of immune response to tumor cell	GO_0002837	1	1	1	0
regulation of immune response	GO_0050776	1	1	1	0
regulation of humoral immune response mediated by circulating immunoglobulin	GO_0002923	1	1	1	0
regulation of humoral immune response	GO_0002920	1	1	1	0
regulation of gamma-delta T cell activation involved in immune response	GO_2001191	1	1	1	0
regulation of cytokine secretion involved in immune response	GO_0002739	1	1	1	0
regulation of cytokine production involved in immune response	GO_0002718	1	1	1	0
regulation of cytokine biosynthetic process involved in immune response	GO_0002742	1	1	1	0
regulation of complement activation, lectin pathway	GO_0001868	1	1	1	0
regulation of complement activation, classical pathway	GO_0030450	1	1	1	0
regulation of complement activation, alternative pathway	GO_0030451	1	1	1	0
regulation of complement activation	GO_0030449	1	1	1	0
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO_0002822	1	1	1	0
regulation of adaptive immune response	GO_0002819	1	1	1	0
regulation of T-helper 17 type immune response	GO_2000316	1	1	1	0
regulation of T-helper 1 type immune response	GO_0002825	1	1	1	0
regulation of T cell mediated immune response to tumor cell	GO_0002840	1	1	1	0
regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	GO_0032832	1	1	1	0
prostaglandin secretion involved in immune response	GO_0090323	1	1	1	0
positive regulation of type 2 immune response	GO_0002830	1	1	1	0
positive regulation of tolerance induction to nonself antigen	GO_0002657	1	1	1	0
positive regulation of tolerance induction dependent upon immune response	GO_0002654	1	1	1	0
positive regulation of prostaglandin secretion involved in immune response	GO_0061078	1	1	1	0
positive regulation of natural killer cell proliferation involved in immune response	GO_0032822	1	1	1	0
positive regulation of natural killer cell mediated immune response to tumor cell	GO_0002857	1	1	1	0
positive regulation of natural killer cell differentiation involved in immune response	GO_0032828	1	1	1	0
positive regulation of myeloid leukocyte cytokine production involved in immune response	GO_0061081	1	1	1	0
positive regulation of mast cell activation involved in immune response	GO_0033008	1	1	1	0
