name	ID	manual	auto	checked	blacklisted	is_obsolete
serotonin secretion involved in inflammatory response	GO_0002442	1	1	1	0	0
serotonin production involved in inflammatory response	GO_0002351	1	1	1	0	0
respiratory burst involved in inflammatory response	GO_0002536	1	1	1	0	0
regulation of vascular permeability involved in acute inflammatory response	GO_0002528	1	1	1	0	0
regulation of respiratory burst involved in inflammatory response	GO_0060264	1	1	1	0	0
regulation of leukotriene production involved in inflammatory response	GO_0035490	1	1	1	0	0
regulation of inflammatory response to antigenic stimulus	GO_0002861	1	1	1	0	0
regulation of inflammatory response by sphingosine-1-phosphate signaling pathway	GO_0003378	1	1	1	0	0
regulation of inflammatory response	GO_0050727	1	1	1	0	0
regulation of cytokine production involved in inflammatory response	GO_1900015	1	1	1	0	0
regulation of chronic inflammatory response to non-antigenic stimulus	GO_0002880	1	1	1	0	0
regulation of chronic inflammatory response to antigenic stimulus	GO_0002874	1	1	1	0	0
regulation of chronic inflammatory response	GO_0002676	1	1	1	0	0
regulation of acute inflammatory response to non-antigenic stimulus	GO_0002877	1	1	1	0	0
regulation of acute inflammatory response to antigenic stimulus	GO_0002864	1	1	1	0	0
regulation of acute inflammatory response	GO_0002673	1	1	1	0	0
prostaglandin production involved in inflammatory response	GO_0002539	1	1	1	0	0
production of molecular mediator involved in inflammatory response	GO_0002532	1	1	1	0	0
positive regulation of respiratory burst involved in inflammatory response	GO_0060265	1	1	1	0	0
positive regulation of leukotriene production involved in inflammatory response	GO_0035491	1	1	1	0	0
positive regulation of inflammatory response to antigenic stimulus	GO_0002863	1	1	1	0	0
positive regulation of inflammatory response	GO_0050729	1	1	1	0	0
positive regulation of cytokine production involved in inflammatory response	GO_1900017	1	1	1	0	0
positive regulation of chronic inflammatory response to non-antigenic stimulus	GO_0002882	1	1	1	0	0
positive regulation of chronic inflammatory response to antigenic stimulus	GO_0002876	1	1	1	0	0
positive regulation of chronic inflammatory response	GO_0002678	1	1	1	0	0
positive regulation of acute inflammatory response to non-antigenic stimulus	GO_0002879	1	1	1	0	0
positive regulation of acute inflammatory response to antigenic stimulus	GO_0002866	1	1	1	0	0
positive regulation of acute inflammatory response	GO_0002675	1	1	1	0	0
positive regulation by symbiont of host inflammatory response	GO_0052035	1	1	1	0	0
positive regulation by organism of inflammatory response of other organism involved in symbiotic interaction	GO_0052259	1	1	1	0	0
negative regulation of respiratory burst involved in inflammatory response	GO_0060266	1	1	1	0	0
negative regulation of leukotriene production involved in inflammatory response	GO_0035492	1	1	1	0	0
negative regulation of inflammatory response to antigenic stimulus	GO_0002862	1	1	1	0	0
negative regulation of inflammatory response	GO_0050728	1	1	1	0	0
negative regulation of cytokine production involved in inflammatory response	GO_1900016	1	1	1	0	0
negative regulation of chronic inflammatory response to non-antigenic stimulus	GO_0002881	1	1	1	0	0
negative regulation of chronic inflammatory response to antigenic stimulus	GO_0002875	1	1	1	0	0
negative regulation of chronic inflammatory response	GO_0002677	1	1	1	0	0
negative regulation of acute inflammatory response to non-antigenic stimulus	GO_0002878	1	1	1	0	0
negative regulation of acute inflammatory response to antigenic stimulus	GO_0002865	1	1	1	0	0
negative regulation of acute inflammatory response	GO_0002674	1	1	1	0	0
negative regulation by symbiont of host inflammatory response	GO_0052036	1	1	1	0	0
negative regulation by organism of inflammatory response of other organism involved in symbiotic interaction	GO_0052260	1	1	1	0	0
modulation by symbiont of host inflammatory response	GO_0052032	1	1	1	0	0
modulation by organism of inflammatory response of other organism involved in symbiotic interaction	GO_0052256	1	1	1	0	0
lysosomal enzyme secretion involved in inflammatory response	GO_0002533	1	1	1	0	0
lysosomal enzyme production involved in inflammatory response	GO_0002393	1	1	1	0	0
leukotriene production involved in inflammatory response	GO_0002540	1	1	1	0	0
inflammatory response to antigenic stimulus	GO_0002437	1	1	1	0	0
inflammatory response	GO_0006954	1	1	1	0	0
histamine secretion involved in inflammatory response	GO_0002441	1	1	1	0	0
histamine secretion by mast cell	GO_0002553	1	1	1	0	0
histamine production involved in inflammatory response	GO_0002349	1	1	1	0	0
cytokine production involved in inflammatory response	GO_0002534	1	1	1	0	0
chronic inflammatory response to non-antigenic stimulus	GO_0002545	1	1	1	0	0
chronic inflammatory response to antigenic stimulus	GO_0002439	1	1	1	0	0
chronic inflammatory response	GO_0002544	1	1	1	0	0
arachidonic acid metabolite production involved in inflammatory response	GO_0002538	1	1	1	0	0
acute inflammatory response to non-antigenic stimulus	GO_0002525	1	1	1	0	0
acute inflammatory response to antigenic stimulus	GO_0002438	1	1	1	0	0
acute inflammatory response	GO_0002526	1	1	1	0	0
activation of plasma proteins involved in acute inflammatory response	GO_0002541	1	1	1	0	0
regulation of interleukin-9 production	GO_0032678	1	0	1	0	0
regulation of interleukin-9 biosynthetic process	GO_0045417	1	0	1	0	0
regulation of interleukin-8 secretion	GO_2000482	1	0	1	0	0
regulation of interleukin-8 production	GO_0032677	1	0	1	0	0
regulation of interleukin-8 biosynthetic process	GO_0045414	1	0	1	0	0
regulation of interleukin-7 production	GO_0032676	1	0	1	0	0
regulation of interleukin-7 biosynthetic process	GO_0045411	1	0	1	0	0
