name	ID	manual	auto	checked	blacklisted	is_obsolete
interaction with host via substance secreted by type IV secretion system	GO_0052050	1	1	1	0	0
interaction with host via substance released outside of symbiont	GO_0044046	1	1	1	0	0
interaction with host via substance released by symbiont cytolysis	GO_0044051	1	1	1	0	0
interaction with host via substance released by sporangium lysis	GO_0044050	1	1	1	0	0
interaction with host via substance released by membrane budding	GO_0044052	1	1	1	0	0
interaction with host via substance in symbiont surface	GO_0044044	1	1	1	0	0
interaction with host via substance in symbiont cell outer membrane	GO_0044045	1	1	1	0	0
interaction with host via secreted substance released from stylet	GO_0085003	1	1	1	0	0
interaction with host via secreted substance released from rhoptry	GO_0085007	1	1	1	0	0
interaction with host via secreted substance released from microneme	GO_0085008	1	1	1	0	0
interaction with host via secreted substance released from invasive hyphae	GO_0085005	1	1	1	0	0
interaction with host via secreted substance released from haustorium	GO_0085004	1	1	1	0	0
interaction with host via secreted substance involved in symbiotic interaction	GO_0052048	1	1	1	0	0
interaction with host via protein secreted by type VII secretion system	GO_0085013	1	1	1	0	0
interaction with host via protein secreted by type VI secretion system	GO_0044049	1	1	1	0	0
interaction with host via protein secreted by type V secretion system	GO_0044048	1	1	1	0	0
interaction with host via protein secreted by type III secretion system	GO_0052049	1	1	1	0	0
interaction with host via protein secreted by type II secretion system	GO_0052051	1	1	1	0	0
interaction with host via protein secreted by type I secretion system	GO_0044047	1	1	1	0	0
interaction with host via protein secreted by Tat complex	GO_0085012	1	1	1	0	0
interaction with host via protein secreted by Sec complex	GO_0085011	1	1	1	0	0
interaction with host mediated by symbiont secreted substance released from symbiont-containing vacuole	GO_0085006	1	1	1	0	0
interaction with host mediated by symbiont secreted substance released from Maurer's cleft	GO_0085009	1	1	1	0	0
interaction with host mediated by secreted substance released by symbiont from symbiotic structure	GO_0085002	1	1	1	0	0
interaction with host mediated by secreted substance entering host via endocytosis	GO_0085010	1	1	1	0	0
interaction with host	GO_0051701	1	1	1	0	0
zoospore movement on or near host	GO_0075234	0	1	1	0	0
virus induced gene silencing	GO_0009616	0	1	1	0	0
viral transmission by vector	GO_0044009	0	1	1	0	0
viral mRNA cap methylation	GO_0039699	0	1	1	0	0
viral genome ejection through host cell envelope	GO_0039678	0	1	1	0	0
viral entry into host cell via pilus retraction and membrane fusion	GO_0039669	0	1	1	0	0
viral entry into host cell via pilus retraction	GO_0039667	0	1	1	0	0
viral entry into host cell via pilus basal pore	GO_0039668	0	1	1	0	0
viral entry into host cell	GO_0046718	0	1	1	0	0
transport of virus in multicellular host	GO_0046739	0	1	1	0	0
transport of virus in host, tissue to tissue	GO_0046741	0	1	1	0	0
transport of virus in host, cell to cell via plasmodesmata	GO_0039655	0	1	1	0	0
transport of virus in host, cell to cell	GO_0046740	0	1	1	0	0
transmission of virus	GO_0019089	0	1	1	0	0
translocation of peptides or proteins into host cell cytoplasm	GO_0044053	0	1	1	0	0
translocation of peptides or proteins into host	GO_0042000	0	1	1	0	0
translocation of molecules into host	GO_0044417	0	1	1	0	0
translocation of DNA into host	GO_0044418	0	1	1	0	0
transformation of host cell by virus	GO_0019087	0	1	1	0	0
transepithelial migration of symbiont in host	GO_0035756	0	1	1	0	0
symbiont intracellular protein transport in host	GO_0030581	0	1	1	0	0
symbiont entry into host cell forming a symbiont-containing vacuole	GO_0085017	0	1	1	0	0
suppression of host defenses	GO_0044414	0	1	1	0	0
suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway	GO_0039537	0	1	1	0	0
suppression by virus of host type I interferon-mediated signaling pathway	GO_0039502	0	1	1	0	0
suppression by virus of host type I interferon production	GO_0039501	0	1	1	0	0
suppression by virus of host translation termination	GO_0046773	0	1	1	0	0
suppression by virus of host translation initiation factor activity by induction of host protein dephosphorylation	GO_0039608	0	1	1	0	0
suppression by virus of host translation initiation factor activity	GO_0039611	0	1	1	0	0
suppression by virus of host translation initiation	GO_0039606	0	1	1	0	0
