name	ID	manual	auto	checked	blacklisted	is_obsolete
interaction with symbiont via secreted substance involved in symbiotic interaction	GO_0052213	1	1	1	0	0
interaction with symbiont	GO_0051702	1	1	1	0	0
interaction with symbiont via protein secreted by type IV secretion system	GO_0052326	1	0	1	1	1
interaction with symbiont via protein secreted by type III secretion system	GO_0052328	1	0	1	1	1
interaction with symbiont via protein secreted by type II secretion system	GO_0052327	1	0	1	1	1
interaction with other organism via substance secreted by type IV secretion system involved in symbiotic interaction	GO_0052209	1	0	1	0	0
interaction with other organism via secreted substance involved in symbiotic interaction	GO_0052047	1	0	1	0	0
interaction with other organism via protein secreted by type III secretion system involved in symbiotic interaction	GO_0052210	1	0	1	0	0
interaction with other organism via protein secreted by type II secretion system involved in symbiotic interaction	GO_0052211	1	0	1	0	0
translocation of peptides or proteins into symbiont	GO_0051844	0	1	0	0	0
translocation of molecules into symbiont	GO_0051862	0	1	0	0	0
suppression of symbiont defenses	GO_0051859	0	1	0	0	0
suppression by virus of host protein tyrosine kinase activity	GO_0039512	0	1	0	0	0
suppression by virus of host protein kinase activity	GO_0039584	0	1	0	0	0
suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process	GO_0039650	0	1	0	0	0
suppression by virus of host catalytic activity	GO_0039513	0	1	0	0	0
suppression by virus of host TYK2 activity by negative regulation of TYK2 tyrosine phosphorylation	GO_0039575	0	1	0	0	0
suppression by virus of host TYK2 activity	GO_0039574	0	1	0	0	0
suppression by virus of host TBK1 activity	GO_0039723	0	1	0	0	0
suppression by virus of host PKR activity via double-stranded RNA binding	GO_0039581	0	1	0	0	0
suppression by virus of host PKR activity by positive regulation of PKR nuclear localization	GO_0039582	0	1	0	0	0
suppression by virus of host PKR activity by positive regulation of PKR catabolic process	GO_0039583	0	1	0	0	0
suppression by virus of host PKR activity	GO_0039580	0	1	0	0	0
suppression by virus of host JAK1 activity via JAK1 binding	GO_0039578	0	1	0	0	0
suppression by virus of host JAK1 activity by negative regulation of JAK1 phosphorylation	GO_0039577	0	1	0	0	0
suppression by virus of host JAK1 activity	GO_0039576	0	1	0	0	0
suppression by virus of host ATP-dependent RNA helicase activity	GO_0039510	0	1	0	0	0
recognition of symbiont	GO_0051855	0	1	0	0	0
positive regulation by symbiont of host catalytic activity	GO_0043948	0	1	0	0	0
positive regulation by symbiont of host adenylate cyclase activity	GO_0075107	0	1	0	0	0
positive regulation by host of viral transcription	GO_0043923	0	1	0	0	0
positive regulation by host of viral release from host cell	GO_0044791	0	1	0	0	0
positive regulation by host of viral process	GO_0044794	0	1	0	0	0
positive regulation by host of viral genome replication	GO_0044829	0	1	0	0	0
positive regulation by host of symbiont type IV pilus-dependent motility	GO_0097616	0	1	0	0	0
