name	ID	manual	auto	checked	blacklisted	is_obsolete
positive regulation of intestinal cholesterol absorption	GO_0045797	1	1	1	0	0
negative regulation of intestinal phytosterol absorption	GO_0010949	1	1	1	0	0
negative regulation of intestinal cholesterol absorption	GO_0045796	1	1	1	0	0
intestinal phytosterol absorption	GO_0060752	1	1	1	0	0
intestinal lipid catabolic process	GO_0044258	1	1	1	0	0
intestinal cholesterol absorption	GO_0030299	1	1	1	0	0
intestinal absorption	GO_0050892	1	1	1	0	0
positive regulation of vasoactive intestinal polypeptide receptor activity in other organism	GO_0044518	1	0	1	0	0
modulation of vasoactive intestinal polypeptide receptor activity in other organism	GO_0044517	1	0	1	0	0
envenomation resulting in positive regulation of vasoactive intestinal polypeptide receptor activity in other organism	GO_0044520	1	0	1	0	0
envenomation resulting in modulation of vasoactive intestinal polypeptide receptor activity in other organism	GO_0044519	1	0	1	0	0
wall of small intestine	UBERON_0001168	0	1	0	0	0
wall of large intestine	UBERON_0001169	0	1	0	0	0
wall of intestine	UBERON_0001262	0	1	0	0	0
transverse colon	UBERON_0001157	0	1	0	0	0
tolerance induction in Peyer's patch	GO_0002389	0	1	1	1	1
submucosa of transverse colon	UBERON_0004930	0	1	0	0	0
submucosa of small intestine	UBERON_0001205	0	1	0	0	0
submucosa of sigmoid colon	UBERON_0004932	0	1	0	0	0
submucosa of rectum	UBERON_0003330	0	1	0	0	0
submucosa of large intestine	UBERON_0001208	0	1	0	0	0
submucosa of duodenum	UBERON_0003332	0	1	0	0	0
submucosa of descending colon	UBERON_0004931	0	1	0	0	0
submucosa of colon	UBERON_0003331	0	1	0	0	0
submucosa of cecum	UBERON_0004927	0	1	0	0	0
submucosa of ascending colon	UBERON_0004929	0	1	0	0	0
submucosa of anal canal	UBERON_0003329	0	1	0	0	0
sphincter of hepatopancreatic ampulla	UBERON_0004915	0	1	0	0	0
small intestine smooth muscle	UBERON_0004239	0	1	0	0	0
small intestine Peyer's patch	UBERON_0003454	0	1	0	0	0
small intestine	UBERON_0002108	0	1	0	0	0
sigmoid colon	UBERON_0001159	0	1	0	0	0
serosa of small intestine	UBERON_0001206	0	1	0	0	0
serosa of rectum	UBERON_0003334	0	1	0	0	0
serosa of large intestine	UBERON_0001209	0	1	0	0	0
serosa of intestine	UBERON_0001243	0	1	0	0	0
serosa of duodenum	UBERON_0003336	0	1	0	0	0
serosa of colon	UBERON_0003335	0	1	0	0	0
segment of colon	UBERON_0000168	0	1	0	0	0
regulation of intestinal cholesterol absorption	GO_0030300	0	1	0	0	0
rectum smooth muscle tissue	UBERON_0018112	0	1	0	0	0
rectum	UBERON_0001052	0	1	0	0	0
rectal lumen	UBERON_0009670	0	1	0	0	0
peyer's patch follicle	UBERON_0010386	0	1	0	0	0
pectinate line	UBERON_0006574	0	1	0	0	0
muscle layer of small intestine	UBERON_0011201	0	1	0	0	0
muscle layer of rectum	UBERON_0018111	0	1	0	0	0
muscle layer of large intestine	UBERON_0011198	0	1	0	0	0
muscle layer of intestine	UBERON_0012367	0	1	0	0	0
muscle layer of duodenum	UBERON_0012488	0	1	0	0	0
muscle layer of colon	UBERON_0012489	0	1	0	0	0
muscle layer of anal canal	UBERON_0012490	0	1	0	0	0
mucosa of transverse colon	UBERON_0004991	0	1	0	0	0
mucosa of small intestine	UBERON_0001204	0	1	0	0	0
mucosa of sigmoid colon	UBERON_0004993	0	1	0	0	0
mucosa of rectum	UBERON_0003346	0	1	0	0	0
mucosa of large intestine	UBERON_0001207	0	1	0	0	0
mucosa of descending colon	UBERON_0004992	0	1	0	0	0
mucosa of ascending colon	UBERON_0004990	0	1	0	0	0
mucosa of anal canal	UBERON_0003342	0	1	0	0	0
midgut duodenum mesentery	UBERON_0005712	0	1	0	0	0
