name	ID	manual	auto	checked	blacklisted	is_obsolete
magnesium ion binding	GO_0000287	1	1	1	0	0
zinc ion binding	GO_0008270	0	1	1	0	0
vanadium ion binding	GO_0051212	0	1	1	0	0
transition metal ion binding	GO_0046914	0	1	1	0	0
superoxide dismutase copper chaperone activity	GO_0016532	0	1	1	0	0
sodium ion binding	GO_0031402	0	1	1	0	0
potassium ion binding	GO_0030955	0	1	1	0	0
nickel cation binding	GO_0016151	0	1	1	0	0
molybdenum ion binding	GO_0030151	0	1	1	0	0
metal ion binding	GO_0046872	0	1	1	0	0
metal chelating activity	GO_0046911	0	1	1	0	0
mercury ion binding	GO_0045340	0	1	1	0	0
manganese ion binding	GO_0030145	0	1	1	0	0
lithium ion binding	GO_0031403	0	1	1	0	0
lead ion binding	GO_0032791	0	1	1	0	0
iron ion binding	GO_0005506	0	1	1	0	0
iron chaperone activity	GO_0034986	0	1	1	0	0
ferrous iron binding	GO_0008198	0	1	1	0	0
ferric iron binding	GO_0008199	0	1	1	0	0
cuprous ion binding	GO_1903136	0	1	1	0	0
cupric ion binding	GO_1903135	0	1	1	0	0
copper ion sensor activity	GO_0097077	0	1	1	0	0
copper ion binding	GO_0005507	0	1	1	0	0
copper chaperone activity	GO_0016531	0	1	1	0	0
cobalt ion binding	GO_0050897	0	1	1	0	0
calcium ion binding	GO_0005509	0	1	1	0	0
cadmium ion sensor activity	GO_0097063	0	1	1	0	0
cadmium ion binding	GO_0046870	0	1	1	0	0
alkali metal ion binding	GO_0031420	0	1	1	0	0
