name	ID	manual	auto	checked	blacklisted	is_obsolete
cellular potassium ion homeostasis	GO_0030007	1	1	1	0	0
cellular phosphate ion homeostasis	GO_0030643	1	1	1	0	0
cellular nickel ion homeostasis	GO_0035785	1	1	1	0	0
cellular monovalent inorganic cation homeostasis	GO_0030004	1	1	1	0	0
cellular monovalent inorganic anion homeostasis	GO_0030320	1	1	1	0	0
cellular manganese ion homeostasis	GO_0030026	1	1	1	0	0
cellular magnesium ion homeostasis	GO_0010961	1	1	1	0	0
cellular iron ion homeostasis	GO_0006879	1	1	1	0	0
cellular divalent inorganic cation homeostasis	GO_0072503	1	1	1	0	0
cellular divalent inorganic anion homeostasis	GO_0072501	1	1	1	0	0
cellular copper ion homeostasis	GO_0006878	1	1	1	0	0
cellular cobalt ion homeostasis	GO_0006877	1	1	1	0	0
cellular chloride ion homeostasis	GO_0030644	1	1	1	0	0
cellular calcium ion homeostasis	GO_0006874	1	1	1	0	0
cellular cadmium ion homeostasis	GO_0006876	1	1	1	0	0
aluminum ion homeostasis	GO_0055079	1	1	1	0	0
cellular response to iron(III) ion	GO_0071283	1	0	1	0	0
cellular response to iron(II) ion	GO_0071282	1	0	1	0	0
cellular response to iron ion starvation	GO_0010106	1	0	1	0	0
cellular response to iron ion	GO_0071281	1	0	1	0	0
cellular potassium ion transport	GO_0071804	1	0	1	0	0
cellular nitrogen compound metabolic process	GO_0034641	1	0	1	0	0
cellular nitrogen compound catabolic process	GO_0044270	1	0	1	0	0
cellular nitrogen compound biosynthetic process	GO_0044271	1	0	1	0	0
cellular ion homeostasis	GO_0006873	1	0	1	0	0
cellular di-, tri-valent inorganic cation homeostasis	GO_0030005	1	0	1	1	1
cellular di-, tri-valent inorganic anion homeostasis	GO_0030319	1	0	1	1	1
cellular cation homeostasis	GO_0030003	1	0	1	0	0
aluminum cation transport	GO_0015690	1	0	1	0	0
zinc ion homeostasis	GO_0055069	0	1	0	0	0
vacuolar calcium ion homeostasis	GO_0007036	0	1	0	0	0
vacuolar acidification	GO_0007035	0	1	0	0	0
trivalent inorganic cation homeostasis	GO_0072508	0	1	0	0	0
trivalent inorganic anion homeostasis	GO_0072506	0	1	0	0	0
transition metal ion homeostasis	GO_0055076	0	1	0	0	0
synaptic vesicle lumen acidification	GO_0097401	0	1	0	0	0
sulfide ion homeostasis	GO_0070218	0	1	0	0	0
sulfate ion homeostasis	GO_0055063	0	1	0	0	0
sodium ion homeostasis	GO_0055078	0	1	0	0	0
smooth endoplasmic reticulum calcium ion homeostasis	GO_0051563	0	1	0	0	0
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	GO_0014808	0	1	0	0	0
release of sequestered calcium ion into cytosol	GO_0051209	0	1	0	0	0
regulation of potassium ion concentration by positive regulation of transcription from RNA polymerase II promoter	GO_0097301	0	1	0	0	0
regulation of pH	GO_0006885	0	1	0	0	0
regulation of lysosomal lumen pH	GO_0035751	0	1	0	0	0
regulation of intracellular pH	GO_0051453	0	1	0	0	0
regulation of cellular pH	GO_0030641	0	1	0	0	0
potassium ion homeostasis	GO_0055075	0	1	0	0	0
positive regulation of smooth endoplasmic reticulum calcium ion concentration	GO_0051564	0	1	0	0	0
positive regulation of mitochondrial calcium ion concentration	GO_0051561	0	1	0	0	0
