name	ID	manual	auto	checked	blacklisted	is_obsolete
transition metal ion transport	GO_0000041	1	1	1	0	0
low-affinity zinc ion transmembrane transporter activity	GO_0000007	1	1	1	0	0
high-affinity zinc uptake transmembrane transporter activity	GO_0000006	1	1	1	0	0
zinc-exporting ATPase activity	GO_0016463	0	1	1	0	0
zinc transporting ATPase activity	GO_0015633	0	1	1	0	0
zinc ion transport	GO_0006829	0	1	1	0	0
zinc ion transmembrane transporter activity	GO_0005385	0	1	1	0	0
zinc ion transmembrane transport	GO_0071577	0	1	1	0	0
zinc ion transmembrane import	GO_0071578	0	1	1	0	0
zinc efflux transmembrane transporter activity	GO_0022883	0	1	1	0	0
zinc efflux active transmembrane transporter activity	GO_0015341	0	1	1	0	0
xylem-to-phloem iron transport	GO_1990388	0	1	1	0	0
voltage-gated sodium channel activity involved in cardiac muscle cell action potential	GO_0086006	0	1	1	0	0
voltage-gated sodium channel activity involved in bundle of His cell action potential	GO_0086061	0	1	1	0	0
voltage-gated sodium channel activity involved in SA node cell action potential	GO_0086063	0	1	1	0	0
voltage-gated sodium channel activity involved in Purkinje myocyte action potential	GO_0086062	0	1	1	0	0
voltage-gated sodium channel activity involved in AV node cell action potential	GO_0086060	0	1	1	0	0
voltage-gated sodium channel activity	GO_0005248	0	1	1	0	0
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	GO_1902282	0	1	1	0	0
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	GO_0086008	0	1	1	0	0
voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization	GO_0086087	0	1	1	0	0
voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	GO_0086089	0	1	1	0	0
voltage-gated potassium channel activity involved in SA node cell action potential repolarization	GO_0086090	0	1	1	0	0
voltage-gated potassium channel activity involved in SA node cell action potential depolarization	GO_0086041	0	1	1	0	0
voltage-gated potassium channel activity involved in Purkinje myocyte action potential repolarization	GO_0086088	0	1	1	0	0
voltage-gated potassium channel activity involved in AV node cell action potential repolarization	GO_0086086	0	1	1	0	0
voltage-gated potassium channel activity	GO_0005249	0	1	1	0	0
voltage-gated calcium channel activity involved in cardiac muscle cell action potential	GO_0086007	0	1	1	0	0
voltage-gated calcium channel activity involved in bundle of His cell action potential	GO_0086057	0	1	1	0	0
voltage-gated calcium channel activity involved in Purkinje myocyte cell action potential	GO_0086058	0	1	1	0	0
voltage-gated calcium channel activity involved in AV node cell action potential	GO_0086056	0	1	1	0	0
voltage-gated calcium channel activity involved SA node cell action potential	GO_0086059	0	1	1	0	0
voltage-gated calcium channel activity	GO_0005245	0	1	1	0	0
vanadium ion transport	GO_0015676	0	1	1	0	0
vanadium ion transmembrane transporter activity	GO_0015100	0	1	1	0	0
urea:sodium symporter activity	GO_0015401	0	1	1	0	0
transition metal ion transmembrane transporter activity	GO_0046915	0	1	1	0	0
transferrin transport	GO_0033572	0	1	1	0	0
transferrin transmembrane transporter activity	GO_0033570	0	1	1	0	0
taurine:sodium symporter activity	GO_0005369	0	1	1	0	0
stretch-activated, cation-selective, calcium channel activity involved in regulation of cardiac muscle cell action potential	GO_0097365	0	1	1	0	0
