name	ID	manual	auto	checked	blacklisted	is_obsolete
low-affinity iron ion transmembrane transport	GO_0000040	1	1	1	0	0
iron ion transport	GO_0006826	1	1	1	0	0
iron ion transmembrane transport	GO_0034755	1	1	1	0	0
iron ion import	GO_0097286	1	1	1	0	0
iron assimilation by reduction and transport	GO_0033215	1	1	1	0	0
iron assimilation by chelation and transport	GO_0033214	1	1	1	0	0
iron assimilation by capture and transport	GO_0033213	1	1	1	0	0
iron assimilation	GO_0033212	1	1	1	0	0
high-affinity iron ion transmembrane transport	GO_0006827	1	1	1	0	0
high-affinity ferric iron transport	GO_0015683	1	1	1	0	0
ferrous iron uptake transmembrane transporter activity	GO_0015639	1	1	1	0	0
ferrous iron transport	GO_0015684	1	1	1	0	0
ferrous iron transmembrane transporter activity	GO_0015093	1	1	1	0	0
ferrous iron import into cell	GO_0097460	1	1	1	0	0
ferrous iron import	GO_0070627	1	1	1	0	0
ferrous iron binding	GO_0008198	1	1	1	0	0
ferric iron transport	GO_0015682	1	1	1	0	0
ferric iron import	GO_0033216	1	1	1	0	0
iron-sulfur-molybdenum cofactor metabolic process	GO_1901286	1	0	1	0	0
iron-sulfur-molybdenum cofactor catabolic process	GO_1901287	1	0	1	0	0
iron-sulfur-molybdenum cofactor biosynthetic process	GO_1901288	1	0	1	0	0
iron-sulfur-molybdenum cofactor assembly	GO_0044593	1	0	1	0	0
iron-sulfur cluster assembly	GO_0016226	1	0	1	0	0
iron ion homeostasis	GO_0055072	1	0	1	0	0
iron incorporation into the Rieske iron-sulfur cluster via bis-L-cysteinyl bis-L-histidino diiron disulfide	GO_0018299	1	0	1	0	0
iron incorporation into protein via tetrakis-L-cysteinyl iron	GO_0018284	1	0	1	0	0
iron incorporation into metallo-sulfur cluster	GO_0018283	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-serinyl tetrairon tetrasulfide	GO_0018305	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-cysteine persulfido-bis-L-glutamato-L-histidino tetrairon	GO_0018301	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-aspartato tetrairon tetrasulfide	GO_0018304	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-aspartato diiron disulfide	GO_0046869	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-N3'-histidino tetrairon tetrasulfide	GO_0018303	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-N1'-histidino tetrairon tetrasulfide	GO_0018302	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl triiron tetrasulfide	GO_0018287	1	0	1	0	0
iron incorporation into iron-sulfur cluster via tris-L-cysteinyl S-adenosylmethion-N,O-diyl tetrairon tetrasulfide	GO_0050835	1	0	1	0	0
