name	ID	manual	auto	checked	blacklisted	is_obsolete
negative regulation of keratinocyte proliferation	GO_0010839	1	1	1	0	0
negative regulation of keratinocyte migration	GO_0051548	1	1	1	0	0
negative regulation of keratinocyte differentiation	GO_0045617	1	1	1	0	0
keratinocyte proliferation	GO_0043616	1	1	1	0	0
keratinocyte migration	GO_0051546	1	1	1	0	0
keratinocyte differentiation	GO_0030216	1	1	1	0	0
keratinocyte development	GO_0003334	1	1	1	0	0
keratinocyte apoptotic process	GO_0097283	1	1	1	0	0
keratinocyte activation	GO_0032980	1	1	1	0	0
regulation of keratinocyte proliferation	GO_0010837	0	1	0	0	0
regulation of keratinocyte migration	GO_0051547	0	1	0	0	0
regulation of keratinocyte differentiation	GO_0045616	0	1	0	0	0
regulation of keratinocyte apoptotic process	GO_1902172	0	1	0	0	0
positive regulation of keratinocyte proliferation	GO_0010838	0	1	0	0	0
positive regulation of keratinocyte migration	GO_0051549	0	1	0	0	0
positive regulation of keratinocyte differentiation	GO_0045618	0	1	0	0	0
positive regulation of keratinocyte apoptotic process	GO_1902174	0	1	0	0	0
negative regulation of keratinocyte apoptotic process	GO_1902173	0	1	0	0	0
limb spinous cell differentiation	GO_0060890	0	1	1	0	0
limb granular cell differentiation	GO_0060891	0	1	1	0	0
epidermal lamellar body membrane	GO_0097234	0	1	0	0	0
epidermal lamellar body	GO_0097209	0	1	0	0	0
