name	ID	manual	auto	checked	blacklisted
specification of proximal tubule identity	GO_0072082	1	1	1	0
specification of pronephric tubule identity	GO_0039005	1	1	1	0
specification of pronephric proximal tubule identity	GO_0039004	1	1	1	0
specification of pronephric distal tubule identity	GO_0039010	1	1	1	0
specification of posterior mesonephric tubule identity	GO_0072169	1	1	1	0
specification of nephron tubule identity	GO_0072081	1	1	1	0
specification of metanephric proximal tubule identity	GO_0072297	1	1	1	0
specification of metanephric nephron tubule identity	GO_0072293	1	1	1	0
specification of metanephric loop of Henle identity	GO_0072296	1	1	1	0
specification of metanephric distal tubule identity	GO_0072295	1	1	1	0
specification of metanephric connecting tubule identity	GO_0072294	1	1	1	0
specification of mesonephric tubule identity	GO_0072167	1	1	1	0
specification of mesonephric proximal tubule identity	GO_0061284	1	1	1	0
specification of mesonephric nephron tubule identity	GO_0061282	1	1	1	0
specification of mesonephric distal tubule identity	GO_0061283	1	1	1	0
specification of mesonephric connecting tubule identity	GO_0061281	1	1	1	0
specification of distal tubule identity	GO_0072084	1	1	1	0
renal vesicle progenitor cell differentiation	GO_0072184	1	1	1	0
renal vesicle morphogenesis	GO_0072077	1	1	1	0
renal vesicle induction	GO_0072034	1	1	1	0
renal vesicle formation	GO_0072033	1	1	1	0
renal vesicle development	GO_0072087	1	1	1	0
renal outer medulla development	GO_0072054	1	1	1	0
renal interstitial fibroblast fate commitment	GO_0072153	1	1	1	0
renal interstitial fibroblast development	GO_0072141	1	1	1	0
renal inner medulla development	GO_0072053	1	1	1	0
renal cortex development	GO_0072055	1	1	1	0
renal capsule specification	GO_0072130	1	1	1	0
renal capsule morphogenesis	GO_0072128	1	1	1	0
renal capsule formation	GO_0072129	1	1	1	0
renal capsule development	GO_0072127	1	1	1	0
regulation of transcription from RNA polymerase II promoter involved in kidney development	GO_0060994	1	1	1	0
regulation of metanephric ureteric bud development	GO_2001074	1	1	1	0
regulation of metanephric glomerulus development	GO_0072298	1	1	1	0
regulation of metanephric glomerular mesangial cell proliferation	GO_0072301	1	1	1	0
regulation of metanephric comma-shaped body morphogenesis	GO_2000006	1	1	1	0
regulation of metanephric S-shaped body morphogenesis	GO_2000004	1	1	1	0
regulation of metanephric DCT cell differentiation	GO_2000592	1	1	1	0
regulation of mesonephric glomerulus development	GO_2000087	1	1	1	0
regulation of mesonephric glomerular mesangial cell proliferation	GO_2000090	1	1	1	0
regulation of kidney smooth muscle cell differentiation	GO_2000356	1	1	1	0
regulation of kidney size	GO_0035564	1	1	1	0
regulation of kidney development	GO_0090183	1	1	1	0
regulation of glomerulus development	GO_0090192	1	1	1	0
regulation of glomerular mesangial cell proliferation	GO_0072124	1	1	1	0
regulation of cell proliferation involved in kidney morphogenesis	GO_0061006	1	1	1	0
regulation of apoptotic process involved in metanephric nephron tubule development	GO_1900217	1	1	1	0
regulation of apoptotic process involved in metanephric collecting duct development	GO_1900214	1	1	1	0
proximal/distal pattern formation involved in pronephric nephron development	GO_0072196	1	1	1	0
proximal/distal pattern formation involved in nephron development	GO_0072047	1	1	1	0
proximal/distal pattern formation involved in metanephric nephron development	GO_0072272	1	1	1	0
proximal/distal pattern formation involved in mesonephric nephron development	GO_0061226	1	1	1	0
proximal tubule morphogenesis	GO_0072158	1	1	1	0
proximal tubule development	GO_0072014	1	1	1	0
proximal straight tubule development	GO_0072020	1	1	1	0
proximal convoluted tubule segment 2 development	GO_0072032	1	1	1	0
proximal convoluted tubule segment 1 development	GO_0072031	1	1	1	0
proximal convoluted tubule segment 1 cell fate commitment	GO_0072154	1	1	1	0
proximal convoluted tubule segment 1 cell differentiation	GO_0072062	1	1	1	0
proximal convoluted tubule segment 1 cell development	GO_0072145	1	1	1	0
proximal convoluted tubule development	GO_0072019	1	1	1	0
pronephric proximal tubule morphogenesis	GO_0039011	1	1	1	0
pronephric proximal tubule development	GO_0035776	1	1	1	0
pronephric nephron tubule morphogenesis	GO_0039008	1	1	1	0
pronephric nephron tubule formation	GO_0039006	1	1	1	0
pronephric nephron tubule development	GO_0039020	1	1	1	0
pronephric glomerulus morphogenesis	GO_0035775	1	1	1	0
pronephric glomerulus development	GO_0039021	1	1	1	0
pronephric distal tubule morphogenesis	GO_0039013	1	1	1	0
pronephric distal tubule development	GO_0035777	1	1	1	0
positive regulation of metanephric ureteric bud development	GO_2001076	1	1	1	0
positive regulation of metanephric glomerulus development	GO_0072300	1	1	1	0
positive regulation of metanephric DCT cell differentiation	GO_2000594	1	1	1	0
positive regulation of mesonephric glomerulus development	GO_2000089	1	1	1	0
positive regulation of mesonephric glomerular mesangial cell proliferation	GO_2000092	1	1	1	0
positive regulation of kidney smooth muscle cell differentiation	GO_2000358	1	1	1	0
positive regulation of kidney development	GO_0090184	1	1	1	0
positive regulation of glomerulus development	GO_0090193	1	1	1	0
positive regulation of glomerular metanephric mesangial cell proliferation	GO_0072303	1	1	1	0
positive regulation of glomerular mesangial cell proliferation	GO_0072126	1	1	1	0
positive regulation of apoptotic process involved in metanephric nephron tubule development	GO_1900219	1	1	1	0
positive regulation of apoptotic process involved in metanephric collecting duct development	GO_1900216	1	1	1	0
pattern specification involved in kidney development	GO_0061004	1	1	1	0
nephron tubule morphogenesis	GO_0072078	1	1	1	0
nephron tubule formation	GO_0072079	1	1	1	0
nephron tubule development	GO_0072080	1	1	1	0
negative regulation of pronephric nephron tubule development	GO_1900207	1	1	1	0
negative regulation of metanephric ureteric bud development	GO_2001075	1	1	1	0
negative regulation of metanephric glomerulus development	GO_0072299	1	1	1	0
negative regulation of metanephric glomerular mesangial cell proliferation	GO_0072302	1	1	1	0
negative regulation of metanephric comma-shaped body morphogenesis	GO_2000007	1	1	1	0
negative regulation of metanephric S-shaped body morphogenesis	GO_2000005	1	1	1	0
negative regulation of metanephric DCT cell differentiation	GO_2000593	1	1	1	0
negative regulation of mesonephric glomerulus development	GO_2000088	1	1	1	0
negative regulation of mesonephric glomerular mesangial cell proliferation	GO_2000091	1	1	1	0
