name	ID	manual	auto	checked	blacklisted
xylulokinase activity	GO_0004856	1	1	1	0
vascular endothelial growth factor-activated receptor activity	GO_0005021	1	1	1	0
uridylate kinase activity	GO_0009041	1	1	1	0
uridine kinase activity	GO_0004849	1	1	1	0
triokinase activity	GO_0050354	1	1	1	0
transmembrane-ephrin receptor activity	GO_0005005	1	1	1	0
transmembrane receptor protein tyrosine kinase activity	GO_0004714	1	1	1	0
transmembrane receptor protein serine/threonine kinase activity	GO_0004675	1	1	1	0
transforming growth factor beta-activated receptor activity	GO_0005024	1	1	1	0
transforming growth factor beta receptor activity, type III	GO_0070123	1	1	1	0
transforming growth factor beta receptor activity, type II	GO_0005026	1	1	1	0
transforming growth factor beta receptor activity, type I	GO_0005025	1	1	1	0
thymidylate kinase activity	GO_0004798	1	1	1	0
thymidine kinase activity	GO_0004797	1	1	1	0
tau-protein kinase activity	GO_0050321	1	1	1	0
stem cell factor receptor activity	GO_0005020	1	1	1	0
sphinganine kinase activity	GO_0008481	1	1	1	0
selenide, water dikinase activity	GO_0004756	1	1	1	0
sedoheptulokinase activity	GO_0050277	1	1	1	0
ribosylnicotinamide kinase activity	GO_0050262	1	1	1	0
ribosomal protein S6 kinase activity	GO_0004711	1	1	1	0
ribokinase activity	GO_0004747	1	1	1	0
riboflavin kinase activity	GO_0008531	1	1	1	0
rhodopsin kinase activity	GO_0050254	1	1	1	0
receptor signaling protein tyrosine kinase activity	GO_0004716	1	1	1	0
receptor signaling protein serine/threonine kinase activity	GO_0004702	1	1	1	0
pyruvate kinase activity	GO_0004743	1	1	1	0
pyruvate dehydrogenase (acetyl-transferring) kinase activity	GO_0004740	1	1	1	0
pyridoxal kinase activity	GO_0008478	1	1	1	0
protein tyrosine kinase collagen receptor activity	GO_0038062	1	1	1	0
protein tyrosine kinase activity	GO_0004713	1	1	1	0
protein serine/threonine/tyrosine kinase activity	GO_0004712	1	1	1	0
protein serine/threonine kinase activity	GO_0004674	1	1	1	0
protein kinase activity	GO_0004672	1	1	1	0
protein kinase C activity	GO_0004697	1	1	1	0
protein histidine kinase activity	GO_0004673	1	1	1	0
polynucleotide 5'-hydroxyl-kinase activity	GO_0051731	1	1	1	0
polydeoxyribonucleotide kinase activity	GO_0051733	1	1	1	0
polo kinase kinase activity	GO_0042801	1	1	1	0
platelet-derived growth factor-activated receptor activity	GO_0005017	1	1	1	0
platelet-derived growth factor beta-receptor activity	GO_0005019	1	1	1	0
platelet-derived growth factor alpha-receptor activity	GO_0005018	1	1	1	0
placental growth factor-activated receptor activity	GO_0036332	1	1	1	0
phosphorylase kinase activity	GO_0004689	1	1	1	0
phosphorelay sensor kinase activity	GO_0000155	1	1	1	0
phosphomevalonate kinase activity	GO_0004631	1	1	1	0
phosphoglycerate kinase activity	GO_0004618	1	1	1	0
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	GO_0046934	1	1	1	0
phosphatidylinositol phosphate kinase activity	GO_0016307	1	1	1	0
phosphatidylinositol 3-kinase activity	GO_0035004	1	1	1	0
pantothenate kinase activity	GO_0004594	1	1	1	0
nucleotide kinase activity	GO_0019201	1	1	1	0
nucleoside triphosphate adenylate kinase activity	GO_0046899	1	1	1	0
nucleoside phosphotransferase activity	GO_0050146	1	1	1	0
nucleoside phosphate kinase activity	GO_0050145	1	1	1	0
nucleoside kinase activity	GO_0019206	1	1	1	0
nucleoside diphosphate kinase activity	GO_0004550	1	1	1	0
nucleobase-containing compound kinase activity	GO_0019205	1	1	1	0
non-membrane spanning protein tyrosine kinase activity	GO_0004715	1	1	1	0
myosin light chain kinase activity	GO_0004687	1	1	1	0
mevalonate kinase activity	GO_0004496	1	1	1	0
mannokinase activity	GO_0019158	1	1	1	0
macrophage colony-stimulating factor receptor activity	GO_0005011	1	1	1	0
lipid kinase activity	GO_0001727	1	1	1	0
kinase activity	GO_0016301	1	1	1	0
ketohexokinase activity	GO_0004454	1	1	1	0
insulin-like growth factor-activated receptor activity	GO_0005010	1	1	1	0
insulin-activated receptor activity	GO_0005009	1	1	1	0
inositol-3,4,6-trisphosphate 1-kinase activity	GO_0052835	1	1	1	0
inositol-1,4,5-trisphosphate 6-kinase activity	GO_0000823	1	1	1	0
inositol-1,4,5-trisphosphate 3-kinase activity	GO_0008440	1	1	1	0
inositol-1,3,4-trisphosphate 6-kinase activity	GO_0052725	1	1	1	0
inositol-1,3,4-trisphosphate 5-kinase activity	GO_0052726	1	1	1	0
inositol tetrakisphosphate 6-kinase activity	GO_0000825	1	1	1	0
inositol tetrakisphosphate 3-kinase activity	GO_0000824	1	1	1	0
inositol tetrakisphosphate 1-kinase activity	GO_0047325	1	1	1	0
inositol pentakisphosphate 2-kinase activity	GO_0035299	1	1	1	0
inositol hexakisphosphate kinase activity	GO_0000828	1	1	1	0
inositol hexakisphosphate 6-kinase activity	GO_0000831	1	1	1	0
inositol hexakisphosphate 5-kinase activity	GO_0000832	1	1	1	0
inositol hexakisphosphate 4-kinase activity	GO_0000830	1	1	1	0
inositol hexakisphosphate 3-kinase activity	GO_0052724	1	1	1	0
inositol hexakisphosphate 1-kinase activity	GO_0052723	1	1	1	0
hydroxylysine kinase activity	GO_0047992	1	1	1	0
histone serine kinase activity	GO_0035174	1	1	1	0
histone kinase activity (H3-Y41 specific)	GO_0035401	1	1	1	0
histone kinase activity (H3-T6 specific)	GO_0035403	1	1	1	0
histone kinase activity (H3-T3 specific)	GO_0072354	1	1	1	0
histone kinase activity (H3-T11 specific)	GO_0035402	1	1	1	0
histone kinase activity	GO_0035173	1	1	1	0
hexokinase activity	GO_0004396	1	1	1	0
hepatocyte growth factor-activated receptor activity	GO_0005008	1	1	1	0
guanylate kinase activity	GO_0004385	1	1	1	0
glycerone kinase activity	GO_0004371	1	1	1	0
glycerol kinase activity	GO_0004370	1	1	1	0
glycerate kinase activity	GO_0008887	1	1	1	0
glutamate 5-kinase activity	GO_0004349	1	1	1	0
glucose-1,6-bisphosphate synthase activity	GO_0047933	1	1	1	0
gluconokinase activity	GO_0046316	1	1	1	0
glucokinase activity	GO_0004340	1	1	1	0
galactokinase activity	GO_0004335	1	1	1	0
fucokinase activity	GO_0050201	1	1	1	0
fructosamine-3-kinase activity	GO_0030387	1	1	1	0
fructokinase activity	GO_0008865	1	1	1	0
fibroblast growth factor-activated receptor activity	GO_0005007	1	1	1	0
eukaryotic translation initiation factor 2alpha kinase activity	GO_0004694	1	1	1	0
ethanolamine kinase activity	GO_0004305	1	1	1	0
epidermal growth factor-activated receptor activity	GO_0005006	1	1	1	0
ephrin receptor activity	GO_0005003	1	1	1	0
elongation factor-2 kinase activity	GO_0004686	1	1	1	0
dolichol kinase activity	GO_0004168	1	1	1	0
diacylglycerol kinase activity	GO_0004143	1	1	1	0
dephospho-CoA kinase activity	GO_0004140	1	1	1	0
deoxyguanosine kinase activity	GO_0004138	1	1	1	0
deoxycytidine kinase activity	GO_0004137	1	1	1	0
cytidylate kinase activity	GO_0004127	1	1	1	0
cyclin-dependent protein serine/threonine kinase activity	GO_0004693	1	1	1	0
cyclin-dependent protein kinase activating kinase activity	GO_0019912	1	1	1	0
creatine kinase activity	GO_0004111	1	1	1	0
choline kinase activity	GO_0004103	1	1	1	0
ceramide kinase activity	GO_0001729	1	1	1	0
