name	ID	manual	auto	checked	blacklisted	is_obsolete
lactate racemization	GO_0019247	1	1	1	0	0
lactate oxidation	GO_0019516	1	1	1	0	0
lactate metabolic process	GO_0006089	1	1	1	0	0
lactate biosynthetic process from pyruvate	GO_0019244	1	1	1	0	0
lactate biosynthetic process	GO_0019249	1	1	1	0	0
lactate transport	GO_0015727	1	0	1	0	0
lactate transmembrane transport	GO_0035873	1	0	1	0	0
lactate fermentation to propionate and acetate	GO_0019652	1	0	1	0	0
methylglyoxal catabolic process to D-lactate	GO_0019243	0	1	1	0	0
lactate catabolic process	GO_1903457	0	1	1	0	0
glucose catabolic process to mixed acids	GO_0019664	0	1	1	0	0
glucose catabolic process to lactate via pyruvate	GO_0019661	0	1	1	0	0
glucose catabolic process to lactate and acetate	GO_0019658	0	1	1	0	0
glucose catabolic process to lactate	GO_0019659	0	1	1	0	0
glucose catabolic process to D-lactate and ethanol	GO_0019656	0	1	1	0	0
anaerobic lactate catabolic process	GO_1990485	0	1	1	0	0
aerobic lactate catabolic process	GO_1990484	0	1	1	0	0
L-threonine catabolic process to D-lactate	GO_0019517	0	1	1	0	0
L(+)-lactate biosynthetic process from pyruvate	GO_0019246	0	1	1	0	0
D-lactate biosynthetic process from methylglyoxal via (R)-lactaldehyde	GO_0019248	0	1	1	0	0
D(-)-lactate biosynthetic process from pyruvate	GO_0019245	0	1	1	0	0
