name	ID	manual	auto	checked	blacklisted	is_obsolete
leukocyte tethering or rolling	GO_0050901	1	1	1	0	0
leukocyte proliferation	GO_0070661	1	1	1	0	0
leukocyte migration involved in inflammatory response	GO_0002523	1	1	1	0	0
leukocyte migration	GO_0050900	1	1	1	0	0
leukocyte mediated immunity	GO_0002443	1	1	1	0	0
leukocyte mediated cytotoxicity	GO_0001909	1	1	1	0	0
leukocyte homeostasis	GO_0001776	1	1	1	0	0
leukocyte differentiation	GO_0002521	1	1	1	0	0
leukocyte degranulation	GO_0043299	1	1	1	0	0
leukocyte chemotaxis involved in inflammatory response	GO_0002232	1	1	1	0	0
leukocyte chemotaxis	GO_0030595	1	1	1	0	0
leukocyte cell-cell adhesion	GO_0007159	1	1	1	0	0
leukocyte apoptotic process	GO_0071887	1	1	1	0	0
leukocyte aggregation	GO_0070486	1	1	1	0	0
leukocyte adhesive activation	GO_0050902	1	1	1	0	0
leukocyte activation-dependent arrest	GO_0050903	1	1	1	0	0
leukocyte activation involved in inflammatory response	GO_0002269	1	1	1	0	0
leukocyte activation	GO_0045321	1	1	1	0	0
type IV hypersensitivity	GO_0001806	0	1	0	0	0
type IIb hypersensitivity	GO_0001795	0	1	0	0	0
type IIa hypersensitivity	GO_0001794	0	1	0	0	0
type III hypersensitivity	GO_0001802	0	1	0	0	0
type II hypersensitivity	GO_0002445	0	1	0	0	0
type I hypersensitivity mediated by mast cells	GO_0002558	0	1	0	0	0
type I hypersensitivity mediated by basophils	GO_0002559	0	1	0	0	0
type I hypersensitivity	GO_0016068	0	1	0	0	0
transitional two stage B cell differentiation	GO_0002334	0	1	0	0	0
transitional stage B cell differentiation	GO_0002332	0	1	0	0	0
transitional one stage B cell differentiation	GO_0002333	0	1	0	0	0
thymocyte migration	GO_0072679	0	1	0	0	0
thymocyte apoptotic process	GO_0070242	0	1	0	0	0
thymocyte aggregation	GO_0071594	0	1	0	0	0
thymic T cell selection	GO_0045061	0	1	0	0	0
termination of T cell signal transduction	GO_0023022	0	1	0	0	0
telencephalon microglial cell migration	GO_0022033	0	1	0	0	0
suppression by virus of host natural killer cell activation	GO_0039672	0	1	0	0	0
serotonin secretion by mast cell	GO_0002552	0	1	0	0	0
serotonin secretion by basophil	GO_0002556	0	1	0	0	0
regulatory T cell differentiation	GO_0045066	0	1	0	0	0
regulatory T cell apoptotic process	GO_1902482	0	1	0	0	0
protein localization to mast cell secretory granule	GO_0033367	0	1	0	0	0
protein localization to T cell secretory granule	GO_0033374	0	1	0	0	0
protease localization to mast cell secretory granule	GO_0033368	0	1	0	0	0
protease localization to T cell secretory granule	GO_0033375	0	1	0	0	0
pre-B cell differentiation	GO_0002329	0	1	0	0	0
positive thymic T cell selection	GO_0045059	0	1	0	0	0
positive extrathymic T cell selection	GO_0045067	0	1	0	0	0
positive T cell selection	GO_0043368	0	1	0	0	0
plasmacytoid dendritic cell differentiation involved in immune response	GO_0002272	0	1	0	0	0
plasmacytoid dendritic cell differentiation	GO_0002273	0	1	0	0	0
plasmacytoid dendritic cell cytokine production	GO_0002373	0	1	0	0	0
plasmacytoid dendritic cell chemotaxis	GO_0002410	0	1	0	0	0
plasmacytoid dendritic cell antigen processing and presentation	GO_0002470	0	1	0	0	0
plasmacytoid dendritic cell activation involved in immune response	GO_0002271	0	1	0	0	0
plasmacytoid dendritic cell activation	GO_0002270	0	1	0	0	0
plasma cell differentiation	GO_0002317	0	1	0	0	0
peripheral T cell tolerance induction	GO_0002458	0	1	0	0	0
peripheral B cell tolerance induction	GO_0002451	0	1	0	0	0
peripheral B cell selection	GO_0002343	0	1	0	0	0
peripheral B cell positive selection	GO_0002350	0	1	0	0	0
peripheral B cell negative selection	GO_0002356	0	1	0	0	0
peripheral B cell deletion	GO_0002454	0	1	0	0	0
peripheral B cell anergy	GO_0002453	0	1	0	0	0
osteoclast proliferation	GO_0002158	0	1	0	0	0
osteoclast maturation	GO_0036179	0	1	0	0	0
osteoclast fusion	GO_0072675	0	1	0	0	0
osteoclast differentiation	GO_0030316	0	1	0	0	0
osteoclast development	GO_0036035	0	1	0	0	0
neutrophil migration	GO_1990266	0	1	0	0	0
neutrophil mediated killing of symbiont cell	GO_0070943	0	1	0	0	0
neutrophil mediated killing of gram-positive bacterium	GO_0070946	0	1	0	0	0
neutrophil mediated killing of gram-negative bacterium	GO_0070945	0	1	0	0	0
neutrophil mediated killing of fungus	GO_0070947	0	1	0	0	0
neutrophil mediated killing of bacterium	GO_0070944	0	1	0	0	0
neutrophil mediated immunity	GO_0002446	0	1	0	0	0
neutrophil mediated cytotoxicity	GO_0070942	0	1	0	0	0
neutrophil homeostasis	GO_0001780	0	1	0	0	0
neutrophil extravasation	GO_0072672	0	1	0	0	0
neutrophil differentiation	GO_0030223	0	1	0	0	0
neutrophil degranulation	GO_0043312	0	1	0	0	0
neutrophil chemotaxis	GO_0030593	0	1	0	0	0
neutrophil apoptotic process	GO_0001781	0	1	0	0	0
neutrophil aggregation	GO_0070488	0	1	0	0	0
neutrophil activation involved in immune response	GO_0002283	0	1	0	0	0
neutrophil activation	GO_0042119	0	1	0	0	0
negative thymic T cell selection	GO_0045060	0	1	0	0	0
negative extrathymic T cell selection	GO_0045068	0	1	0	0	0
negative T cell selection	GO_0043383	0	1	0	0	0
natural killer cell tolerance induction	GO_0002519	0	1	0	0	0
natural killer cell proliferation involved in immune response	GO_0002324	0	1	0	0	0
natural killer cell proliferation	GO_0001787	0	1	0	0	0
natural killer cell mediated immunity	GO_0002228	0	1	0	0	0
natural killer cell mediated immune response to tumor cell	GO_0002423	0	1	0	0	0
natural killer cell mediated cytotoxicity directed against tumor cell target	GO_0002420	0	1	0	0	0
natural killer cell mediated cytotoxicity	GO_0042267	0	1	0	0	0
natural killer cell differentiation involved in immune response	GO_0002325	0	1	0	0	0
natural killer cell differentiation	GO_0001779	0	1	0	0	0
natural killer cell degranulation	GO_0043320	0	1	0	0	0
natural killer cell cytokine production	GO_0002370	0	1	0	0	0
natural killer cell chemotaxis	GO_0035747	0	1	0	0	0
natural killer cell apoptotic process	GO_0070246	0	1	0	0	0
natural killer cell activation involved in immune response	GO_0002323	0	1	0	0	0
natural killer cell activation	GO_0030101	0	1	0	0	0
myeloid leukocyte migration	GO_0097529	0	1	0	0	0
myeloid leukocyte mediated immunity	GO_0002444	0	1	0	0	0
myeloid leukocyte differentiation	GO_0002573	0	1	0	0	0
myeloid leukocyte activation	GO_0002274	0	1	0	0	0
myeloid dendritic cell differentiation involved in immune response	GO_0002284	0	1	0	0	0
myeloid dendritic cell differentiation	GO_0043011	0	1	0	0	0
myeloid dendritic cell cytokine production	GO_0002372	0	1	0	0	0
myeloid dendritic cell chemotaxis	GO_0002408	0	1	0	0	0
myeloid dendritic cell antigen processing and presentation	GO_0002469	0	1	0	0	0
myeloid dendritic cell activation involved in immune response	GO_0002277	0	1	0	0	0
myeloid dendritic cell activation	GO_0001773	0	1	0	0	0
myeloid cell activation involved in immune response	GO_0002275	0	1	0	0	0
multinuclear osteoclast differentiation	GO_0072674	0	1	0	0	0
mucosal lymphocyte homeostasis	GO_0002261	0	1	0	0	0
mononuclear cell proliferation	GO_0032943	0	1	0	0	0
mononuclear cell migration	GO_0071674	0	1	0	0	0
mononuclear cell differentiation	GO_1903131	0	1	0	0	0
monocyte proliferation	GO_0061516	0	1	0	0	0
monocyte migration into blood stream	GO_0035703	0	1	0	0	0
monocyte homeostasis	GO_0035702	0	1	0	0	0
monocyte extravasation	GO_0035696	0	1	0	0	0
monocyte differentiation	GO_0030224	0	1	0	0	0
monocyte chemotaxis	GO_0002548	0	1	0	0	0
monocyte antigen processing and presentation	GO_0002471	0	1	0	0	0
monocyte aggregation	GO_0070487	0	1	0	0	0
monocyte activation involved in immune response	GO_0002280	0	1	0	0	0
monocyte activation	GO_0042117	0	1	0	0	0
microglial cell proliferation	GO_0061518	0	1	0	0	0
microglial cell activation involved in immune response	GO_0002282	0	1	0	0	0
microglial cell activation	GO_0001774	0	1	0	0	0
microglia differentiation	GO_0014004	0	1	0	0	0
microglia development	GO_0014005	0	1	0	0	0
memory T cell proliferation	GO_0061485	0	1	0	0	0
memory T cell extravasation	GO_0035683	0	1	0	0	0
memory T cell differentiation	GO_0043379	0	1	0	0	0
memory T cell activation	GO_0035709	0	1	0	0	0
memory B cell differentiation	GO_0002319	0	1	0	0	0
mature natural killer cell chemotaxis	GO_0035782	0	1	0	0	0
mature conventional dendritic cell differentiation	GO_0097029	0	1	0	0	0
mature B cell differentiation involved in immune response	GO_0002313	0	1	0	0	0
mature B cell differentiation	GO_0002335	0	1	0	0	0
mature B cell apoptotic process	GO_0002901	0	1	0	0	0
mast cell secretory granule organization	GO_0033364	0	1	0	0	0
mast cell proliferation	GO_0070662	0	1	0	0	0
mast cell migration	GO_0097531	0	1	0	0	0
mast cell mediated immunity	GO_0002448	0	1	0	0	0
