name	ID	manual	auto	checked	blacklisted	is_obsolete
lymphocyte proliferation	GO_0046651	1	1	1	0	0
lymphocyte migration into lymphoid organs	GO_0097021	1	1	1	0	0
lymphocyte migration into lymph node	GO_0097022	1	1	1	0	0
lymphocyte migration	GO_0072676	1	1	1	0	0
lymphocyte mediated immunity	GO_0002449	1	1	1	0	0
lymphocyte homeostasis	GO_0002260	1	1	1	0	0
lymphocyte differentiation	GO_0030098	1	1	1	0	0
lymphocyte costimulation	GO_0031294	1	1	1	0	0
lymphocyte chemotaxis	GO_0048247	1	1	1	0	0
lymphocyte apoptotic process	GO_0070227	1	1	1	0	0
lymphocyte anergy	GO_0002249	1	1	1	0	0
lymphocyte aggregation	GO_0071593	1	1	1	0	0
lymphocyte activation	GO_0046649	1	1	1	0	0
type IV hypersensitivity	GO_0001806	0	1	1	0	0
type IIb hypersensitivity	GO_0001795	0	1	1	0	0
type IIa hypersensitivity	GO_0001794	0	1	1	0	0
type III hypersensitivity	GO_0001802	0	1	1	0	0
type II hypersensitivity	GO_0002445	0	1	1	0	0
type I hypersensitivity mediated by mast cells	GO_0002558	0	1	1	0	0
type I hypersensitivity mediated by basophils	GO_0002559	0	1	1	0	0
type I hypersensitivity	GO_0016068	0	1	1	0	0
transitional two stage B cell differentiation	GO_0002334	0	1	1	0	0
transitional stage B cell differentiation	GO_0002332	0	1	1	0	0
transitional one stage B cell differentiation	GO_0002333	0	1	1	0	0
thymocyte migration	GO_0072679	0	1	1	0	0
thymocyte apoptotic process	GO_0070242	0	1	1	0	0
thymocyte aggregation	GO_0071594	0	1	1	0	0
thymic T cell selection	GO_0045061	0	1	1	0	0
termination of T cell signal transduction	GO_0023022	0	1	1	0	0
susceptibility to natural killer cell mediated cytotoxicity	GO_0042271	0	1	0	0	0
susceptibility to T cell mediated cytotoxicity	GO_0060370	0	1	0	0	0
suppression by virus of host natural killer cell activation	GO_0039672	0	1	1	0	0
regulatory T cell differentiation	GO_0045066	0	1	1	0	0
regulatory T cell apoptotic process	GO_1902482	0	1	1	0	0
regulation of type IV hypersensitivity	GO_0001807	0	1	0	0	0
regulation of type IIb hypersensitivity	GO_0001799	0	1	0	0	0
regulation of type IIa hypersensitivity	GO_0001796	0	1	0	0	0
regulation of type III hypersensitivity	GO_0001803	0	1	0	0	0
regulation of type II hypersensitivity	GO_0002892	0	1	0	0	0
regulation of type I hypersensitivity	GO_0001810	0	1	0	0	0
regulation of thymocyte migration	GO_2000410	0	1	0	0	0
regulation of thymocyte apoptotic process	GO_0070243	0	1	0	0	0
regulation of thymocyte aggregation	GO_2000398	0	1	0	0	0
regulation of regulatory T cell differentiation	GO_0045589	0	1	0	0	0
regulation of pro-T cell differentiation	GO_2000174	0	1	0	0	0
regulation of positive thymic T cell selection	GO_1902232	0	1	0	0	0
regulation of plasma cell differentiation	GO_1900098	0	1	0	0	0
regulation of peripheral T cell tolerance induction	GO_0002849	0	1	0	0	0
regulation of peripheral B cell deletion	GO_0002908	0	1	0	0	0
regulation of peripheral B cell anergy	GO_0002917	0	1	0	0	0
regulation of natural killer cell tolerance induction	GO_0002871	0	1	0	0	0
regulation of natural killer cell proliferation involved in immune response	GO_0032820	0	1	0	0	0
regulation of natural killer cell proliferation	GO_0032817	0	1	0	0	0
regulation of natural killer cell mediated immunity	GO_0002715	0	1	0	0	0
regulation of natural killer cell mediated immune response to tumor cell	GO_0002855	0	1	0	0	0
regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	GO_0002858	0	1	0	0	0
regulation of natural killer cell mediated cytotoxicity	GO_0042269	0	1	0	0	0
regulation of natural killer cell differentiation involved in immune response	GO_0032826	0	1	0	0	0
regulation of natural killer cell differentiation	GO_0032823	0	1	0	0	0
regulation of natural killer cell degranulation	GO_0043321	0	1	0	0	0
regulation of natural killer cell cytokine production	GO_0002727	0	1	0	0	0
regulation of natural killer cell chemotaxis	GO_2000501	0	1	0	0	0
regulation of natural killer cell apoptotic process	GO_0070247	0	1	0	0	0
regulation of natural killer cell activation	GO_0032814	0	1	0	0	0
regulation of memory T cell differentiation	GO_0043380	0	1	0	0	0
regulation of memory T cell activation	GO_2000567	0	1	0	0	0
regulation of mature B cell apoptotic process	GO_0002905	0	1	0	0	0
regulation of lymphocyte proliferation	GO_0050670	0	1	0	0	0
regulation of lymphocyte migration	GO_2000401	0	1	0	0	0
regulation of lymphocyte mediated immunity	GO_0002706	0	1	0	0	0
regulation of lymphocyte differentiation	GO_0045619	0	1	0	0	0
regulation of lymphocyte chemotaxis	GO_1901623	0	1	0	0	0
regulation of lymphocyte apoptotic process	GO_0070228	0	1	0	0	0
regulation of lymphocyte anergy	GO_0002911	0	1	0	0	0
regulation of lymphocyte activation	GO_0051249	0	1	0	0	0
regulation of isotype switching to IgG isotypes	GO_0048302	0	1	0	0	0
regulation of isotype switching to IgE isotypes	GO_0048293	0	1	0	0	0
regulation of isotype switching to IgD isotypes	GO_0048299	0	1	0	0	0
regulation of isotype switching to IgA isotypes	GO_0048296	0	1	0	0	0
regulation of isotype switching	GO_0045191	0	1	0	0	0
regulation of interleukin-4-dependent isotype switching to IgE isotypes	GO_2000571	0	1	0	0	0
regulation of immunological synapse formation	GO_2000520	0	1	0	0	0
regulation of immunoglobulin production in mucosal tissue	GO_2000557	0	1	0	0	0
regulation of immunoglobulin mediated immune response	GO_0002889	0	1	0	0	0
regulation of immature T cell proliferation in thymus	GO_0033084	0	1	0	0	0
regulation of immature T cell proliferation	GO_0033083	0	1	0	0	0
regulation of humoral immune response mediated by circulating immunoglobulin	GO_0002923	0	1	0	0	0
regulation of gamma-delta T cell proliferation	GO_0046646	0	1	0	0	0
regulation of gamma-delta T cell differentiation	GO_0045586	0	1	0	0	0
regulation of gamma-delta T cell activation involved in immune response	GO_2001191	0	1	0	0	0
regulation of gamma-delta T cell activation	GO_0046643	0	1	0	0	0
regulation of fibronectin-dependent thymocyte migration	GO_2000413	0	1	0	0	0
regulation of extrathymic T cell differentiation	GO_0033082	0	1	0	0	0
regulation of cytotoxic T cell differentiation	GO_0045583	0	1	0	0	0
regulation of cytotoxic T cell degranulation	GO_0043317	0	1	0	0	0
regulation of complement activation, classical pathway	GO_0030450	0	1	0	0	0
regulation of central B cell tolerance induction	GO_0002895	0	1	0	0	0
regulation of central B cell deletion	GO_0002898	0	1	0	0	0
regulation of central B cell anergy	GO_0002914	0	1	0	0	0
regulation of antibody-dependent cellular cytotoxicity	GO_0001813	0	1	0	0	0
regulation of alpha-beta T cell proliferation	GO_0046640	0	1	0	0	0
regulation of alpha-beta T cell differentiation	GO_0046637	0	1	0	0	0
regulation of alpha-beta T cell activation	GO_0046634	0	1	0	0	0
regulation of activation-induced cell death of T cells	GO_0070235	0	1	0	0	0
regulation of activated T cell proliferation	GO_0046006	0	1	0	0	0
regulation of activated T cell autonomous cell death	GO_0070239	0	1	0	0	0
regulation of T-helper cell differentiation	GO_0045622	0	1	0	0	0
regulation of T-helper 2 cell differentiation	GO_0045628	0	1	0	0	0
regulation of T-helper 2 cell cytokine production	GO_2000551	0	1	0	0	0
regulation of T-helper 2 cell activation	GO_2000569	0	1	0	0	0
regulation of T-helper 17 type immune response	GO_2000316	0	1	0	0	0
regulation of T-helper 17 cell lineage commitment	GO_2000328	0	1	0	0	0
regulation of T-helper 17 cell extravasation	GO_2000455	0	1	0	0	0
regulation of T-helper 17 cell differentiation	GO_2000319	0	1	0	0	0
regulation of T-helper 1 type immune response	GO_0002825	0	1	0	0	0
regulation of T-helper 1 cell differentiation	GO_0045625	0	1	0	0	0
regulation of T-helper 1 cell cytokine production	GO_2000554	0	1	0	0	0
regulation of T-helper 1 cell activation	GO_2000517	0	1	0	0	0
regulation of T cell tolerance induction to tumor cell	GO_0002846	0	1	0	0	0
regulation of T cell tolerance induction	GO_0002664	0	1	0	0	0
regulation of T cell receptor signaling pathway	GO_0050856	0	1	0	0	0
regulation of T cell proliferation	GO_0042129	0	1	0	0	0
regulation of T cell migration	GO_2000404	0	1	0	0	0
regulation of T cell mediated immunity	GO_0002709	0	1	0	0	0
regulation of T cell mediated immune response to tumor cell	GO_0002840	0	1	0	0	0
regulation of T cell mediated cytotoxicity directed against tumor cell target	GO_0002852	0	1	0	0	0
regulation of T cell mediated cytotoxicity	GO_0001914	0	1	0	0	0
regulation of T cell homeostatic proliferation	GO_0046013	0	1	0	0	0
regulation of T cell extravasation	GO_2000407	0	1	0	0	0
regulation of T cell differentiation in thymus	GO_0033081	0	1	0	0	0
regulation of T cell differentiation	GO_0045580	0	1	0	0	0
regulation of T cell cytokine production	GO_0002724	0	1	0	0	0
regulation of T cell costimulation	GO_2000523	0	1	0	0	0
regulation of T cell chemotaxis	GO_0010819	0	1	0	0	0
regulation of T cell apoptotic process	GO_0070232	0	1	0	0	0
regulation of T cell antigen processing and presentation	GO_0002625	0	1	0	0	0
regulation of T cell anergy	GO_0002667	0	1	0	0	0
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	GO_2001188	0	1	0	0	0
regulation of T cell activation	GO_0050863	0	1	0	0	0
